chemical,name,molecular_weight,SMILES_string,Drug,InChI Key,SMILES,similarity
CIDs00042396,prenalterol,225.28416,CC(C)NCC(COC1=CC=C(C=C1)O)O,Prenalterol,ADUKCCWBEDSMEB-NSHDSACASA-N,CC(C)NCC(COC1=CC=C(C=C1)O)O,91
CIDs00005530,tranylcypromine,133.19034,C1C(C1N)C2=CC=CC=C2,Tranylcypromine,AELCINSCMGFISI-DTWKUNHWSA-N,C1C(C1N)C2=CC=CC=C2,93
CIDs02761171,ethionamide,166.2434,CCC1=NC=CC(=C1)C(=S)N,Ethionamide,AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCC1=NC=CC(=C1)C(=S)N,91
CIDm00003279,ethambutol,204.30976,CCC(CO)NCCNC(CC)CO,Ethambutol,AEUTYOVWOVBAKS-UWVGGRQHSA-N,CCC(CO)NCCNC(CC)CO,90
CIDs00071158,acamprosate,181.21014,CC(=O)NCCCS(=O)(=O)O,Acamprosate,AFCGFAGUEYAMAO-UHFFFAOYSA-N,CC(=O)NCCCS(=O)(=O)O,91
CIDs00005318,sulconazole,397.7491,C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,Sulconazole,AFNXATANNDIXLG-UHFFFAOYSA-N,C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,91
CIDs00008447,MBTs,332.48672,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,"2,2'-Dithiobis(Benzothiazole)",AFZSMODLJJCVPP-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,6
CIDs00000864,lipoic acid,206.32556,C1CSSC1CCCCC(=O)O,Thioctic Acid,AGBQKNBQESQNJD-UHFFFAOYSA-N,C1CSSC1CCCCC(=O)O,67
CIDs00084029,clarithromycin,747.95336,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Clarithromycin,AGOYDEPGAOXOCK-KCBOHYOISA-N,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,93
CIDs00000791,isoleucine,131.17292,CCC(C)C(C(=O)O)N,Isoleucine,AGPKZVBTJJNPAG-WHFBIAKZSA-N,CCC(C)C(C(=O)O)N,90
CIDs00002891,methylcob(III)alamin,1356.373117,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+2],Factor Ii,AGVAZMGAQJOSFJ-UHFFFAOYSA-M,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+2],28
CIDs00071435,strontium-89 chloride,159.813451,[Cl-].[Cl-].[Sr+2],Strontium Chloride,AHBGXTDRMVNFER-UHFFFAOYSA-L,[Cl-].[Cl-].[Sr+2],82
CIDs05330286,palbociclib,447.53276,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,Palbociclib,AHJRHEGDXFFMBM-UHFFFAOYSA-N,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,91
CIDs03034010,orlistat,495.73482,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,Orlistat,AHLBNYSZXLDEJQ-FWEHEUNISA-N,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,88
CIDs00006262,ornithine,132.16098,C(CC(C(=O)O)N)CN,Ornithine,AHLPHDHHMVZTML-BYPYZUCNSA-N,C(CC(C(=O)O)N)CN,89
CIDs00043815,paroxetine,329.365403,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,Paroxetine,AHOUBRCZNHFOSL-YOEHRIQHSA-N,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,90
CIDs00003116,distigmine bromide,416.51388,C[N+]1=CC=CC(=C1)OC(=O)N(C)CCCCCCN(C)C(=O)OC2=C[N+](=CC=C2)C,Distigmine,AHZBEVXBKNYXPU-UHFFFAOYSA-N,C[N+]1=CC=CC(=C1)OC(=O)N(C)CCCCCCN(C)C(=O)OC2=C[N+](=CC=C2)C,64
CIDs00072474,grepafloxacin,359.394683,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,Grepafloxacin,AIJTTZAVMXIJGM-UHFFFAOYSA-N,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,92
CIDs68165256,AGN-PC-0HUR20,584.092422,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC,Brigatinib,AILRADAXUVEEIR-UHFFFAOYSA-N,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC,0
CIDs00461835,calenduladiol,442.7168,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)O)C)C,Calendula,AJBZENLMTKDAEK-UHFFFAOYSA-N,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)O)C)C,73
CIDs00027125,estetrol,304.38076,CC12CCC3C(C1C(C(C2O)O)O)CCC4=C3C=CC(=C4)O,Estetrol,AJIPIJNNOJSSQC-NYLIRDPKSA-N,CC12CCC3C(C1C(C(C2O)O)O)CCC4=C3C=CC(=C4)O,88
CIDs71307395,W8283,119.95907,OP(=O)(O)[O-].[Na+],Sodium Acid Phosphate,AJPJDKMHJJGVTQ-UHFFFAOYSA-M,OP(=O)(O)[O-].[Na+],0
CIDs54726192,eravacycline,558.555443,CN(C)C1C2CC3CC4=C(C=C(C(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)NC(=O)CN5CCCC5)F,Eravacycline,AKLMFDDQCHURPW-ISIOAQNYSA-N,CN(C)C1C2CC3CC4=C(C=C(C(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)NC(=O)CN5CCCC5)F,92
CIDs00275196,noscapine,413.42052,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,Noscapine,AKNNEGZIBPJZJG-MSOLQXFVSA-N,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,89
CIDs00002997,nordiazepam,270.71364,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,Nordazepam,AKPLHCDWDRPJGD-UHFFFAOYSA-N,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,86
CIDs00008271,mephobarbital,246.26186,CCC1(C(=O)NC(=O)N(C1=O)C)C2=CC=CC=C2,Methylphenobarbital,ALARQZQTBTVLJV-UHFFFAOYSA-N,CCC1(C(=O)NC(=O)N(C1=O)C)C2=CC=CC=C2,75
CIDs46780922,Butriptyline-d6,299.482751,CC(CC1C2=CC=CC=C2CCC3=CC=CC=C13)CN(C)C,Butriptyline,ALELTFCQZDXAMQ-UHFFFAOYSA-N,CC(CC1C2=CC=CC=C2CCC3=CC=CC=C13)CN(C)C,89
CIDs10000362,"N-[4-[4-[ethyl(heptyl)amino]-1-hydroxy-4,4-ditritiobutyl]phenyl]methanesulfonamide",388.592659,CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,Ibutilide,ALOBUEHUHMBRLE-UHFFFAOYSA-N,CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,15
CIDs00004456,neostigmine,223.29146,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,Neostigmine,ALWKGYPQUAPLQC-UHFFFAOYSA-N,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,91
CIDs00000978,p-aminobenzoic acid,137.13598,C1=CC(=CC=C1C(=O)O)N,Aminobenzoic Acid,ALYNCZNDIQEVRV-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)O)N,83
CIDs00003741,ioversol,807.11127,C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,Ioversol,AMDBBAQNWSUWGN-UHFFFAOYSA-N,C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,88
CIDs00004440,naratriptan,335.4643,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,Naratriptan,AMKVXSZCKVJAGH-UHFFFAOYSA-N,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,91
CIDs06433516,simethicone,238.46122,CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O,Simethicone,AMTWCFIAVKBGOD-UHFFFAOYSA-N,CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O,91
CIDs59847761,r-glycopyrroniumbromid,318.43052,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C,Glycopyrronium,ANGKOCUUWGHLCE-UHFFFAOYSA-N,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C,72
CIDs71511839,Velcalcetide Hydrochloride,1048.25092,CC(C(=O)NC(CCCN=C(N)N)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(C)NC(=O)C(CSSCC(C(=O)O)N)NC(=O)C,Etelcalcetide,ANIAZGVDEUQPRI-ZJQCGQFWSA-N,CC(C(=O)NC(CCCN=C(N)N)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(C)NC(=O)C(CSSCC(C(=O)O)N)NC(=O)C,56
CIDs00010235,cytisine,190.24166,C1C2CNCC1C3=CC=CC(=O)N3C2,Cytisine,ANJTVLIZGCUXLD-DTWKUNHWSA-N,C1C2CNCC1C3=CC=CC(=O)N3C2,88
CIDs00024550,stannous fluoride,156.706806,F[Sn]F,Stannous Fluoride,ANOBYBYXJXCGBS-UHFFFAOYSA-L,F[Sn]F,88
CIDs11726467,(i) bambuterol,367.43996,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O,Bambuterol,ANZXOIAKUNOVQU-UHFFFAOYSA-N,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O,75
CIDs10348973,TAK-385,623.630386,CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC,Relugolix,AOMXMOCNKJTRQP-UHFFFAOYSA-N,CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC,0
CIDs05462099,indium-111,110.905103,[In],Indium-111,APFVFJFRJDLVQX-AHCXROLUSA-N,[In],90
CIDs05280965,amphotericin B,924.07902,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,Amphotericin B,APKFDSVGJQXUKY-INPOYWNPSA-N,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,93
CIDs00004170,metolazone,365.83454,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,Metolazone,AQCHWTWZEMGIFD-UHFFFAOYSA-N,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,90
CIDs00004946,propranolol,259.34344,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,Propranolol,AQHHHDLHHXJYJD-UHFFFAOYSA-N,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,91
CIDs00002756,cimetidine,252.33924,CC1=C(N=CN1)CSCCNC(=NC)NC#N,Cimetidine,AQIXAKUUQRKLND-UHFFFAOYSA-N,CC1=C(N=CN1)CSCCNC(=NC)NC#N,90
CIDs00031294,carbamide peroxide,94.06994,C(=O)(N)N.OO,Urea Hydrogen Peroxide,AQLJVWUFPCUVLO-UHFFFAOYSA-N,C(=O)(N)N.OO,55
CIDs00059768,esmolol,295.374,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,Esmolol,AQNDDEOPVVGCPG-UHFFFAOYSA-N,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,86
CIDs46930987,Bimatopros,415.56558,CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O,Bimatoprost,AQOKCDNYWBIDND-FTOWTWDKSA-N,CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O,95
CIDs00060855,zanamivir,332.3098,CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)N=C(N)N,Zanamivir,ARAIBEBZBOPLMB-UFGQHTETSA-N,CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)N=C(N)N,89
CIDs00030951,alclofenac,226.65624,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,Alclofenac,ARHWPKZXBHOEEE-UHFFFAOYSA-N,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,90
CIDs11434515,aclidinium,484.6507,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5,Aclidinium,ASMXXROZKSBQIH-VITNCHFBSA-N,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5,90
CIDs00009651,galantamine,287.35354,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,Galantamine,ASUTZQLVASHGKV-JDFRZJQESA-N,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,91
CIDs00005327,sulfamethazine,278.33016,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,Sulphadimidine,ASWVTGNCAZCNNR-UHFFFAOYSA-N,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,50
CIDs25207706,"5-[[(2R,3S)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholino]methyl]-2,4-dideuterio-1,2,4-triazol-3-one",536.438986,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Aprepitant,ATALOFNDEOCMKK-OITMNORJSA-N,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,4
CIDs00010188,dichloralphenazone,519.03182,CC1=CC(=O)N(N1C)C2=CC=CC=C2.C(C(Cl)(Cl)Cl)(O)O.C(C(Cl)(Cl)Cl)(O)O,Dichloralphenazone,ATKXDQOHNICLQW-UHFFFAOYSA-N,CC1=CC(=O)N(N1C)C2=CC=CC=C2.C(C(Cl)(Cl)Cl)(O)O.C(C(Cl)(Cl)Cl)(O)O,94
CIDs00235905,allylestrenol,300.47818,CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34,Allyloestrenol,ATXHVCQZZJYMCF-XUDSTZEESA-N,CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34,89
CIDs00000861,D-triiodothyronine,650.97349,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,Liothyronine,AUYYCJSJGJYCDS-LBPRGKRZSA-N,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,73
CIDs00003117,disulfiram,296.5392,CCN(CC)C(=S)SSC(=S)N(CC)CC,Disulfiram,AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,90
CIDs00073303,doripenem,420.50426,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O,Doripenem,AVAACINZEOAHHE-VFZPANTDSA-N,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O,89
CIDs00540288,Parthenium,248.3175,CC1CC2C(CC=C1CCC(=O)C)C(=C)C(=O)O2,Parthenium,AVFIYMSJDDGDBQ-UHFFFAOYSA-N,CC1CC2C(CC=C1CCC(=O)C)C(=C)C(=O)O2,100
CIDs00006249,ampicillin,349.40476,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,Ampicillin,AVKUERGKIZMTKX-NJBDSQKTSA-N,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,90
CIDs00003278,ethacrynic acid,303.13798,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,Ethacrynic Acid,AVOLMBLBETYQHX-UHFFFAOYSA-N,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,87
CIDs00000754,glycerol-3-phosphate,172.073722,C(C(COP(=O)(O)O)O)O,Glycerophosphoric Acid,AWUCVROLDVIAJX-UHFFFAOYSA-N,C(C(COP(=O)(O)O)O)O,57
CIDs00008042,isopropyl myristate,270.45066,CCCCCCCCCCCCCC(=O)OC(C)C,Isopropyl Myristate,AXISYYRBXTVTFY-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC(C)C,89
CIDs00005314,suxamethonium,290.399,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,Suxamethonium,AXOIZCJOOAYSMI-UHFFFAOYSA-N,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,92
CIDs00148192,atazanavir,704.85548,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,Atazanavir,AXRYRYVKAWYZBR-GASGPIRDSA-N,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,90
CIDs00000205,Threonine,119.11916,CC(C(C(=O)O)N)O,Threonine,AYFVYJQAPQTCCC-GBXIJSLDSA-N,CC(C(C(=O)O)N)O,100
CIDs00000205,Threonine,119.11916,CC(C(C(=O)O)N)O,Dl-Threonine,AYFVYJQAPQTCCC-UHFFFAOYSA-N,CC(C(C(=O)O)N)O,86
CIDs04715169,pregabalin,159.22608,CC(C)CC(CC(=O)O)CN,Pregabalin,AYXYPKUFHZROOJ-ZETCQYMHSA-N,CC(C)CC(CC(=O)O)CN,90
CIDs00068861,dienogest,311.418,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(CC#N)O,Dienogest,AZFLJNIPTRTECV-FUMNGEBKSA-N,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(CC#N)O,89
CIDs06321424,avermectin-H2B1a,875.09276,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,Ivermectin,AZSNMRSAGSSBNP-XPNPUAGNSA-N,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,69
CIDs00095286,"1-(hydroxymethyl)pyrrolidine-2,5-dione",129.11398,C1CC(=O)N(C1=O)CO,N-Hydroxymethylsuccinimide,AZVYYSCOCHRFKW-UHFFFAOYSA-N,C1CC(=O)N(C1=O)CO,50
CIDs00004615,oxatomide,426.5533,C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5,Oxatomide,BAINIUMDFURPJM-UHFFFAOYSA-N,C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5,89
