gene,input_disease,PT_match,score
DRD3,Note=Defects in FLNA may be a cause of macrothrombocytopenia,Activated partial thromboplastin time ratio increased,0.8599817
DRD3,a disorder characterized by subnormal levels of blood platelets. Blood platelets are abnormally enlarged (PubMed,Mean platelet volume abnormal,0.8618938
DRD3,Melnick-Needles syndrome (MNS),Sturge-Weber syndrome,0.6651454
DRD3,Schizophrenia (SCZD),AST/ALT ratio abnormal,0.71147335
DRD3,Congenital short bowel syndrome,Congenital pulmonary hypertension,0.9677587
DRD3,X-linked (CSBSX),C-telopeptide increased,0.815373
DRD3,FG syndrome 2 (FGS2),Extranodal marginal zone B-cell lymphoma (MALT type),0.7486794
DRD3,Terminal osseous dysplasia (TOD),Cervix carcinoma stage 0,0.7679332
DRD3,Otopalatodigital syndrome 1 (OPD1),Extranodal marginal zone B-cell lymphoma (MALT type),0.76594
DRD3,Intestinal pseudoobstruction,Gastrointestinal ulcer,1.0
DRD3,neuronal,Mitochondrial cytopathy,1.0000002
DRD3,chronic idiopathic,Idiopathic pneumonia syndrome,0.94476724
DRD3,X-linked (CIIPX),C-telopeptide increased,0.815373
DRD3,Periventricular nodular heterotopia 1 (PVNH1),Extranodal marginal zone B-cell lymphoma (MALT type),0.7545581
DRD3,Tremor,Tremor,1.0
DRD3,hereditary essential 1 (ETM1),Hepatitis B DNA increased,0.75417095
DRD3,Cardiac valvular dysplasia,Pulmonary valve stenosis congenital,0.9641111
DRD3,X-linked (CVDPX),C-telopeptide increased,0.815373
GABRR1,Generalized epilepsy with febrile seizures plus 5 (GEFSP5),Epilepsy with myoclonic-atonic seizures,0.79598904
GABRR1,Developmental and epileptic encephalopathy 79 (DEE79),Hepatitis B DNA decreased,0.7944211
GABRR1,Developmental and epileptic encephalopathy 43 (DEE43),Hepatitis B DNA decreased,0.7944211
GABRR1,Developmental and epileptic encephalopathy 45 (DEE45),Hepatitis B DNA decreased,0.7797395
GABRR1,Epileptic encephalopathy,Delirium tremens,0.99999994
GABRR1,infantile or early childhood,Psychotic disorder due to a general medical condition,0.84308237
GABRR1,2 (IECEE2),C-telopeptide increased,0.7374052
GABRR1,DISEASE: Note=A chromosomal aberration involving SQSTM1 is found in a form of acute lymphoblastic leukemia. Translocation t(5,Tuberous sclerosis complex,0.856133
GABRR1,Epilepsy,Seizure,1.0
GABRR1,X-linked 2,X-linked lymphoproliferative syndrome,0.785075
GABRR1,with or without impaired intellectual development and dysmorphic features (EPILX2),Product administered to patient of inappropriate age,0.8297335
GABRR1,Frontotemporal dementia and/or amyotrophic lateral sclerosis 3 (FTDALS3),Type 2 diabetes mellitus,0.88117236
GABRR1,Epilepsy,Seizure,1.0
GABRR1,childhood absence 2 (ECA2),Type 2 diabetes mellitus,0.79077137
GABRR1,Epilepsy,Seizure,1.0
GABRR1,childhood absence 4 (ECA4),Type 2 diabetes mellitus,0.79077137
GABRR1,Epilepsy,Seizure,1.0
GABRR1,childhood absence 5 (ECA5),Type 2 diabetes mellitus,0.79077137
GABRR1,9)(q35,Erythema,0.0
GABRR1,Epilepsy,Seizure,1.0
GABRR1,idiopathic generalized 10 (EIG10),Extranodal marginal zone B-cell lymphoma (MALT type),0.6769992
GABRR1,Myopathy,Erythema,0.0
GABRR1,distal,Diaphragmatic aplasia,1.0000001
GABRR1,with rimmed vacuoles (DMRV),Langerhans' cell histiocytosis,0.73947906
GABRR1,Juvenile myoclonic epilepsy 5 (EJM5),Epilepsy with myoclonic-atonic seizures,0.7677158
GABRR1,Febrile seizures,Epilepsy with myoclonic-atonic seizures,0.88082075
GABRR1,familial,Clonal evolution,1.0
GABRR1,8 (FEB8),C-telopeptide increased,0.7374052
GABRR1,Epilepsy,Seizure,1.0
GABRR1,idiopathic generalized 13 (EIG13),Extranodal marginal zone B-cell lymphoma (MALT type),0.6769992
GABRR1,Generalized epilepsy with febrile seizures plus 3 (GEFSP3),Epilepsy with myoclonic-atonic seizures,0.79598904
GABRR1,Developmental and epileptic encephalopathy 19 (DEE19),Hepatitis B DNA decreased,0.7797395
GABRR1,Developmental and epileptic encephalopathy 78 (DEE78),Hepatitis B DNA decreased,0.7944211
GABRR1,q34) with NUP214. ECO:0000269|PubMed:20851865.,Cold agglutinins,0.86780953
GABRR1,Developmental and epileptic encephalopathy 74 (DEE74),Hepatitis B DNA decreased,0.7944211
GABRR1,Neurodegeneration with ataxia,Trigeminal nerve paresis,0.85449797
GABRR1,dystonia,Tremor,1.0
GABRR1,and gaze palsy,Gaze palsy,0.89208734
GABRR1,childhood-onset (NADGP),Uveitis-glaucoma-hyphaema syndrome,0.8482256
GABRR1,Paget disease of bone 3 (PDB3),Platelet factor 4,0.80366844
GABRR1,Note=In a cell model for Huntington disease (HD),Model for end stage liver disease score increased,0.8167253
GABRR1,appears to form a shell surrounding aggregates of mutant HTT that may protect cells from apoptosis,Therapeutic reaction time decreased,0.8385141
GABRR1,possibly by recruiting autophagosomal components to the polyubiquitinated protein aggregates. ECO,Accidental exposure to product packaging by child,0.7998964
HRH3,set(),C-telopeptide increased,0.7764162
HTR1A,9)(p12,Erythema,0.0
HTR1A,Osteoglophonic dysplasia (OGD),Extranodal marginal zone B-cell lymphoma (MALT type),0.75478184
HTR1A,p11p22) with FGFR1OP2. Translocation t(8,Wrong product administered,0.79039985
HTR1A,8)(q27,Erythema,0.0
HTR1A,Kaya-Barakat-Masson syndrome (KABAMAS),Mayer-Rokitansky-Kuster-Hauser syndrome,0.74983907
HTR1A,p11) with CEP43. Insertion ins(12,Thought insertion,0.73370284
HTR1A,q33) with CNTRL. Translocation t(2,Treatment delayed,0.5715602
HTR1A,Pfeiffer syndrome (PS),Extranodal marginal zone B-cell lymphoma (MALT type) stage I,0.7818536
HTR1A,Trigonocephaly 1 (TRIGNO1),C-telopeptide increased,0.7374052
HTR1A,Periodic fever,Rash,0.8094344
HTR1A,menstrual cycle-dependent (PFMC),Insulin-like growth factor abnormal,0.80523616
HTR1A,Jackson-Weiss syndrome (JWS),Bernard-Soulier syndrome,0.7783185
HTR1A,q12) with ZMYM2. Translocation t(6,Cytarabine syndrome,0.7227264
HTR1A,Hypogonadotropic hypogonadism 2 with or without anosmia (HH2),Extranodal marginal zone B-cell lymphoma (MALT type) stage I,0.72518754
HTR1A,craniosynostosis,Osteogenesis imperfecta,0.99999994
HTR1A,early demise,Delayed engraftment,0.85625243
HTR1A,sporadic (type 3). ECO:0000269|PubMed:7874169. Note=The disease is caused by variants affecting the gene represented in this entry.,No reaction on previous exposure to drug,0.8425527
HTR1A,Hartsfield syndrome (HRTFDS),Chronic hepatitis C,0.7701118
HTR1A,8)(q12,Erythema,0.0
HTR1A,cloverleaf skull,Cow pox,0.4426139
HTR1A,elbow ankylosis,Pericardial rub,1.0000001
HTR1A,early death,Apparent death,1.0
HTR1A,sporadic (type 2),Procollagen type I C-terminal propeptide increased,0.78367615
HTR1A,p11) with RANBP2. Chromosome 8p11 myeloproliferative syndrome is characterized by myeloid hyperplasia,Lung carcinoma cell type unspecified recurrent,0.85474586
HTR1A,eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion proteins FGFR1OP2-FGFR1,T-cell type acute leukaemia,0.90750873
HTR1A,CEP43-FGFR1 or FGFR1-CEP43 may exhibit constitutive kinase activity and be responsible for the transforming activity. The fusion protein CNTRL-FGFR1 is found in the cytoplasm,Blood pressure diastolic increased,0.83821005
HTR1A,exhibits constitutive kinase activity and may be responsible for the transforming activity. ECO:0000269|PubMed:10688839,Full blood count normal,0.8433498
HTR1A,ECO:0000269|PubMed:15034873,Erythema,0.0
HTR1A,ECO:0000269|PubMed:16946300,Erythema,0.0
HTR1A,ECO:0000269|PubMed:17389761,Erythema,0.0
HTR1A,ECO:0000269|PubMed:23041776,Erythema,0.0
HTR1A,ECO:0000269|PubMed:9716603,Erythema,0.0
HTR1A,ECO:0000269|PubMed:9949182.,Cold agglutinins,1.0
HTR1A,Intellectual developmental disorder,Developmental coordination disorder,0.8837132
HTR1A,autosomal recessive 3 (MRT3),Protein C decreased,0.84026706
HTR1A,DISEASE: Note=Chromosomal aberrations involving FGFR1 are a cause of chromosome 8p11 myeloproliferative syndrome. Translocation t(8,Wrong patient,0.8460117
HTR1A,Encephalocraniocutaneous lipomatosis (ECCL),C-telopeptide increased,0.7810688
HTR1A,8)(p11,Erythema,0.0
HTR1A,13)(p11,Erythema,0.0
MAPK1,Cardiofaciocutaneous syndrome 3 (CFC3),Extranodal marginal zone B-cell lymphoma (MALT type),0.76594
MAPK1,Retinitis pigmentosa 67 (RP67),Henoch-Schonlein purpura,0.7870219
MAPK1,Gastrointestinal stromal tumor (GIST),Langerhans' cell histiocytosis,0.909141
MAPK1,Neurodevelopmental disorder with midbrain and hindbrain malformations (NEDMHM),Blood catecholamines abnormal,0.81723464
MAPK1,Note=Involved in tumorigenic rearrangements with the MET. ECO,Base excess negative,0.8114742
MAPK1,Melorheostosis,Erythema,0.0
MAPK1,isolated (MEL),C-telopeptide increased,0.677069
MAPK1,Lung cancer (LNCR),Vulval cancer stage 0,0.96694124
MAPK1,Colorectal cancer (CRC),Vulval cancer stage 0,0.87173337
MAPK1,q21) with RARA. The PML breakpoints (type A and type B) lie on either side of an alternatively spliced exon. ECO:0000269|PubMed:1652369,No reaction on previous exposure to drug,0.83380175
MAPK1,ECO:0000269|PubMed:1720570.,Cold agglutinins,1.0
MAPK1,DISEASE: Note=A chromosomal aberration involving PML may be a cause of acute promyelocytic leukemia (APL). Translocation t(15,B precursor type acute leukaemia,0.8593559
MAPK1,17)(q21,Erythema,0.0
MAPK1,"""Note=A chromosomal aberration involving TPR has been found in papillary thyroid carcinomas (PTCs). Intrachromosomal rearrangement that links the 5-end of the TPR gene to the protein kinase domain of NTRK1 forms the fusion protein TRK-T1. TRK-T1 is a 55 kDa protein reacting with antibodies against the carboxy terminus of the NTRK1 protein. ECO""",Protein total increased,0.8149555
MAPK1,Note=Defects in BRAF are found in a wide range of cancers. ECO,Activated partial thromboplastin time ratio increased,0.85108304
MAPK1,Mastocytosis,Erythema,0.0
MAPK1,systemic (MASTSYS),Extragonadal primary seminoma (pure),0.7302498
MAPK1,Testicular germ cell tumor (TGCT),Testicular germ cell tumour,0.932951
MAPK1,Hypogonadotropic hypogonadism 19 with or without anosmia (HH19),Extranodal marginal zone B-cell lymphoma (MALT type) stage I,0.72518754
MAPK1,Noonan syndrome 13 (NS13),Extranodal marginal zone B-cell lymphoma (MALT type),0.74944925
MAPK1,Cardiofaciocutaneous syndrome 1 (CFC1),Extranodal marginal zone B-cell lymphoma (MALT type),0.76594
MAPK1,Noonan syndrome 7 (NS7),Extranodal marginal zone B-cell lymphoma (MALT type) stage I,0.6432062
MAPK1,Familial non-Hodgkin lymphoma (NHL),Non-Hodgkin's lymphoma recurrent,0.8417711
MAPK1,Note=A chromosomal aberration involving BRAF is found in pilocytic astrocytomas. A tandem duplication of 2 Mb at 7q34 leads to the expression of a KIAA1549-BRAF fusion protein with a constitutive kinase activity and inducing cell transformation. ECO,Serum amyloid A protein increased,0.8499713
MAPK1,Piebald trait (PBT),C-reactive protein,0.56721616
MAPK1,Leukemia,Acute myeloid leukaemia refractory,0.8974228
MAPK1,acute myelogenous (AML),Precursor T-lymphoblastic lymphoma/leukaemia,0.85662395
MAPK1,LEOPARD syndrome 3 (LPRD3),Extranodal marginal zone B-cell lymphoma (MALT type) stage I,0.7324858
MAPK1,Neonatal nephrocutaneous inflammatory syndrome (NNCIS),Chronic inflammatory demyelinating polyradiculoneuropathy,0.8993444
MAPK1,Intellectual developmental disorder,Developmental coordination disorder,0.8837132
MAPK1,autosomal recessive 79 (MRT79),Protein C decreased,0.8616788
MAPK1,Mastocytosis,Erythema,0.0
MAPK1,cutaneous (MASTC),Lymphoplasmacytoid lymphoma/immunocytoma,0.85642165
OTC,Ornithine carbamoyltransferase deficiency (OTCD),Protein C deficiency,0.8038785
PDCL,Charcot-Marie-Tooth disease,Bernard-Soulier syndrome,0.7669128
PDCL,dominant intermediate F (CMTDIF),Cystatin C increased,0.81818235
PDCL,Night blindness,Night blindness,0.99999994
PDCL,congenital stationary,Light anaesthesia,1.0
PDCL,1H (CSNB1H),C-telopeptide increased,0.62249535
PDCL,Prolonged electroretinal response suppression 1 (PERRS1),Procollagen type I C-terminal propeptide increased,0.7369087
SIK1,Hypomagnesemia,Erythema,0.0
SIK1,seizures,Seizure,1.0
SIK1,and impaired intellectual development 2 (HOMGSMR2),Procollagen type I C-terminal propeptide increased,0.75113446
SIK1,Developmental and epileptic encephalopathy 30 (DEE30),Hepatitis B DNA decreased,0.7797395
SIK1,p13) with MAML2. The fusion protein consists of the N-terminus of CRTC1 joined to the C-terminus of MAML2. The reciprocal fusion protein consisting of the N-terminus of MAML2 joined to the C-terminus of CRTC1 has been detected in a small number of mucoepidermoid carcinomas.,Base excess negative,0.85346496
SIK1,DISEASE: Note=A chromosomal aberration involving CRTC1 is found in mucoepidermoid carcinomas,Hepatitis B DNA increased,0.8450393
SIK1,benign Warthin tumors and clear cell hidradenomas. Translocation t(11,Lung carcinoma cell type unspecified recurrent,0.876343
SIK1,Mucoepithelial dysplasia,Osteoporotic fracture,1.0
SIK1,hereditary (HMD),Hepatitis B DNA increased,0.7020689
SIK1,Neurodevelopmental disorder with central hypotonia and dysmorphic facies (NEDCHF),Amyotrophic lateral sclerosis,0.8223902
SIK1,DISEASE: Note=Defects in STK11 are associated with some sporadic cancers,Model for end stage liver disease score increased,0.87529117
SIK1,especially lung cancers. Frequently mutated and inactivated in non-small cell lung cancer (NSCLC). Defects promote lung cancerigenesis process,Non-small cell lung cancer recurrent,0.9277308
SIK1,especially lung cancer progression and metastasis. Confers lung adenocarcinoma the ability to trans-differentiate into squamous cell carcinoma. Also able to promote lung cancer metastasis,Lung carcinoma cell type unspecified recurrent,0.9411487
SIK1,via both cancer-cell autonomous and non-cancer-cell autonomous mechanisms.,Non-small cell lung cancer,0.91276807
SIK1,Note=HDAC4 point mutations and chromosomal microdeletions encompassing this gene have been found in patients with brachydactyly and intellectual disability syndrome (PubMed,Model for end stage liver disease score increased,0.85542583
SIK1,Charcot-Marie-Tooth disease,Bernard-Soulier syndrome,0.7669128
SIK1,axonal,Hypoglycaemia neonatal,1.0
SIK1,2DD (CMT2DD),C-telopeptide increased,0.7810689
SIK1,19)(q21,Erythema,0.0
SIK1,Note=Defects in SIK1 may be associated with some cancers,Model for end stage liver disease score increased,0.8881209
SIK1,such as breast cancers. Loss of SIK1 correlates with poor patient outcome in breast cancers (PubMed,"Bladder cancer stage 0, with cancer in situ",0.90354407
SIK1,IFAP syndrome 2 (IFAP2),Extranodal marginal zone B-cell lymphoma (MALT type),0.76594
SIK1,Peutz-Jeghers syndrome (PJS),Uveitis-glaucoma-hyphaema syndrome,0.7946217
SIK1,Testicular germ cell tumor (TGCT),Testicular germ cell tumour,0.932951
