Drug,SOC_ABBREV,event_count,total_drug_reports,total_event_report,total_reports
Abiraterone,Gastr,86,662,384857,2398539
Abiraterone,Hepat,31,662,39495,2398539
Abiraterone,Immun,2,662,44496,2398539
Abiraterone,Infec,47,662,119417,2398539
Abiraterone,Metab,51,662,66918,2398539
Abiraterone,Musc,41,662,127857,2398539
Abiraterone,Neopl,58,662,30949,2398539
Abiraterone,Nerv,61,662,369711,2398539
Abiraterone,Prod,7,662,20547,2398539
Abiraterone,Psych,28,662,234508,2398539
Abiraterone,Renal,31,662,54496,2398539
Abiraterone,Repro,5,662,45896,2398539
Abiraterone,Resp,53,662,144266,2398539
Abiraterone,Skin,31,662,342793,2398539
Abiraterone,Vasc,26,662,78716,2398539
Abrocitinib,Blood,2,73,71008,2398539
Abrocitinib,Card,5,73,85175,2398539
Abrocitinib,Eye,3,73,75573,2398539
Abrocitinib,Gastr,12,73,384857,2398539
Abrocitinib,Infec,16,73,119417,2398539
Abrocitinib,Musc,2,73,127857,2398539
Abrocitinib,Nerv,4,73,369711,2398539
Abrocitinib,Preg,1,73,20629,2398539
Abrocitinib,Psych,5,73,234508,2398539
Abrocitinib,Resp,6,73,144266,2398539
Abrocitinib,Skin,16,73,342793,2398539
Abrocitinib,Vasc,1,73,78716,2398539
Acalabrutinib,Blood,57,403,71008,2398539
Acalabrutinib,Card,24,403,85175,2398539
Acalabrutinib,Ear,4,403,19592,2398539
Acalabrutinib,Eye,4,403,75573,2398539
Acalabrutinib,Gastr,53,403,384857,2398539
Acalabrutinib,Hepat,6,403,39495,2398539
Acalabrutinib,Immun,1,403,44496,2398539
Acalabrutinib,Infec,31,403,119417,2398539
Acalabrutinib,Metab,9,403,66918,2398539
Acalabrutinib,Musc,35,403,127857,2398539
Acalabrutinib,Neopl,34,403,30949,2398539
Acalabrutinib,Nerv,64,403,369711,2398539
Acalabrutinib,Prod,1,403,20547,2398539
Acalabrutinib,Psych,3,403,234508,2398539
Acalabrutinib,Renal,5,403,54496,2398539
Acalabrutinib,Repro,2,403,45896,2398539
Acalabrutinib,Resp,13,403,144266,2398539
Acalabrutinib,Skin,34,403,342793,2398539
Acalabrutinib,Vasc,23,403,78716,2398539
Acamprosate,Blood,1,491,71008,2398539
Acamprosate,Card,13,491,85175,2398539
Acamprosate,Cong,1,491,13078,2398539
Acamprosate,Ear,4,491,19592,2398539
Acamprosate,Endo,2,491,8562,2398539
Acamprosate,Eye,7,491,75573,2398539
Acamprosate,Gastr,78,491,384857,2398539
Acamprosate,Hepat,13,491,39495,2398539
Acamprosate,Immun,5,491,44496,2398539
Acamprosate,Infec,13,491,119417,2398539
Acamprosate,Metab,11,491,66918,2398539
Acamprosate,Musc,26,491,127857,2398539
Acamprosate,Neopl,5,491,30949,2398539
Acamprosate,Nerv,68,491,369711,2398539
Acamprosate,Preg,2,491,20629,2398539
Acamprosate,Prod,1,491,20547,2398539
Acamprosate,Psych,93,491,234508,2398539
Acamprosate,Renal,8,491,54496,2398539
Acamprosate,Repro,9,491,45896,2398539
Acamprosate,Resp,23,491,144266,2398539
Acamprosate,Skin,98,491,342793,2398539
Acamprosate,Vasc,10,491,78716,2398539
Acarbose,Blood,1,322,71008,2398539
Acarbose,Card,7,322,85175,2398539
Acarbose,Ear,1,322,19592,2398539
Acarbose,Endo,2,322,8562,2398539
Acarbose,Eye,5,322,75573,2398539
Acarbose,Gastr,194,322,384857,2398539
Acarbose,Hepat,12,322,39495,2398539
Acarbose,Immun,2,322,44496,2398539
Acarbose,Infec,5,322,119417,2398539
Acarbose,Metab,12,322,66918,2398539
Acarbose,Musc,7,322,127857,2398539
Acarbose,Nerv,15,322,369711,2398539
Acarbose,Preg,1,322,20629,2398539
Acarbose,Psych,8,322,234508,2398539
Acarbose,Renal,4,322,54496,2398539
Acarbose,Repro,2,322,45896,2398539
Acarbose,Resp,6,322,144266,2398539
Acarbose,Skin,36,322,342793,2398539
Acarbose,Vasc,2,322,78716,2398539
Acebutolol,Blood,4,550,71008,2398539
Acebutolol,Card,26,550,85175,2398539
Acebutolol,Cong,1,550,13078,2398539
Acebutolol,Ear,9,550,19592,2398539
Acebutolol,Eye,72,550,75573,2398539
Acebutolol,Gastr,66,550,384857,2398539
Acebutolol,Hepat,1,550,39495,2398539
Acebutolol,Immun,3,550,44496,2398539
Acebutolol,Infec,27,550,119417,2398539
Acebutolol,Metab,8,550,66918,2398539
Acebutolol,Musc,21,550,127857,2398539
Acebutolol,Nerv,58,550,369711,2398539
Acebutolol,Psych,32,550,234508,2398539
Acebutolol,Renal,3,550,54496,2398539
Acebutolol,Repro,12,550,45896,2398539
Acebutolol,Resp,22,550,144266,2398539
Acebutolol,Skin,163,550,342793,2398539
Acebutolol,Vasc,22,550,78716,2398539
Aceclofenac,Blood,4,283,71008,2398539
Aceclofenac,Card,3,283,85175,2398539
Aceclofenac,Ear,4,283,19592,2398539
Aceclofenac,Eye,14,283,75573,2398539
Aceclofenac,Gastr,88,283,384857,2398539
Aceclofenac,Hepat,4,283,39495,2398539
Aceclofenac,Immun,5,283,44496,2398539
Aceclofenac,Infec,1,283,119417,2398539
Aceclofenac,Metab,3,283,66918,2398539
Aceclofenac,Musc,2,283,127857,2398539
Aceclofenac,Nerv,38,283,369711,2398539
Aceclofenac,Psych,19,283,234508,2398539
Aceclofenac,Renal,8,283,54496,2398539
Aceclofenac,Repro,5,283,45896,2398539
Aceclofenac,Resp,18,283,144266,2398539
Aceclofenac,Skin,61,283,342793,2398539
Aceclofenac,Vasc,6,283,78716,2398539
Acemetacin,Blood,6,366,71008,2398539
Acemetacin,Card,8,366,85175,2398539
Acemetacin,Ear,5,366,19592,2398539
Acemetacin,Eye,20,366,75573,2398539
Acemetacin,Gastr,121,366,384857,2398539
Acemetacin,Hepat,2,366,39495,2398539
Acemetacin,Immun,2,366,44496,2398539
Acemetacin,Infec,8,366,119417,2398539
Acemetacin,Metab,7,366,66918,2398539
Acemetacin,Musc,2,366,127857,2398539
Acemetacin,Neopl,1,366,30949,2398539
Acemetacin,Nerv,68,366,369711,2398539
Acemetacin,Psych,30,366,234508,2398539
Acemetacin,Renal,9,366,54496,2398539
Acemetacin,Repro,3,366,45896,2398539
Acemetacin,Resp,19,366,144266,2398539
Acemetacin,Skin,50,366,342793,2398539
Acemetacin,Vasc,5,366,78716,2398539
Acepifylline,Gastr,4,16,384857,2398539
Acepifylline,Immun,1,16,44496,2398539
Acepifylline,Nerv,1,16,369711,2398539
Acepifylline,Psych,2,16,234508,2398539
Acepifylline,Resp,1,16,144266,2398539
Acepifylline,Skin,7,16,342793,2398539
Acetazolamide,Blood,29,1117,71008,2398539
Acetazolamide,Card,24,1117,85175,2398539
Acetazolamide,Cong,14,1117,13078,2398539
Acetazolamide,Ear,34,1117,19592,2398539
Acetazolamide,Endo,1,1117,8562,2398539
Acetazolamide,Eye,73,1117,75573,2398539
Acetazolamide,Gastr,126,1117,384857,2398539
Acetazolamide,Hepat,9,1117,39495,2398539
Acetazolamide,Immun,7,1117,44496,2398539
Acetazolamide,Infec,9,1117,119417,2398539
Acetazolamide,Metab,78,1117,66918,2398539
Acetazolamide,Musc,42,1117,127857,2398539
Acetazolamide,Neopl,3,1117,30949,2398539
Acetazolamide,Nerv,290,1117,369711,2398539
Acetazolamide,Preg,4,1117,20629,2398539
Acetazolamide,Prod,7,1117,20547,2398539
Acetazolamide,Psych,108,1117,234508,2398539
Acetazolamide,Renal,98,1117,54496,2398539
Acetazolamide,Repro,10,1117,45896,2398539
Acetazolamide,Resp,47,1117,144266,2398539
Acetazolamide,Skin,88,1117,342793,2398539
Acetazolamide,Vasc,16,1117,78716,2398539
Acetic Acid,Blood,4,486,71008,2398539
Acetic Acid,Card,4,486,85175,2398539
Acetic Acid,Ear,174,486,19592,2398539
Acetic Acid,Endo,1,486,8562,2398539
Acetic Acid,Eye,31,486,75573,2398539
Acetic Acid,Gastr,32,486,384857,2398539
Acetic Acid,Immun,8,486,44496,2398539
Acetic Acid,Infec,10,486,119417,2398539
Acetic Acid,Metab,2,486,66918,2398539
Acetic Acid,Musc,6,486,127857,2398539
Acetic Acid,Neopl,1,486,30949,2398539
Acetic Acid,Nerv,72,486,369711,2398539
Acetic Acid,Prod,4,486,20547,2398539
Acetic Acid,Psych,10,486,234508,2398539
Acetic Acid,Renal,1,486,54496,2398539
Acetic Acid,Repro,2,486,45896,2398539
Acetic Acid,Resp,15,486,144266,2398539
Acetic Acid,Skin,108,486,342793,2398539
Acetic Acid,Vasc,1,486,78716,2398539
Acetohexamide,Endo,1,3,8562,2398539
Acetohexamide,Metab,1,3,66918,2398539
Acetohexamide,Nerv,1,3,369711,2398539
Acetylcholine,Eye,2,2,75573,2398539
Acetylcysteine,Blood,11,1201,71008,2398539
Acetylcysteine,Card,49,1201,85175,2398539
Acetylcysteine,Cong,3,1201,13078,2398539
Acetylcysteine,Ear,5,1201,19592,2398539
Acetylcysteine,Eye,43,1201,75573,2398539
Acetylcysteine,Gastr,149,1201,384857,2398539
Acetylcysteine,Hepat,14,1201,39495,2398539
Acetylcysteine,Immun,160,1201,44496,2398539
Acetylcysteine,Infec,11,1201,119417,2398539
Acetylcysteine,Metab,21,1201,66918,2398539
Acetylcysteine,Musc,14,1201,127857,2398539
Acetylcysteine,Neopl,1,1201,30949,2398539
Acetylcysteine,Nerv,69,1201,369711,2398539
Acetylcysteine,Preg,1,1201,20629,2398539
Acetylcysteine,Prod,3,1201,20547,2398539
Acetylcysteine,Psych,15,1201,234508,2398539
Acetylcysteine,Renal,61,1201,54496,2398539
Acetylcysteine,Resp,165,1201,144266,2398539
Acetylcysteine,Skin,333,1201,342793,2398539
Acetylcysteine,Vasc,73,1201,78716,2398539
Acipimox,Card,10,175,85175,2398539
Acipimox,Ear,2,175,19592,2398539
Acipimox,Eye,6,175,75573,2398539
Acipimox,Gastr,21,175,384857,2398539
Acipimox,Immun,4,175,44496,2398539
Acipimox,Metab,3,175,66918,2398539
Acipimox,Musc,7,175,127857,2398539
Acipimox,Nerv,31,175,369711,2398539
Acipimox,Psych,7,175,234508,2398539
Acipimox,Renal,2,175,54496,2398539
Acipimox,Repro,2,175,45896,2398539
Acipimox,Resp,9,175,144266,2398539
Acipimox,Skin,54,175,342793,2398539
Acipimox,Vasc,17,175,78716,2398539
Acitretin,Blood,24,915,71008,2398539
Acitretin,Card,13,915,85175,2398539
Acitretin,Cong,6,915,13078,2398539
Acitretin,Ear,17,915,19592,2398539
Acitretin,Endo,6,915,8562,2398539
Acitretin,Eye,82,915,75573,2398539
Acitretin,Gastr,106,915,384857,2398539
Acitretin,Hepat,38,915,39495,2398539
Acitretin,Immun,2,915,44496,2398539
Acitretin,Infec,30,915,119417,2398539
Acitretin,Metab,18,915,66918,2398539
Acitretin,Musc,96,915,127857,2398539
Acitretin,Neopl,22,915,30949,2398539
Acitretin,Nerv,78,915,369711,2398539
Acitretin,Preg,4,915,20629,2398539
Acitretin,Prod,1,915,20547,2398539
Acitretin,Psych,49,915,234508,2398539
Acitretin,Renal,35,915,54496,2398539
Acitretin,Repro,29,915,45896,2398539
Acitretin,Resp,44,915,144266,2398539
Acitretin,Skin,201,915,342793,2398539
Acitretin,Vasc,14,915,78716,2398539
Aclidinium,Blood,1,907,71008,2398539
Aclidinium,Card,45,907,85175,2398539
Aclidinium,Eye,37,907,75573,2398539
Aclidinium,Gastr,217,907,384857,2398539
Aclidinium,Immun,3,907,44496,2398539
Aclidinium,Infec,25,907,119417,2398539
Aclidinium,Metab,6,907,66918,2398539
Aclidinium,Musc,39,907,127857,2398539
Aclidinium,Neopl,1,907,30949,2398539
Aclidinium,Nerv,139,907,369711,2398539
Aclidinium,Prod,39,907,20547,2398539
Aclidinium,Psych,35,907,234508,2398539
Aclidinium,Renal,22,907,54496,2398539
Aclidinium,Repro,3,907,45896,2398539
Aclidinium,Resp,204,907,144266,2398539
Aclidinium,Skin,89,907,342793,2398539
Aclidinium,Vasc,2,907,78716,2398539
Acrivastine,Blood,3,452,71008,2398539
Acrivastine,Card,25,452,85175,2398539
Acrivastine,Cong,1,452,13078,2398539
Acrivastine,Ear,8,452,19592,2398539
Acrivastine,Eye,23,452,75573,2398539
Acrivastine,Gastr,56,452,384857,2398539
Acrivastine,Hepat,2,452,39495,2398539
Acrivastine,Immun,11,452,44496,2398539
Acrivastine,Infec,7,452,119417,2398539
Acrivastine,Metab,2,452,66918,2398539
Acrivastine,Musc,26,452,127857,2398539
Acrivastine,Neopl,2,452,30949,2398539
Acrivastine,Nerv,102,452,369711,2398539
Acrivastine,Preg,2,452,20629,2398539
Acrivastine,Prod,2,452,20547,2398539
Acrivastine,Psych,37,452,234508,2398539
Acrivastine,Renal,10,452,54496,2398539
Acrivastine,Repro,4,452,45896,2398539
Acrivastine,Resp,18,452,144266,2398539
Acrivastine,Skin,102,452,342793,2398539
Acrivastine,Vasc,9,452,78716,2398539
Acrosoxacin,Musc,1,3,127857,2398539
Acrosoxacin,Skin,2,3,342793,2398539
Acyclovir,Blood,84,4037,71008,2398539
Acyclovir,Card,61,4037,85175,2398539
Acyclovir,Cong,36,4037,13078,2398539
Acyclovir,Ear,30,4037,19592,2398539
Acyclovir,Endo,9,4037,8562,2398539
Acyclovir,Eye,119,4037,75573,2398539
Acyclovir,Gastr,595,4037,384857,2398539
Acyclovir,Hepat,65,4037,39495,2398539
Acyclovir,Immun,55,4037,44496,2398539
Acyclovir,Infec,243,4037,119417,2398539
Acyclovir,Metab,78,4037,66918,2398539
Acyclovir,Musc,124,4037,127857,2398539
Acyclovir,Neopl,14,4037,30949,2398539
Acyclovir,Nerv,716,4037,369711,2398539
Acyclovir,Preg,50,4037,20629,2398539
Acyclovir,Prod,16,4037,20547,2398539
Acyclovir,Psych,474,4037,234508,2398539
Acyclovir,Renal,265,4037,54496,2398539
Acyclovir,Repro,50,4037,45896,2398539
Acyclovir,Resp,115,4037,144266,2398539
Acyclovir,Skin,766,4037,342793,2398539
Acyclovir,Vasc,72,4037,78716,2398539
Adalimumab,Blood,261,20661,71008,2398539
Adalimumab,Card,638,20661,85175,2398539
Adalimumab,Cong,39,20661,13078,2398539
Adalimumab,Ear,155,20661,19592,2398539
Adalimumab,Endo,31,20661,8562,2398539
Adalimumab,Eye,637,20661,75573,2398539
Adalimumab,Gastr,2241,20661,384857,2398539
Adalimumab,Hepat,144,20661,39495,2398539
Adalimumab,Immun,296,20661,44496,2398539
Adalimumab,Infec,3678,20661,119417,2398539
Adalimumab,Metab,247,20661,66918,2398539
Adalimumab,Musc,1934,20661,127857,2398539
Adalimumab,Neopl,1126,20661,30949,2398539
Adalimumab,Nerv,2331,20661,369711,2398539
Adalimumab,Preg,127,20661,20629,2398539
Adalimumab,Prod,715,20661,20547,2398539
Adalimumab,Psych,791,20661,234508,2398539
Adalimumab,Renal,304,20661,54496,2398539
Adalimumab,Repro,201,20661,45896,2398539
Adalimumab,Resp,1372,20661,144266,2398539
Adalimumab,Skin,2955,20661,342793,2398539
Adalimumab,Vasc,438,20661,78716,2398539
Adapalene,Eye,80,501,75573,2398539
Adapalene,Gastr,10,501,384857,2398539
Adapalene,Immun,19,501,44496,2398539
Adapalene,Infec,1,501,119417,2398539
Adapalene,Nerv,17,501,369711,2398539
Adapalene,Preg,4,501,20629,2398539
Adapalene,Psych,2,501,234508,2398539
Adapalene,Repro,1,501,45896,2398539
Adapalene,Resp,12,501,144266,2398539
Adapalene,Skin,355,501,342793,2398539
Adefovir,Blood,3,59,71008,2398539
Adefovir,Cong,2,59,13078,2398539
Adefovir,Eye,1,59,75573,2398539
Adefovir,Gastr,9,59,384857,2398539
Adefovir,Infec,2,59,119417,2398539
Adefovir,Metab,6,59,66918,2398539
Adefovir,Musc,12,59,127857,2398539
Adefovir,Nerv,6,59,369711,2398539
Adefovir,Prod,1,59,20547,2398539
Adefovir,Renal,13,59,54496,2398539
Adefovir,Skin,3,59,342793,2398539
Adefovir,Vasc,1,59,78716,2398539
Adenine,Blood,5,5,71008,2398539
Adenophora,Eye,1,7,75573,2398539
Adenophora,Gastr,2,7,384857,2398539
Adenophora,Nerv,3,7,369711,2398539
Adenophora,Renal,1,7,54496,2398539
Adenosine,Card,63,237,85175,2398539
Adenosine,Eye,9,237,75573,2398539
Adenosine,Gastr,10,237,384857,2398539
Adenosine,Immun,8,237,44496,2398539
Adenosine,Metab,1,237,66918,2398539
Adenosine,Musc,7,237,127857,2398539
Adenosine,Nerv,33,237,369711,2398539
Adenosine,Preg,4,237,20629,2398539
Adenosine,Prod,2,237,20547,2398539
Adenosine,Psych,3,237,234508,2398539
Adenosine,Renal,1,237,54496,2398539
Adenosine,Repro,1,237,45896,2398539
Adenosine,Resp,53,237,144266,2398539
Adenosine,Skin,23,237,342793,2398539
Adenosine,Vasc,19,237,78716,2398539
Afamelanotide,Nerv,1,1,369711,2398539
Afatinib,Blood,1,241,71008,2398539
Afatinib,Card,6,241,85175,2398539
Afatinib,Eye,3,241,75573,2398539
Afatinib,Gastr,59,241,384857,2398539
Afatinib,Hepat,2,241,39495,2398539
Afatinib,Infec,22,241,119417,2398539
Afatinib,Metab,6,241,66918,2398539
Afatinib,Neopl,34,241,30949,2398539
Afatinib,Nerv,22,241,369711,2398539
Afatinib,Psych,14,241,234508,2398539
Afatinib,Renal,3,241,54496,2398539
Afatinib,Repro,1,241,45896,2398539
Afatinib,Resp,28,241,144266,2398539
Afatinib,Skin,40,241,342793,2398539
Aflibercept,Blood,14,1136,71008,2398539
Aflibercept,Card,30,1136,85175,2398539
Aflibercept,Ear,4,1136,19592,2398539
Aflibercept,Endo,1,1136,8562,2398539
Aflibercept,Eye,547,1136,75573,2398539
Aflibercept,Gastr,72,1136,384857,2398539
Aflibercept,Hepat,1,1136,39495,2398539
Aflibercept,Immun,3,1136,44496,2398539
Aflibercept,Infec,171,1136,119417,2398539
Aflibercept,Metab,4,1136,66918,2398539
Aflibercept,Musc,17,1136,127857,2398539
Aflibercept,Neopl,8,1136,30949,2398539
Aflibercept,Nerv,116,1136,369711,2398539
Aflibercept,Preg,5,1136,20629,2398539
Aflibercept,Prod,18,1136,20547,2398539
Aflibercept,Psych,21,1136,234508,2398539
Aflibercept,Renal,16,1136,54496,2398539
Aflibercept,Repro,5,1136,45896,2398539
Aflibercept,Resp,40,1136,144266,2398539
Aflibercept,Skin,19,1136,342793,2398539
Aflibercept,Vasc,24,1136,78716,2398539
Agomelatine,Blood,3,314,71008,2398539
Agomelatine,Card,5,314,85175,2398539
Agomelatine,Ear,3,314,19592,2398539
Agomelatine,Endo,6,314,8562,2398539
Agomelatine,Eye,8,314,75573,2398539
Agomelatine,Gastr,43,314,384857,2398539
Agomelatine,Hepat,6,314,39495,2398539
Agomelatine,Infec,5,314,119417,2398539
Agomelatine,Metab,7,314,66918,2398539
Agomelatine,Musc,20,314,127857,2398539
Agomelatine,Nerv,60,314,369711,2398539
Agomelatine,Psych,109,314,234508,2398539
Agomelatine,Repro,6,314,45896,2398539
Agomelatine,Resp,6,314,144266,2398539
Agomelatine,Skin,19,314,342793,2398539
Agomelatine,Vasc,8,314,78716,2398539
Agrimonia,Renal,1,1,54496,2398539
Agropyron Repens,Gastr,4,13,384857,2398539
Agropyron Repens,Hepat,1,13,39495,2398539
Agropyron Repens,Infec,1,13,119417,2398539
Agropyron Repens,Metab,2,13,66918,2398539
Agropyron Repens,Nerv,4,13,369711,2398539
Agropyron Repens,Renal,1,13,54496,2398539
Ajmaline,Blood,1,14,71008,2398539
Ajmaline,Card,6,14,85175,2398539
Ajmaline,Cong,1,14,13078,2398539
Ajmaline,Hepat,3,14,39495,2398539
Ajmaline,Immun,1,14,44496,2398539
Ajmaline,Metab,1,14,66918,2398539
Ajmaline,Skin,1,14,342793,2398539
Alanine,Blood,3,633,71008,2398539
Alanine,Card,24,633,85175,2398539
Alanine,Eye,1,633,75573,2398539
Alanine,Gastr,155,633,384857,2398539
Alanine,Hepat,11,633,39495,2398539
Alanine,Immun,17,633,44496,2398539
Alanine,Infec,170,633,119417,2398539
Alanine,Metab,41,633,66918,2398539
Alanine,Musc,14,633,127857,2398539
Alanine,Nerv,53,633,369711,2398539
Alanine,Preg,6,633,20629,2398539
Alanine,Prod,8,633,20547,2398539
Alanine,Psych,12,633,234508,2398539
Alanine,Renal,4,633,54496,2398539
Alanine,Repro,1,633,45896,2398539
Alanine,Resp,31,633,144266,2398539
Alanine,Skin,60,633,342793,2398539
Alanine,Vasc,22,633,78716,2398539
Alathon Polyethylene Resin,Repro,1,1,45896,2398539
Albendazole,Blood,9,54,71008,2398539
Albendazole,Cong,1,54,13078,2398539
Albendazole,Gastr,12,54,384857,2398539
Albendazole,Hepat,9,54,39495,2398539
Albendazole,Musc,3,54,127857,2398539
Albendazole,Neopl,1,54,30949,2398539
Albendazole,Nerv,3,54,369711,2398539
Albendazole,Preg,1,54,20629,2398539
Albendazole,Psych,7,54,234508,2398539
Albendazole,Resp,2,54,144266,2398539
Albendazole,Skin,3,54,342793,2398539
Albendazole,Vasc,3,54,78716,2398539
Albumin,Blood,5,334,71008,2398539
Albumin,Card,26,334,85175,2398539
Albumin,Ear,2,334,19592,2398539
Albumin,Eye,3,334,75573,2398539
Albumin,Gastr,28,334,384857,2398539
Albumin,Hepat,2,334,39495,2398539
Albumin,Immun,32,334,44496,2398539
Albumin,Infec,22,334,119417,2398539
Albumin,Metab,3,334,66918,2398539
Albumin,Musc,7,334,127857,2398539
Albumin,Nerv,41,334,369711,2398539
Albumin,Preg,1,334,20629,2398539
Albumin,Prod,4,334,20547,2398539
Albumin,Psych,4,334,234508,2398539
Albumin,Resp,52,334,144266,2398539
Albumin,Skin,62,334,342793,2398539
Albumin,Vasc,40,334,78716,2398539
Alchemilla Vulgaris,Immun,1,1,44496,2398539
Alclofenac,Blood,9,608,71008,2398539
Alclofenac,Card,4,608,85175,2398539
Alclofenac,Ear,2,608,19592,2398539
Alclofenac,Eye,5,608,75573,2398539
Alclofenac,Gastr,66,608,384857,2398539
Alclofenac,Hepat,3,608,39495,2398539
Alclofenac,Immun,6,608,44496,2398539
Alclofenac,Infec,8,608,119417,2398539
Alclofenac,Metab,4,608,66918,2398539
Alclofenac,Musc,3,608,127857,2398539
Alclofenac,Nerv,22,608,369711,2398539
Alclofenac,Psych,8,608,234508,2398539
Alclofenac,Renal,7,608,54496,2398539
Alclofenac,Repro,1,608,45896,2398539
Alclofenac,Resp,5,608,144266,2398539
Alclofenac,Skin,446,608,342793,2398539
Alclofenac,Vasc,9,608,78716,2398539
Alclometasone,Infec,1,5,119417,2398539
Alclometasone,Skin,4,5,342793,2398539
Alectinib,Blood,2,95,71008,2398539
Alectinib,Card,15,95,85175,2398539
Alectinib,Eye,3,95,75573,2398539
Alectinib,Gastr,2,95,384857,2398539
Alectinib,Hepat,3,95,39495,2398539
Alectinib,Immun,1,95,44496,2398539
Alectinib,Infec,6,95,119417,2398539
Alectinib,Musc,8,95,127857,2398539
Alectinib,Nerv,6,95,369711,2398539
Alectinib,Psych,5,95,234508,2398539
Alectinib,Renal,4,95,54496,2398539
Alectinib,Resp,23,95,144266,2398539
Alectinib,Skin,13,95,342793,2398539
Alectinib,Vasc,4,95,78716,2398539
Alemtuzumab,Blood,260,3043,71008,2398539
Alemtuzumab,Card,116,3043,85175,2398539
Alemtuzumab,Cong,6,3043,13078,2398539
Alemtuzumab,Ear,11,3043,19592,2398539
Alemtuzumab,Endo,144,3043,8562,2398539
Alemtuzumab,Eye,70,3043,75573,2398539
Alemtuzumab,Gastr,201,3043,384857,2398539
Alemtuzumab,Hepat,59,3043,39495,2398539
Alemtuzumab,Immun,93,3043,44496,2398539
Alemtuzumab,Infec,620,3043,119417,2398539
Alemtuzumab,Metab,38,3043,66918,2398539
Alemtuzumab,Musc,121,3043,127857,2398539
Alemtuzumab,Neopl,148,3043,30949,2398539
Alemtuzumab,Nerv,425,3043,369711,2398539
Alemtuzumab,Preg,12,3043,20629,2398539
