PT,HLT,HLGT,SOC_ABBREV
Haemorrhage in pregnancy,Haemorrhagic complications of pregnancy,Maternal complications of pregnancy,Preg
Blood creatine phosphokinase increased,Skeletal and cardiac muscle analyses,Enzyme investigations NEC,Inv
Tachycardia,Rate and rhythm disorders NEC,Cardiac arrhythmias,Card
Hepatic steatosis,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepat
Pancreatitis haemorrhagic,Acute and chronic pancreatitis,Exocrine pancreas conditions,Gastr
Anaemia,Anaemias NEC,Anaemias nonhaemolytic and marrow depression,Blood
Confusional state,Confusion and disorientation,Deliria (incl confusion),Psych
Hepatic failure,Hepatic failure and associated disorders,Hepatic and hepatobiliary disorders,Hepat
Hepatomegaly,Hepatobiliary signs and symptoms,Hepatic and hepatobiliary disorders,Hepat
Lower respiratory tract infection,Lower respiratory tract and lung infections,Infections - pathogen unspecified,Infec
Metastases to liver,Metastases to specified sites,Metastases,Neopl
Non-Hodgkin's lymphoma,Non-Hodgkin's lymphomas NEC,Lymphomas non-Hodgkin's unspecified histology,Neopl
Chest pain,Pain and discomfort NEC,General system disorders NEC,Genrl
Depression,Depressive disorders,Depressed mood disorders and disturbances,Psych
Retching,Nausea and vomiting symptoms,Gastrointestinal signs and symptoms,Gastr
Overdose,Overdoses NEC,Overdoses and underdoses NEC,Inj&P
Osteoporosis,Metabolic bone disorders,Bone disorders (excl congenital and fractures),Musc
Insulin resistance,Hyperglycaemic conditions NEC,Glucose metabolism disorders (incl diabetes mellitus),Metab
Vaginal haemorrhage,Vulvovaginal disorders NEC,Vulvovaginal disorders (excl infections and inflammations),Repro
Blood insulin increased,"Gastrointestinal, pancreatic and APUD hormone analyses",Endocrine investigations (incl sex hormones),Inv
Foetal distress syndrome,Foetal complications NEC,Foetal complications,Preg
Foetal exposure during pregnancy,"Exposures associated with pregnancy, delivery and lactation","Exposures, chemical injuries and poisoning",Inj&P
Hypoglycaemia neonatal,Hypoglycaemic conditions NEC,Glucose metabolism disorders (incl diabetes mellitus),Metab
Nervous system disorder,Nervous system disorders NEC,Neurological disorders NEC,Nerv
Small for dates baby,Gestational age and weight conditions,Neonatal and perinatal conditions,Preg
Cardiac failure,Heart failures NEC,Heart failures,Card
Cyanosis,Peripheral vascular disorders NEC,Vascular disorders NEC,Vasc
Drug hypersensitivity,"Allergies to foods, food additives, drugs and other chemicals",Allergic conditions,Immun
Neutropenia,Neutropenias,White blood cell disorders,Blood
Pleural effusion,Pneumothorax and pleural effusions NEC,Pleural disorders,Resp
Hepatitis,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepat
Dysphagia,Gastrointestinal signs and symptoms NEC,Gastrointestinal signs and symptoms,Gastr
Dysphonia,Upper respiratory tract signs and symptoms,Respiratory tract signs and symptoms,Resp
Laryngeal pain,Upper respiratory tract signs and symptoms,Respiratory tract signs and symptoms,Resp
Odynophagia,Gastrointestinal signs and symptoms NEC,Gastrointestinal signs and symptoms,Gastr
Skin disorder,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Dyspepsia,Dyspeptic signs and symptoms,Gastrointestinal signs and symptoms,Gastr
Chondrocalcinosis,Crystal arthropathic disorders,Joint disorders,Musc
Cleft lip,"Musculoskeletal and connective tissue disorders of face, neck and jaw congenital",Musculoskeletal and connective tissue disorders congenital,Cong
Cleft palate,Palate disorders congenital,Gastrointestinal tract disorders congenital,Cong
Pneumonitis,Lower respiratory tract inflammatory and immunologic conditions,Lower respiratory tract disorders (excl obstruction and infection),Resp
Pigmentation disorder,Pigmentation changes NEC,Pigmentation disorders,Skin
Rash pruritic,"Rashes, eruptions and exanthems NEC",Epidermal and dermal conditions,Skin
Premature baby,Gestational age and weight conditions,Neonatal and perinatal conditions,Preg
Salivary hypersecretion,Oral dryness and saliva altered,Salivary gland conditions,Gastr
Abnormal behaviour,Abnormal behaviour NEC,Psychiatric and behavioural symptoms NEC,Psych
Anal incontinence,Gastrointestinal signs and symptoms NEC,Gastrointestinal signs and symptoms,Gastr
Catatonia,Decreased physical activity levels,Changes in physical activity,Psych
Crying,General signs and symptoms NEC,General system disorders NEC,Genrl
Euphoric mood,Emotional and mood disturbances NEC,Mood disorders and disturbances NEC,Psych
"Hallucinations, mixed",Hallucinations (excl sleep-related),Disturbances in thinking and perception,Psych
Mutism,Communications disorders,Communication disorders and disturbances,Psych
Persecutory delusion,Delusional symptoms,Disturbances in thinking and perception,Psych
Psychotic disorder,Psychotic disorder NEC,Schizophrenia and other psychotic disorders,Psych
Radial nerve palsy,Mononeuropathies,Peripheral neuropathies,Nerv
Urinary incontinence,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal
Aspiration,Respiratory tract disorders NEC,Respiratory disorders NEC,Resp
Osteoporotic fracture,Fractures NEC,Fractures,Musc
C-reactive protein increased,Protein analyses NEC,Protein and chemistry analyses NEC,Inv
Biliary dilatation,Structural and other bile duct disorders,Bile duct disorders,Hepat
Jaundice,Cholestasis and jaundice,Hepatic and hepatobiliary disorders,Hepat
Liver function test abnormal,Hepatobiliary function diagnostic procedures,Hepatobiliary investigations,Inv
Blindness,Visual impairment and blindness (excl colour blindness),Vision disorders,Eye
Retinitis,Eye and eyelid infections,Infections - pathogen unspecified,Infec
Peripheral vascular disorder,Peripheral vascular disorders NEC,Vascular disorders NEC,Vasc
Neutrophilia,Leukocytoses NEC,White blood cell disorders,Blood
Blood HIV RNA increased,Virus identification and serology,Microbiology and serology investigations,Inv
Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders NEC,Musc
Premature rupture of membranes,Labour onset and length abnormalities,Maternal complications of labour and delivery,Preg
Stillbirth,Stillbirth and foetal death,Abortions and stillbirth,Preg
Dry skin,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Generalised oedema,Oedema NEC,General system disorders NEC,Genrl
Thirst,Feelings and sensations NEC,General system disorders NEC,Genrl
Deafness,Hearing losses,Hearing disorders,Ear
Neuropathy peripheral,Peripheral neuropathies NEC,Peripheral neuropathies,Nerv
Sensitive skin,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Oedema peripheral,Oedema NEC,General system disorders NEC,Genrl
Pruritus,Pruritus NEC,Epidermal and dermal conditions,Skin
Sudden death,Death and sudden death,Fatal outcomes,Genrl
Nasal congestion,Nasal congestion and inflammations,Upper respiratory tract disorders (excl infections),Resp
Electric shock sensation,Sensory abnormalities NEC,Neurological disorders NEC,Nerv
Feeling hot,Feelings and sensations NEC,General system disorders NEC,Genrl
Agoraphobia,Fear symptoms and phobic disorders (incl social phobia),Anxiety disorders and symptoms,Psych
Paranoia,Behaviour and socialisation disturbances,Personality disorders and disturbances in behaviour,Psych
Orthostatic hypotension,Vascular hypotensive disorders,Decreased and nonspecific blood pressure disorders and shock,Vasc
Chronic myeloid leukaemia,Leukaemias chronic myeloid,Leukaemias,Neopl
Acidosis,Mixed acid-base disorders,Acid-base disorders,Metab
Myoglobinuria,Urinary abnormalities,Urinary tract signs and symptoms,Renal
Lymphadenopathy,Lymphatic system disorders NEC,"Spleen, lymphatic and reticuloendothelial system disorders",Blood
Renal tubular dysfunction,Nephropathies and tubular disorders NEC,Nephropathies,Renal
Blood bilirubin increased,Hepatobiliary function diagnostic procedures,Hepatobiliary investigations,Inv
Skin exfoliation,Exfoliative conditions,Epidermal and dermal conditions,Skin
Urinary retention,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal
Dermatitis exfoliative generalised,Exfoliative conditions,Epidermal and dermal conditions,Skin
Cerebral haemorrhage,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nerv
Cholestasis,Cholestasis and jaundice,Hepatic and hepatobiliary disorders,Hepat
Drug interaction,Interactions,Therapeutic and nontherapeutic effects (excl toxicity),Genrl
Generalised tonic-clonic seizure,Generalised tonic-clonic seizures,Seizures (incl subtypes),Nerv
Hepatic function abnormal,Hepatic enzymes and function abnormalities,Hepatic and hepatobiliary disorders,Hepat
Hepatic necrosis,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepat
Hypertension,Vascular hypertensive disorders NEC,Vascular hypertensive disorders,Vasc
Mitochondrial cytopathy,Cell metabolism disorders NEC,Metabolism disorders NEC,Metab
Necrosis,Necrosis NEC,Tissue disorders NEC,Genrl
Loss of libido,Sexual desire disorders,"Sexual dysfunctions, disturbances and gender identity disorders",Psych
Liver function test increased,Hepatobiliary function diagnostic procedures,Hepatobiliary investigations,Inv
Coordination abnormal,Coordination and balance disturbances,Neurological disorders NEC,Nerv
Affective disorder,Mood disorders NEC,Mood disorders and disturbances NEC,Psych
Panic attack,Panic attacks and disorders,Anxiety disorders and symptoms,Psych
Suicidal ideation,Suicidal and self-injurious behaviour,Suicidal and self-injurious behaviours NEC,Psych
"Hallucination, auditory",Hallucinations (excl sleep-related),Disturbances in thinking and perception,Psych
Alopecia,Alopecias,Skin appendage conditions,Skin
Acute psychosis,Psychotic disorder NEC,Schizophrenia and other psychotic disorders,Psych
Flatulence,"Flatulence, bloating and distension",Gastrointestinal signs and symptoms,Gastr
Muscular weakness,Muscle weakness conditions,Muscle disorders,Musc
Diffuse alopecia,Alopecias,Skin appendage conditions,Skin
Aplasia pure red cell,Marrow depression and hypoplastic anaemias,Anaemias nonhaemolytic and marrow depression,Blood
Bone marrow disorder,Haematological disorders,Haematological disorders NEC,Blood
Macrocytosis,Red blood cell abnormal findings NEC,Red blood cell disorders,Blood
Myeloid maturation arrest,Marrow depression and hypoplastic anaemias,Anaemias nonhaemolytic and marrow depression,Blood
Palpitations,Cardiac signs and symptoms NEC,"Cardiac disorders, signs and symptoms NEC",Card
Dysuria,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal
Ear pain,Ear disorders NEC,Aural disorders NEC,Ear
Pollakiuria,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal
Pulmonary embolism,Pulmonary thrombotic and embolic conditions,Pulmonary vascular disorders,Resp
Blister,Bullous conditions,Epidermal and dermal conditions,Skin
Platelet count decreased,Platelet analyses,Haematology investigations (incl blood groups),Inv
Rash morbilliform,"Rashes, eruptions and exanthems NEC",Epidermal and dermal conditions,Skin
Gingival pain,"Gingival disorders, signs and symptoms NEC",Dental and gingival conditions,Gastr
Taste disorder,Sensory abnormalities NEC,Neurological disorders NEC,Nerv
Premature separation of placenta,Haemorrhagic complications of pregnancy,Maternal complications of pregnancy,Preg
Aplastic anaemia,Marrow depression and hypoplastic anaemias,Anaemias nonhaemolytic and marrow depression,Blood
Eye infection,Eye and eyelid infections,Infections - pathogen unspecified,Infec
Pancytopenia,Marrow depression and hypoplastic anaemias,Anaemias nonhaemolytic and marrow depression,Blood
Drug ineffective,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),Genrl
Skin depigmentation,Hypopigmentation disorders,Pigmentation disorders,Skin
Aggression,Behaviour and socialisation disturbances,Personality disorders and disturbances in behaviour,Psych
Dissociation,Dissociative states,Dissociative disorders,Psych
Blood prolactin increased,Pituitary analyses anterior,Endocrine investigations (incl sex hormones),Inv
Abortion missed,Abortions not specified as induced or spontaneous,Abortions and stillbirth,Preg
Anembryonic gestation,Abortion related conditions and complications,Abortions and stillbirth,Preg
Skin odour abnormal,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Hepatotoxicity,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepat
Asthenia,Asthenic conditions,General system disorders NEC,Genrl
Discomfort,Pain and discomfort NEC,General system disorders NEC,Genrl
Hypervigilance,Psychiatric symptoms NEC,Psychiatric and behavioural symptoms NEC,Psych
Sensory disturbance,Sensory abnormalities NEC,Neurological disorders NEC,Nerv
Muscle atrophy,Muscle related signs and symptoms NEC,Muscle disorders,Musc
Flushing,Peripheral vascular disorders NEC,Vascular disorders NEC,Vasc
Vision blurred,Visual disorders NEC,Vision disorders,Eye
Hypoaesthesia,Paraesthesias and dysaesthesias,Neurological disorders NEC,Nerv
Vein disorder,Non-site specific vascular disorders NEC,Vascular disorders NEC,Vasc
Hepatitis B reactivation,Hepatitis virus infections,Viral infectious disorders,Infec
Back pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders NEC,Musc
Cystitis haemorrhagic,Bladder infections and inflammations,Bladder and bladder neck disorders (excl calculi),Renal
Haematuria,Urinary abnormalities,Urinary tract signs and symptoms,Renal
Abdominal discomfort,Gastrointestinal signs and symptoms NEC,Gastrointestinal signs and symptoms,Gastr
Eye pruritus,"Ocular infections, inflammations and associated manifestations","Ocular infections, irritations and inflammations",Eye
Eyelid oedema,"Lid, lash and lacrimal infections, irritations and inflammations","Ocular infections, irritations and inflammations",Eye
Sneezing,Upper respiratory tract signs and symptoms,Respiratory tract signs and symptoms,Resp
Circulatory collapse,Circulatory collapse and shock,Decreased and nonspecific blood pressure disorders and shock,Vasc
Status epilepticus,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
Muscle twitching,Muscle related signs and symptoms NEC,Muscle disorders,Musc
Optic atrophy,Optic disc abnormalities NEC,"Ocular structural change, deposit and degeneration NEC",Eye
Deep vein thrombosis,Peripheral embolism and thrombosis,Embolism and thrombosis,Vasc
Uterine leiomyoma,Uterine neoplasms benign,Reproductive neoplasms female benign,Neopl
Feeling of body temperature change,Feelings and sensations NEC,General system disorders NEC,Genrl
Peyronie's disease,Penile disorders NEC (excl erection and ejaculation),Penile and scrotal disorders (excl infections and inflammations),Repro
Face oedema,Oedema NEC,General system disorders NEC,Genrl
Paraesthesia oral,Oral soft tissue signs and symptoms,Oral soft tissue conditions,Gastr
Brain oedema,Increased intracranial pressure disorders,Increased intracranial pressure and hydrocephalus,Nerv
Cardio-respiratory arrest,Ventricular arrhythmias and cardiac arrest,Cardiac arrhythmias,Card
Immune reconstitution inflammatory syndrome,Immune and associated conditions NEC,Immune disorders NEC,Immun
Intracranial pressure increased,Increased intracranial pressure disorders,Increased intracranial pressure and hydrocephalus,Nerv
Dermatitis allergic,Dermatitis and eczema,Epidermal and dermal conditions,Skin
Galactorrhoea,Lactation disorders,Breast disorders,Repro
Cellulitis,Bacterial infections NEC,Bacterial infectious disorders,Infec
Stomatitis,Stomatitis and ulceration,Oral soft tissue conditions,Gastr
Autonomic failure syndrome,Autonomic nervous system disorders,Neuromuscular disorders,Nerv
Liver tenderness,Hepatobiliary signs and symptoms,Hepatic and hepatobiliary disorders,Hepat
Haemolytic anaemia,Anaemias haemolytic NEC,Haemolyses and related conditions,Blood
Thrombotic thrombocytopenic purpura,Thrombocytopenias,Platelet disorders,Blood
Drug-induced liver injury,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepat
Hepatic fibrosis,Hepatic fibrosis and cirrhosis,Hepatic and hepatobiliary disorders,Hepat
Jaundice cholestatic,Cholestasis and jaundice,Hepatic and hepatobiliary disorders,Hepat
Gastrointestinal ulcer,"Gastrointestinal ulcers and perforation, site unspecified",Gastrointestinal ulceration and perforation,Gastr
Psoriasis,Psoriatic conditions,Epidermal and dermal conditions,Skin
Psoriatic arthropathy,Psoriatic arthropathies,Joint disorders,Musc
Meningitis viral,Viral infections NEC,Viral infectious disorders,Infec
Acquired immunodeficiency syndrome,Retroviral infections,Viral infectious disorders,Infec
Adrenal insufficiency,Adrenal cortical hypofunctions,Adrenal gland disorders,Endo
Cytomegalovirus chorioretinitis,Cytomegaloviral infections,Viral infectious disorders,Infec
Hypogonadism,Endocrine abnormalities of gonadal function NEC,Endocrine disorders of gonadal function,Endo
Lipoatrophy,Lipodystrophies,Skin and subcutaneous tissue disorders NEC,Skin
Rhinitis,Upper respiratory tract infections,Infections - pathogen unspecified,Infec
Influenza,Influenza viral infections,Viral infectious disorders,Infec
Blood alkaline phosphatase increased,Tissue enzyme analyses NEC,Enzyme investigations NEC,Inv
Blood bicarbonate abnormal,Blood gas and acid base analyses,"Metabolic, nutritional and blood gas investigations",Inv
Blood creatine increased,Renal function analyses,Renal and urinary tract investigations and urinalyses,Inv
Blood phosphorus decreased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Inv
Oliguria,Renal failure and impairment,Renal disorders (excl nephropathies),Renal
Proteinuria,Urinary abnormalities,Urinary tract signs and symptoms,Renal
Renal disorder,Renal disorders NEC,Renal disorders (excl nephropathies),Renal
Renal failure,Renal failure and impairment,Renal disorders (excl nephropathies),Renal
Blood potassium increased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Inv
Blood urea increased,Renal function analyses,Renal and urinary tract investigations and urinalyses,Inv
Colitis,Colitis (excl infective),Gastrointestinal inflammatory conditions,Gastr
Proctitis,Rectal inflammations NEC,Gastrointestinal inflammatory conditions,Gastr
Schistosomiasis,Trematode infections,Helminthic disorders,Infec
Suicide attempt,Suicidal and self-injurious behaviour,Suicidal and self-injurious behaviours NEC,Psych
Hirsutism,Hypertrichoses,Skin appendage conditions,Skin
Menstruation irregular,Menstruation and uterine bleeding NEC,Menstrual cycle and uterine bleeding disorders,Repro
Nightmare,Parasomnias,Sleep disorders and disturbances,Psych
Metabolic acidosis,Metabolic acidoses (excl diabetic acidoses),Acid-base disorders,Metab
Brain injury,Structural brain disorders NEC,Structural brain disorders,Nerv
CD4 lymphocytes increased,White blood cell analyses,Haematology investigations (incl blood groups),Inv
Cognitive disorder,Mental impairment (excl dementia and memory loss),Mental impairment disorders,Nerv
Incontinence,Bladder and urethral symptoms,Urinary tract signs and symptoms,Renal
Leukoencephalopathy,Encephalopathies NEC,Encephalopathies,Nerv
Mental disorder,Mental disorders NEC,Psychiatric disorders NEC,Psych
Parkinsonism,Parkinson's disease and parkinsonism,Movement disorders (incl parkinsonism),Nerv
Rash papular,"Rashes, eruptions and exanthems NEC",Epidermal and dermal conditions,Skin
White blood cell count increased,White blood cell analyses,Haematology investigations (incl blood groups),Inv
Lip oedema,Oral soft tissue swelling and oedema,Oral soft tissue conditions,Gastr
Thyroxine free decreased,Thyroid analyses,Endocrine investigations (incl sex hormones),Inv
Blood lactic acid increased,Blood gas and acid base analyses,"Metabolic, nutritional and blood gas investigations",Inv
Mitochondrial toxicity,Cell metabolism disorders NEC,Metabolism disorders NEC,Metab
Movement disorder,Dyskinesias and movement disorders NEC,Movement disorders (incl parkinsonism),Nerv
Myocarditis,Noninfectious myocarditis,Myocardial disorders,Card
Myositis,Muscle infections and inflammations,Muscle disorders,Musc
Parainfluenzae virus infection,Parainfluenzae viral infections,Viral infectious disorders,Infec
Disability,Disability issues,Lifestyle issues,SocCi
Pneumocystis jirovecii pneumonia,Pneumocystis infections,Fungal infectious disorders,Infec
Haemorrhage,Haemorrhages NEC,Vascular haemorrhagic disorders,Vasc
Angioedema,Angioedemas,Angioedema and urticaria,Skin
Lip swelling,Oral soft tissue swelling and oedema,Oral soft tissue conditions,Gastr
Alcohol interaction,Interactions,Therapeutic and nontherapeutic effects (excl toxicity),Genrl
Precocious puberty,Endocrine abnormalities of puberty,Endocrine disorders of gonadal function,Endo
Abdominal tenderness,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastr
Analgesic drug level increased,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Inv
Blood pressure immeasurable,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Inv
Cardiac disorder,Cardiac disorders NEC,"Cardiac disorders, signs and symptoms NEC",Card
Cardiac tamponade,Pericardial disorders NEC,Pericardial disorders,Card
Cardiogenic shock,Heart failures NEC,Heart failures,Card
Cardiomegaly,Myocardial disorders NEC,Myocardial disorders,Card
Cold sweat,Apocrine and eccrine gland disorders,Skin appendage conditions,Skin
Congestive hepatopathy,Hepatic vascular disorders,Hepatic and hepatobiliary disorders,Hepat
Depressed level of consciousness,Disturbances in consciousness NEC,Neurological disorders NEC,Nerv
Gamma-glutamyltransferase increased,Hepatobiliary function diagnostic procedures,Hepatobiliary investigations,Inv
Gastritis,Gastritis (excl infective),Gastrointestinal inflammatory conditions,Gastr
HIV infection,Retroviral infections,Viral infectious disorders,Infec
Heart rate increased,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
Hypovolaemia,Total fluid volume decreased,Electrolyte and fluid balance conditions,Metab
Lip blister,Oral soft tissue disorders NEC,Oral soft tissue conditions,Gastr
Perforated ulcer,Ulcers NEC,Tissue disorders NEC,Genrl
Pericardial effusion,Pericardial disorders NEC,Pericardial disorders,Card
Pulmonary oedema,Pulmonary oedemas,Lower respiratory tract disorders (excl obstruction and infection),Resp
