gene,disease,PT,assocID,geneNcbiID,geneDSI,geneDPI,score,yearInitial,yearFinal,diseaseType,HLT,HLGT,SOC_ABBREV
HTR1A,"Major depression, single episode (disorder)",Depression,15713947,3350,0.478,0.875,0.6000000000000001,2006,2011,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
HTR1A,"Depression, Bipolar",Depression,5435261,3350,0.478,0.875,0.6000000000000001,2009,2011,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
HTR1A,Severe depression,Depression,40127577,3350,0.478,0.875,0.55,2012,2012,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
HTR1A,Menstrual cycle dependent periodic fever (disorder),Sleep disorder,50612040,3350,0.478,0.875,0.55,2012,2012,disease,Sleep disorders NEC,Sleep disorders and disturbances,Psych
HTR1A,Alcohol abuse,Alcohol abuse,25265793,3350,0.478,0.875,0.55,2003,2003,disease,Substance related and addictive disorders,Psychiatric disorders NEC,Psych
HTR1A,Tremor,Tremor,25067182,3350,0.478,0.875,0.5,2000,2000,phenotype,Tremor (excl congenital),Movement disorders (incl parkinsonism),Nerv
HTR1A,Drug abuse,Drug abuse,10562559,3350,0.478,0.875,0.45,,,disease,Substance related and addictive disorders,Psychiatric disorders NEC,Psych
HTR1A,Memory Disorders,Double heterozygous sickling disorders,15818771,3350,0.478,0.875,0.4,2003,2003,disease,Haemoglobinopathies congenital,Blood and lymphatic system disorders congenital,Cong
HTR1A,Other specified transient organic mental disorders,Mental disorder,25446839,3350,0.478,0.875,0.4,2010,2010,disease,Mental disorders NEC,Psychiatric disorders NEC,Psych
HTR1A,Learning Disorders,Learning disorder,15412770,3350,0.478,0.875,0.4,2003,2003,disease,Learning disorders,Cognitive and attention disorders and disturbances,Psych
HTR1A,Stomach Neoplasms,Neoplasm,20780649,3350,0.478,0.875,0.4,2011,2011,disease,Neoplasms unspecified malignancy and site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
HTR1A,Bradycardia,Bradycardia,35457593,3350,0.478,0.875,0.4,1990,1990,phenotype,Rate and rhythm disorders NEC,Cardiac arrhythmias,Card
HTR1A,Cocaine-Related Disorders,Neovascular age-related macular degeneration,30180078,3350,0.478,0.875,0.4,2002,2002,disease,"Retinal structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye
HTR1A,Learning Disabilities,Learning disability,25052534,3350,0.478,0.875,0.4,2003,2003,disease,Learning disorders,Cognitive and attention disorders and disturbances,Psych
DRD4,Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,45116418,1815,0.488,0.875,1.0,2000,2022,disease,Attention deficit and disruptive behaviour disorders,Cognitive and attention disorders and disturbances,Psych
DRD4,Schizophrenia,Schizophrenia,20652481,1815,0.488,0.875,0.8,2008,2008,disease,Schizophrenia NEC,Schizophrenia and other psychotic disorders,Psych
DRD4,"Alcoholic Intoxication, Chronic",Alcoholic,5067158,1815,0.488,0.875,0.7,2011,2015,disease,Alcohol product use,Lifestyle issues,SocCi
DRD4,Bipolar Disorder,Bipolar disorder,5426862,1815,0.488,0.875,0.7,2005,2015,disease,Bipolar disorders,Manic and bipolar mood disorders and disturbances,Psych
DRD4,Attention Deficit Disorder,Sleep disorder,25090569,1815,0.488,0.875,0.7,2004,2018,disease,Sleep disorders NEC,Sleep disorders and disturbances,Psych
DRD4,Mental Depression,Depression,10274406,1815,0.488,0.875,0.7,2013,2014,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
DRD4,Depressive disorder,Mixed anxiety and depressive disorder,10290471,1815,0.488,0.875,0.7,2013,2014,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
DRD4,Mood Disorders,Blood disorder,40037312,1815,0.488,0.875,0.7,2004,2007,disease,Haematological disorders,Haematological disorders NEC,Blood
DRD4,Unipolar Depression,Depression,25091858,1815,0.488,0.875,0.7,1999,2010,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
DRD4,Major Depressive Disorder,Sleep disorder,45134104,1815,0.488,0.875,0.7,1999,2010,disease,Sleep disorders NEC,Sleep disorders and disturbances,Psych
DRD4,Marijuana Abuse,Drug abuse,15765895,1815,0.488,0.875,0.7,2012,2013,disease,Substance related and addictive disorders,Psychiatric disorders NEC,Psych
DRD4,Alcohol abuse,Alcohol abuse,25265553,1815,0.488,0.875,0.7,2011,2013,disease,Substance related and addictive disorders,Psychiatric disorders NEC,Psych
DRD4,Heroin Dependence,Dependence,15027415,1815,0.488,0.875,0.65,,,disease,Substance related and addictive disorders,Psychiatric disorders NEC,Psych
DRD4,Gilles de la Tourette syndrome,Cushing's syndrome,25062852,1815,0.488,0.875,0.65,,,disease,Adrenal cortical hyperfunctions,Adrenal gland disorders,Endo
DRD4,"Gambling, Pathological",Gambling,20378679,1815,0.488,0.875,0.65,,,disease,Social issues NEC,Lifestyle issues,SocCi
DRD4,Dyslexia,Dyslexia,35519499,1815,0.488,0.875,0.65,,,disease,Cortical dysfunction NEC,Neurological disorders NEC,Nerv
DRD4,Nicotine Dependence,Nicotine dependence,20150064,1815,0.488,0.875,0.65,,,disease,Substance related and addictive disorders,Psychiatric disorders NEC,Psych
DRD4,Conduct Disorder,Conduction disorder,25294063,1815,0.488,0.875,0.65,,,disease,Cardiac conduction disorders,Cardiac arrhythmias,Card
DRD4,Drug abuse,Drug abuse,10562429,1815,0.488,0.875,0.65,,,disease,Substance related and addictive disorders,Psychiatric disorders NEC,Psych
DRD4,Tic disorder,Psychotic disorder,25057672,1815,0.488,0.875,0.6000000000000001,2010,2010,disease,Psychotic disorder NEC,Schizophrenia and other psychotic disorders,Psych
DRD4,Seasonal Affective Disorder,Seasonal affective disorder,25207694,1815,0.488,0.875,0.6000000000000001,2004,2010,disease,Mood disorders NEC,Mood disorders and disturbances NEC,Psych
DRD4,Autism Spectrum Disorders,Autism spectrum disorder,40076876,1815,0.488,0.875,0.6000000000000001,2022,2022,disease,Pervasive developmental disorders NEC,Developmental disorders NEC,Psych
DRD4,Alcoholic Intoxication,Alcoholic,5065160,1815,0.488,0.875,0.6000000000000001,2005,2006,disease,Alcohol product use,Lifestyle issues,SocCi
DRD4,Cannabis use,Product use in unapproved indication,50504338,1815,0.488,0.875,0.6000000000000001,2012,2012,disease,"Medication errors, product use errors and issues NEC",Medication errors and other product use errors and issues,Inj&P
DRD4,Separation Anxiety Disorder,Separation anxiety disorder,5233628,1815,0.488,0.875,0.6000000000000001,2010,2010,disease,Anxiety disorders NEC,Anxiety disorders and symptoms,Psych
DRD4,Antisocial Personality Disorder,Antisocial personality disorder,5216832,1815,0.488,0.875,0.55,,,disease,Personality disorders with dramatic behaviour (Cluster B),Personality disorders and disturbances in behaviour,Psych
DRD4,Cannabis Abuse,Victim of child abuse,5021290,1815,0.488,0.875,0.55,,,disease,Crime victims,Legal issues,SocCi
DRD4,Opioid abuse,Victim of child abuse,20222828,1815,0.488,0.875,0.55,,,disease,Crime victims,Legal issues,SocCi
DRD4,Mental Retardation,Mental status changes postoperative,15832780,1815,0.488,0.875,0.55,,,disease,Neurological and psychiatric procedural complications,Procedural related injuries and complications NEC,Inj&P
DRD4,Dysphoric mood,Adjustment disorder with depressed mood,30106075,1815,0.488,0.875,0.5,2004,2004,disease,Adjustment disorders,Adjustment disorders (incl subtypes),Psych
DRD4,"Other specified early childhood psychoses, current or active state",Confusional state,25447148,1815,0.488,0.875,0.45,2010,2010,disease,Confusion and disorientation,Deliria (incl confusion),Psych
DRD4,Attention Deficit and Disruptive Behavior Disorders,Lip and/or oral cavity cancer,30181479,1815,0.488,0.875,0.45,2010,2010,phenotype,Lip and oral cavity neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
DRD4,AUTONOMIC NERVOUS SYSTEM DYSFUNCTION,Nervous system disorder,55022235,1815,0.488,0.875,0.4,1994,1994,phenotype,Nervous system disorders NEC,Neurological disorders NEC,Nerv
DRD4,Amphetamine or related acting sympathomimetic abuse,Lip and/or oral cavity cancer,25447211,1815,0.488,0.875,0.4,2004,2004,disease,Lip and oral cavity neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
DRD4,Liver Cirrhosis,Liver function test abnormal,15546844,1815,0.488,0.875,0.4,,,disease,Hepatobiliary function diagnostic procedures,Hepatobiliary investigations,Inv
NLGN2,Schizophrenia,Schizophrenia,20667279,57555,0.633,0.667,0.7,2011,2011,disease,Schizophrenia NEC,Schizophrenia and other psychotic disorders,Psych
NLGN2,Autistic Disorder,Tic,5370759,57555,0.633,0.667,0.65,2021,2021,disease,Tic disorders,Changes in physical activity,Psych
HTR2C,Schizophrenia,Schizophrenia,20659873,3358,0.506,0.833,0.95,2011,2013,disease,Schizophrenia NEC,Schizophrenia and other psychotic disorders,Psych
HTR2C,Obesity,Obesity,20175585,3358,0.506,0.833,0.8500000000000001,2007,2009,disease,General nutritional disorders NEC,Appetite and general nutritional disorders,Metab
HTR2C,Weight Gain,Weight gain poor,25147940,3358,0.506,0.833,0.85,2009,2010,phenotype,General nutritional disorders NEC,Appetite and general nutritional disorders,Metab
HTR2C,Bipolar Disorder,Bipolar disorder,5429242,3358,0.506,0.833,0.8,2009,2013,disease,Bipolar disorders,Manic and bipolar mood disorders and disturbances,Psych
HTR2C,Metabolic Syndrome X,Metabolic syndrome,35629197,3358,0.506,0.833,0.7999999999999999,2007,2009,disease,Hyperglycaemic conditions NEC,Glucose metabolism disorders (incl diabetes mellitus),Metab
HTR2C,Depressive disorder,Mixed anxiety and depressive disorder,10294044,3358,0.506,0.833,0.75,2010,2014,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
HTR2C,Mental Depression,Depression,10277871,3358,0.506,0.833,0.75,2010,2014,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
HTR2C,Major Depressive Disorder,Sleep disorder,45136083,3358,0.506,0.833,0.75,2010,2014,disease,Sleep disorders NEC,Sleep disorders and disturbances,Psych
HTR2C,Unipolar Depression,Depression,25093108,3358,0.506,0.833,0.75,2010,2014,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
HTR2C,Mood Disorders,Blood disorder,40038283,3358,0.506,0.833,0.65,2009,2015,disease,Haematological disorders,Haematological disorders NEC,Blood
HTR2C,Neuralgia,Neuralgia,20116436,3358,0.506,0.833,0.65,2017,2017,phenotype,Sensory abnormalities NEC,Neurological disorders NEC,Nerv
HTR2C,"Alcoholic Intoxication, Chronic",Alcoholic,5068595,3358,0.506,0.833,0.6000000000000001,2004,2004,disease,Alcohol product use,Lifestyle issues,SocCi
HTR2C,Seasonal Affective Disorder,Seasonal affective disorder,25207739,3358,0.506,0.833,0.6000000000000001,2001,2005,disease,Mood disorders NEC,Mood disorders and disturbances NEC,Psych
HTR2C,Cocaine abuse,Victim of child abuse,15046834,3358,0.506,0.833,0.55,2002,2002,disease,Crime victims,Legal issues,SocCi
HTR2C,Hyperkinesia,Hyperkinesia,50715336,3358,0.506,0.833,0.5,2009,2009,disease,Dyskinesias and movement disorders NEC,Movement disorders (incl parkinsonism),Nerv
HTR2C,"Bipolar I disorder, most recent episode manic (disorder)",Bipolar I disorder,15761470,3358,0.506,0.833,0.45,,,disease,Bipolar disorders,Manic and bipolar mood disorders and disturbances,Psych
HTR2C,"Depression, Bipolar",Depression,5435266,3358,0.506,0.833,0.45,,,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
HTR2C,Mixed bipolar I disorder,Bipolar I disorder,30180577,3358,0.506,0.833,0.45,,,disease,Bipolar disorders,Manic and bipolar mood disorders and disturbances,Psych
HTR2C,Malignant neoplasm of prostate,Neoplasm,35283014,3358,0.506,0.833,0.4,2002,2022,disease,Neoplasms unspecified malignancy and site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
AANAT,Mental Depression,Depression,10273835,15,0.639,0.708,0.65,2001,2001,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
AANAT,Depressive disorder,Mixed anxiety and depressive disorder,10289871,15,0.639,0.708,0.65,2001,2001,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
AANAT,"Advanced Sleep-Phase Syndrome, Familial",Milia,50093539,15,0.639,0.708,0.5,2003,2003,disease,Apocrine and eccrine gland disorders,Skin appendage conditions,Skin
AANAT,"Depression, Bipolar",Depression,5435113,15,0.639,0.708,0.5,2010,2010,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
AANAT,"DELAYED SLEEP PHASE DISORDER, SUSCEPTIBILITY TO",Delayed sleep phase,50542360,15,0.639,0.708,0.4,2003,2003,phenotype,Disturbances in sleep phase rhythm,Sleep disturbances (incl subtypes),Nerv
GABRD,Epilepsy,Epilepsy,10650736,2563,0.531,0.792,0.8,2004,2022,disease,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
GABRD,Juvenile Myoclonic Epilepsy,Epilepsy,30490842,2563,0.531,0.792,0.65,2013,2013,disease,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
GABRD,Idiopathic generalized epilepsy,Idiopathic generalised epilepsy,30490256,2563,0.531,0.792,0.6000000000000001,1990,1990,disease,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
GABRD,"Epilepsy, Generalized",Epilepsy,10663903,2563,0.531,0.792,0.6000000000000001,,,disease,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
GABRD,"EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 10",Epilepsy,50390492,2563,0.531,0.792,0.6,2004,2022,phenotype,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
GABRD,Mood Disorders,Blood disorder,40037659,2563,0.531,0.792,0.5,2010,2010,disease,Haematological disorders,Haematological disorders NEC,Blood
GABRD,Electroencephalogram abnormal,Electroencephalogram abnormal,25331785,2563,0.531,0.792,0.45,,,phenotype,Neurologic diagnostic procedures,"Neurological, special senses and psychiatric investigations",Inv
GABRD,Non-specific syndromic intellectual disability,Disability,55472189,2563,0.531,0.792,0.4,2004,2022,disease,Disability issues,Lifestyle issues,SocCi
GABRD,"Generalized Epilepsy With Febrile Seizures Plus, Type 5",Seizure,50575563,2563,0.531,0.792,0.4,2004,2004,disease,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
GABRD,Chromosome 1p36 Deletion Syndrome,Cushing's syndrome,55057759,2563,0.531,0.792,0.4,2012,2012,disease,Adrenal cortical hyperfunctions,Adrenal gland disorders,Endo
GABRD,Schizophrenia,Schizophrenia,20654644,2563,0.531,0.792,0.4,2008,2008,disease,Schizophrenia NEC,Schizophrenia and other psychotic disorders,Psych
GABRD,Liver carcinoma,Liver carcinoma ruptured,50254732,2563,0.531,0.792,0.4,2017,2017,disease,Hepatic neoplasms malignant,Hepatobiliary neoplasms malignant and unspecified,Neopl
GABRD,Epileptic encephalopathy,Epileptic encephalopathy,40048578,2563,0.531,0.792,0.4,,,disease,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
SIK1,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 30,Encephalopathy,55141743,150094,0.458,0.875,0.7,1976,2023,disease,Encephalopathies NEC,Encephalopathies,Nerv
SIK1,Global developmental delay,Developmental delay,40089518,150094,0.458,0.875,0.7,2011,2021,disease,General signs and symptoms NEC,General system disorders NEC,Genrl
SIK1,Early infantile epileptic encephalopathy with suppression bursts,Encephalopathy,35355968,150094,0.458,0.875,0.65,2015,2022,disease,Encephalopathies NEC,Encephalopathies,Nerv
SIK1,West Syndrome,CREST syndrome,20742428,150094,0.458,0.875,0.65,2015,2015,disease,Connective tissue disorders NEC,Connective tissue disorders (excl congenital),Musc
SIK1,Glioblastoma Multiforme,Glioblastoma multiforme,45088905,150094,0.458,0.875,0.6000000000000001,,,disease,Glial tumours malignant,Nervous system neoplasms malignant and unspecified NEC,Neopl
SIK1,Juvenile Chronic Polyarthritis,Arthritis,35407268,150094,0.458,0.875,0.4,2009,2009,disease,Arthropathies NEC,Joint disorders,Musc
SIK1,Monoarticular juvenile rheumatoid arthritis,Arthritis,25491116,150094,0.458,0.875,0.4,2009,2009,disease,Arthropathies NEC,Joint disorders,Musc
SIK1,Pauciarticular juvenile rheumatoid arthritis,Arthritis,25490781,150094,0.458,0.875,0.4,2009,2009,disease,Arthropathies NEC,Joint disorders,Musc
SIK1,"Cardiomyopathy, Dilated",Dilated cardiomyopathy,10049837,150094,0.458,0.875,0.4,2006,2006,disease,Cardiomyopathies,Myocardial disorders,Card
SIK1,Acute polyarticular juvenile rheumatoid arthritis,Arthritis,25490466,150094,0.458,0.875,0.4,2009,2009,disease,Arthropathies NEC,Joint disorders,Musc
SIK1,Metastatic melanoma,Tic,30566426,150094,0.458,0.875,0.4,,,disease,Tic disorders,Changes in physical activity,Psych
SIK1,Language Disorders,Language disorder,15409223,150094,0.458,0.875,0.4,,,disease,Speech and language abnormalities,Neurological disorders NEC,Nerv
GABRR1,Schizophrenia,Schizophrenia,20654699,2569,0.729,0.5,0.6000000000000001,2010,2010,disease,Schizophrenia NEC,Schizophrenia and other psychotic disorders,Psych
GABRR1,Bipolar Disorder,Bipolar disorder,5427656,2569,0.729,0.5,0.6000000000000001,2010,2010,disease,Bipolar disorders,Manic and bipolar mood disorders and disturbances,Psych
GABRR1,"Alcoholic Intoxication, Chronic",Alcoholic,5067878,2569,0.729,0.5,0.5,2010,2010,disease,Alcohol product use,Lifestyle issues,SocCi
SOD3,"Diabetes Mellitus, Non-Insulin-Dependent",Diabetes mellitus,10513368,6649,0.492,0.917,0.9,,,disease,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metab
SOD3,Chronic Obstructive Airway Disease,Chronic obstructive pulmonary disease,15603698,6649,0.492,0.917,0.8500000000000001,2006,2006,disease,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),Resp
SOD3,Coronary Arteriosclerosis,Arteriosclerosis coronary artery,10189753,6649,0.492,0.917,0.8,,,disease,Coronary artery disorders NEC,Coronary artery disorders,Card
SOD3,Hypertensive disease,Hypertensive heart disease,15150899,6649,0.492,0.917,0.8,2006,2006,disease,Cardiac hypertensive complications,"Cardiac disorders, signs and symptoms NEC",Card
SOD3,Diabetes Mellitus,Diabetes mellitus,10400708,6649,0.492,0.917,0.8,,,disease,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metab
SOD3,Myocardial Ischemia,Myocardial ischaemia,25351540,6649,0.492,0.917,0.7999999999999999,,,disease,Ischaemic coronary artery disorders,Coronary artery disorders,Card
SOD3,Myocardial Infarction,Myocardial infarction,20043910,6649,0.492,0.917,0.7,,,disease,Ischaemic coronary artery disorders,Coronary artery disorders,Card
SOD3,Diabetic Retinopathy,Diabetic retinopathy,10543224,6649,0.492,0.917,0.7,,,disease,Retinopathies NEC,"Retina, choroid and vitreous haemorrhages and vascular disorders",Eye
SOD3,Pneumonia,Pneumonia,20420793,6649,0.492,0.917,0.7,,,disease,Lower respiratory tract and lung infections,Infections - pathogen unspecified,Infec
SOD3,Pulmonary Fibrosis,Pulmonary fibrosis,20567087,6649,0.492,0.917,0.65,2004,2004,disease,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),Resp
SOD3,Congestive heart failure,Hepatic failure,10927094,6649,0.492,0.917,0.65,2010,2010,disease,Hepatic failure and associated disorders,Hepatic and hepatobiliary disorders,Hepat
SOD3,Heart failure,Heart failure with preserved ejection fraction,10912409,6649,0.492,0.917,0.65,2010,2010,disease,Left ventricular failures,Heart failures,Card
SOD3,Polyneuropathy,Polyneuropathy,25394469,6649,0.492,0.917,0.65,,,disease,Peripheral neuropathies NEC,Peripheral neuropathies,Nerv
SOD3,Heart Diseases,Heart sounds abnormal,10897262,6649,0.492,0.917,0.65,,,disease,Cardiac auscultatory investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
SOD3,Necrosis,Necrosis,20065644,6649,0.492,0.917,0.65,2001,2001,phenotype,Necrosis NEC,Tissue disorders NEC,Genrl
SOD3,Coronary heart disease,Coronary artery disease,10201066,6649,0.492,0.917,0.55,,,disease,Coronary artery disorders NEC,Coronary artery disorders,Card
SOD3,Chronic ischemic heart disease,Peyronie's disease,30385781,6649,0.492,0.917,0.45,,,disease,Penile disorders NEC (excl erection and ejaculation),Penile and scrotal disorders (excl infections and inflammations),Repro
SOD3,Malignant neoplasm of anterior portion of floor of mouth,Neoplasm,25406888,6649,0.492,0.917,0.45,,,disease,Neoplasms unspecified malignancy and site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
SOD3,Malignant neoplasm of lateral floor of mouth,Neoplasm,35565790,6649,0.492,0.917,0.45,,,disease,Neoplasms unspecified malignancy and site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
SOD3,Malignant neoplasm of floor of mouth,Neoplasm,25406863,6649,0.492,0.917,0.45,,,disease,Neoplasms unspecified malignancy and site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
SOD3,"SUPEROXIDE DISMUTASE, ELEVATED EXTRACELLULAR",Trance,55010796,6649,0.492,0.917,0.4,1994,2004,phenotype,Psychiatric symptoms NEC,Psychiatric and behavioural symptoms NEC,Psych
SOD3,Chemical and Drug Induced Liver Injury,Drug-induced liver injury,55156394,6649,0.492,0.917,0.4,2001,2001,disease,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepat
SOD3,Contact Dermatitis,Dermatitis contact,10318099,6649,0.492,0.917,0.4,2007,2007,disease,Dermatitis and eczema,Epidermal and dermal conditions,Skin
SOD3,Diffuse Large B-Cell Lymphoma,Diffuse large B-cell lymphoma,25178799,6649,0.492,0.917,0.4,2005,2005,disease,Diffuse large B-cell lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
