gene,disease,assocID,geneNcbiID,geneDSI,geneDPI,score,yearInitial,yearFinal,diseaseType
DRD4,Reading disorder,35408631,1815,0.483,0.913,0.65,,,disease
DRD4,"Abuse, Drug",10633758,1815,0.483,0.913,0.65,,,disease
DRD4,Conduct Disorder,25225359,1815,0.483,0.913,0.65,,,disease
DRD4,Tic Disorders,25007690,1815,0.483,0.913,0.6000000000000001,2010,2010,disease
DRD4,AUTISM SPECTRUM DISORDER,45364433,1815,0.483,0.913,0.6000000000000001,2022,2022,disease
DRD4,"Affective Disorder, Seasonal",25148341,1815,0.483,0.913,0.6000000000000001,2004,2010,disease
DRD4,Alcoholic Intoxication,5064034,1815,0.483,0.913,0.6000000000000001,2005,2006,disease
DRD4,cannabis use (diagnosis),50442176,1815,0.483,0.913,0.6000000000000001,2012,2012,disease
DRD4,"Anxiety, Separation",5225158,1815,0.483,0.913,0.6000000000000001,2010,2010,disease
DRD4,Antisocial Personalities,5208007,1815,0.483,0.913,0.55,,,disease
DRD4,"Abuse, Cannabis",5636882,1815,0.483,0.913,0.55,,,disease
DRD4,opioid abuse,20202684,1815,0.483,0.913,0.55,,,disease
DRD4,Unspecified mental retardation,15806529,1815,0.483,0.913,0.55,,,disease
DRD4,Dysphoria,25616177,1815,0.483,0.913,0.5,2004,2004,disease
DRD4,Attention Deficit and Disruptive Behavior Disorders,30074797,1815,0.483,0.913,0.45,2010,2010,phenotype
DRD4,"Other specified early childhood psychoses, current or active state",25376728,1815,0.483,0.913,0.45,2010,2010,disease
DRD4,Dysfunction of the autonomic nervous system,50682187,1815,0.483,0.913,0.4,1994,1994,phenotype
DRD4,Amphetamine or related acting sympathomimetic abuse,25376770,1815,0.483,0.913,0.4,2004,2004,disease
DRD4,"Cirrhosis, Hepatic",15525847,1815,0.483,0.913,0.4,,,disease
NLGN2,Schizophrenias,20632830,57555,0.641,0.565,0.7,2011,2011,disease
NLGN2,Childhood autism,5355855,57555,0.641,0.565,0.65,2021,2021,disease
HTR2C,Schizophrenias,20625432,3358,0.506,0.826,0.9500000000000001,2011,2013,disease
HTR2C,Obesity,20156209,3358,0.506,0.826,0.8500000000000001,2007,2009,disease
HTR2C,"Gains, Weight",25090723,3358,0.506,0.826,0.85,2009,2010,phenotype
HTR2C,Bipolar Disorders,5410117,3358,0.506,0.826,0.8,2009,2013,disease
HTR2C,"Syndrome X, Reaven",35489653,3358,0.506,0.826,0.7999999999999999,2007,2009,disease
HTR2C,Depressive neurosis,10302633,3358,0.506,0.826,0.75,2010,2014,disease
HTR2C,Depression,10286384,3358,0.506,0.826,0.75,2010,2014,disease
HTR2C,MAJOR DEPRESSIVE DISORDER,45005473,3358,0.506,0.826,0.75,2010,2014,disease
HTR2C,"Depressions, Unipolar",25040727,3358,0.506,0.826,0.75,2010,2014,disease
HTR2C,Affective Disorders,35530853,3358,0.506,0.826,0.65,2009,2015,disease
HTR2C,Neuralgias,20097379,3358,0.506,0.826,0.65,2017,2017,phenotype
HTR2C,Alcoholism,5067556,3358,0.506,0.826,0.6000000000000001,2004,2004,disease
HTR2C,"Affective Disorder, Seasonal",25148386,3358,0.506,0.826,0.6000000000000001,2001,2005,disease
HTR2C,Cocaine abuse,5941996,3358,0.506,0.826,0.55,2002,2002,disease
HTR2C,Hyperkinesia,50656273,3358,0.506,0.826,0.5,2009,2009,disease
HTR2C,Manic Disorders,15733165,3358,0.506,0.826,0.45,,,disease
HTR2C,Bipolar Depression,5416094,3358,0.506,0.826,0.45,,,disease
HTR2C,"Mixed bipolar disorder, NOS",30073972,3358,0.506,0.826,0.45,,,disease
HTR2C,Malignant neoplasm of prostate,35175788,3358,0.506,0.826,0.4,2002,2022,disease
AANAT,Depression,10282240,15,0.635,0.696,0.65,2001,2001,disease
AANAT,Depressive neurosis,10298318,15,0.635,0.696,0.65,2001,2001,disease
AANAT,Fasps,50028938,15,0.635,0.696,0.5,2003,2003,disease
AANAT,Bipolar Depression,5415947,15,0.635,0.696,0.5,2010,2010,disease
AANAT,"DELAYED SLEEP PHASE DISORDER, SUSCEPTIBILITY TO",50479778,15,0.635,0.696,0.4,2003,2003,phenotype
GABRD,Epilepsies,10718411,2563,0.528,0.826,0.8,2004,2022,disease
GABRD,juvenile myoclonic epilepsy,30378952,2563,0.528,0.826,0.65,2013,2013,disease
GABRD,Seizure,20656609,2563,0.528,0.826,0.65,,,phenotype
GABRD,Generalized idiopathic epilepsy and epileptic syndromes,30378334,2563,0.528,0.826,0.6000000000000001,1990,1990,disease
GABRD,"Epilepsies, Generalized",10731794,2563,0.528,0.826,0.6000000000000001,,,disease
GABRD,EIG10,50327425,2563,0.528,0.826,0.6,2004,2022,phenotype
GABRD,Affective Disorders,35530244,2563,0.528,0.826,0.5,2010,2010,disease
GABRD,EEG abnormality (finding),25263633,2563,0.528,0.826,0.45,,,phenotype
GABRD,Non-specific syndromic intellectual disability,55544037,2563,0.528,0.826,0.4,2004,2022,disease
GABRD,Liver cell carcinoma,50189687,2563,0.528,0.826,0.4,2017,2017,disease
GABRD,Schizophrenias,20620039,2563,0.528,0.826,0.4,2008,2008,disease
GABRD,"GEFS, Type 5",50513104,2563,0.528,0.826,0.4,2004,2004,disease
GABRD,1p36 Deletion Syndrome,45634668,2563,0.528,0.826,0.4,2012,2012,disease
GABRD,epileptic encephalopathy,35542125,2563,0.528,0.826,0.4,,,disease
SIK1,EIEE30,55102235,150094,0.451,0.913,0.7,1976,2023,disease
SIK1,Global developmental delay,35583223,150094,0.451,0.913,0.7,2011,2021,disease
SIK1,Seizure,20654857,150094,0.451,0.913,0.7,,,phenotype
SIK1,Infantile spasms,20704843,150094,0.451,0.913,0.65,2015,2015,disease
SIK1,Glioblastoma multiforme,45477083,150094,0.451,0.913,0.6000000000000001,,,disease
SIK1,Early infantile epileptic encephalopathy with burst-suppression,35248231,150094,0.451,0.913,0.6000000000000001,2015,2015,disease
SIK1,Symptomatic early myoclonic encephalopathy,30379167,150094,0.451,0.913,0.5,2015,2015,disease
SIK1,Acute polyarticular juvenile rheumatoid arthritis,25397090,150094,0.451,0.913,0.4,2009,2009,disease
SIK1,Pauciarticular juvenile arthritis,25397405,150094,0.451,0.913,0.4,2009,2009,disease
SIK1,Monoart juv rheum arthr,25397740,150094,0.451,0.913,0.4,2009,2009,disease
SIK1,Juvenile Chronic Polyarthritis,35295264,150094,0.451,0.913,0.4,2009,2009,disease
SIK1,"Cardiomyopathies, Dilated",5818813,150094,0.451,0.913,0.4,2006,2006,disease
SIK1,Melanoma metastatic,30453580,150094,0.451,0.913,0.4,,,disease
SIK1,Language Disorder,15387146,150094,0.451,0.913,0.4,,,disease
GABRR1,Schizophrenias,20620241,2569,0.43,0.957,0.9500000000000001,2010,2010,disease
GABRR1,Alcoholism,5066892,2569,0.43,0.957,0.85,2010,2010,disease
GABRR1,Bipolar Disorders,5408586,2569,0.43,0.957,0.85,2010,2010,disease
SOD3,Adult-Onset Diabetes Mellitus,10590081,6649,0.488,0.87,0.9,,,disease
SOD3,COPD,15579474,6649,0.488,0.87,0.8500000000000001,2006,2006,disease
SOD3,"Arterioscleroses, Coronary",10199800,6649,0.488,0.87,0.8,,,disease
SOD3,High blood pressure,15142363,6649,0.488,0.87,0.8,2006,2006,disease
SOD3,Diabetes Mellitus,10474545,6649,0.488,0.87,0.8,,,disease
SOD3,"Disease, Ischemic Heart",25281774,6649,0.488,0.87,0.7999999999999999,,,disease
SOD3,"Infarctions, Myocardial",20028378,6649,0.488,0.87,0.7,,,disease
SOD3,Diabetic Retinopathies,10617534,6649,0.488,0.87,0.7,,,disease
SOD3,Pneumonia,20394210,6649,0.488,0.87,0.7,,,disease
SOD3,Congestive heart failure,10984159,6649,0.488,0.87,0.65,2010,2010,disease
SOD3,Pulmonary Fibrosis,20536669,6649,0.488,0.87,0.65,2004,2004,disease
SOD3,Heart failure,10969127,6649,0.488,0.87,0.65,2010,2010,disease
SOD3,Cardiac Disease,10954744,6649,0.488,0.87,0.65,,,disease
SOD3,Polyneuropathy,25330919,6649,0.488,0.87,0.65,,,disease
SOD3,Necrosis,20048437,6649,0.488,0.87,0.65,2001,2001,phenotype
SOD3,Coronary Disease,10210572,6649,0.488,0.87,0.55,,,disease
SOD3,Malignant neoplasm of floor of mouth,25341124,6649,0.488,0.87,0.45,,,disease
SOD3,Chronic ischemic heart disease,30275119,6649,0.488,0.87,0.45,,,disease
SOD3,Malignant neoplasm of anterior portion of floor of mouth,25341147,6649,0.488,0.87,0.45,,,disease
SOD3,Lateral floor of mouth,35426707,6649,0.488,0.87,0.45,,,disease
SOD3,"SUPEROXIDE DISMUTASE, ELEVATED EXTRACELLULAR",50670721,6649,0.488,0.87,0.4,1994,2004,phenotype
SOD3,Contact Dermatitides,10323616,6649,0.488,0.87,0.4,2007,2007,disease
SOD3,Diffuse Histiocytic Lymphoma,25120738,6649,0.488,0.87,0.4,2005,2005,disease
SOD3,Chemical and Drug Induced Liver Injury,55117564,6649,0.488,0.87,0.4,2001,2001,disease
