Drug,chembl_id,Similar drug,Similar chembl id,SMILES,InChI Key,ATC Classifications
Acarbose,CHEMBL404271,,CHEMBL181568,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,XUFXOAAUWZOOIT-UHFFFAOYSA-N,Unknown
Acarbose,CHEMBL404271,,CHEMBL1230193,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,SNMISNLUIRCRQE-SFSRYZOZSA-N,Unknown
Acarbose,CHEMBL404271,,CHEMBL3618490,CC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(OC2OC(CO)C(OC3OC(C)C(NC4C=C(CO)C(O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C1O,KGUKUMIFPSRPEM-UHFFFAOYSA-N,Unknown
Acarbose,CHEMBL404271,,CHEMBL3618489,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](C)[C@@H](N[C@H]4C=C(CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CEVDATOXBXMRCL-SWAROHONSA-N,Unknown
Acarbose,CHEMBL404271,,CHEMBL3616595,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](C)[C@@H](N[C@H]4C=C(CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](C)[C@@H](N[C@H]7C=C(CO)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@H]9O[C@H](C)[C@@H](N[C@H]%10C=C(CO)[C@@H](O)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,PKKBNJVMOIYEKD-VFVYMYHKSA-N,Unknown
Acarbose,CHEMBL404271,,CHEMBL3616594,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](C)[C@@H](N[C@H]4C=C(CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](C)[C@@H](N[C@H]7C=C(CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,XYBSGFLFCZXVQH-RZZGVLQVSA-N,Unknown
Acebutolol,CHEMBL642,,CHEMBL1455097,CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,GOEMGAFJFRBGGG-HNNXBMFYSA-N,Unknown
Acebutolol,CHEMBL642,ACEBUTOLOL HYDROCHLORIDE,CHEMBL1200813,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl,KTUFKADDDORSSI-UHFFFAOYSA-N,Unknown
Acetazolamide,CHEMBL20,ACETAZOLAMIDE SODIUM,CHEMBL1200814,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+],MRSXAJAOWWFZJJ-UHFFFAOYSA-M,Unknown
Acetazolamide,CHEMBL20,,CHEMBL542496,CC(=O)Nc1nnc(S(N)(=O)=O)s1.Cl,PHPRKHXGABBPQQ-UHFFFAOYSA-N,Unknown
Acetic Acid,CHEMBL539,ACETIC ACID C-11,CHEMBL4297336,C[11C](=O)O,QTBSBXVTEAMEQO-JVVVGQRLSA-N,Unknown
Acetylcholine,CHEMBL667,,CHEMBL1736587,CC(=O)OCC[N+](C)(C)C.[O-][Cl+3]([O-])([O-])[O-],SHIQLFRCVFUYEK-UHFFFAOYSA-M,Unknown
Acetylcholine,CHEMBL667,,CHEMBL1427664,CC(=O)OCC[N+](C)(C)C.[Br-],ZEHGKSPCAMLJDC-UHFFFAOYSA-M,Unknown
Acetylcholine,CHEMBL667,ACETYLCHOLINE CHLORIDE,CHEMBL1184,CC(=O)OCC[N+](C)(C)C.[Cl-],JUGOREOARAHOCO-UHFFFAOYSA-M,Unknown
Acetylcholine,CHEMBL667,ACETYLCHOLINE IODIDE,CHEMBL60457,CC(=O)OCC[N+](C)(C)C.[I-],SMBBQHHYSLHDHF-UHFFFAOYSA-M,Unknown
Acetylcysteine,CHEMBL600,,CHEMBL507900,CC(=O)N[C@H](CS)C(=O)O,PWKSKIMOESPYIA-SCSAIBSYSA-N,Unknown
Acetylcysteine,CHEMBL600,,CHEMBL145615,CC(=O)NC(CS)C(=O)O,PWKSKIMOESPYIA-UHFFFAOYSA-N,Unknown
Acitretin,CHEMBL1131,,CHEMBL3186098,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,IHUNBGSDBOWDMA-UHFFFAOYSA-N,Unknown
Aclidinium,CHEMBL1194325,ACLIDINIUM BROMIDE,CHEMBL551466,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],XLAKJQPTOJHYDR-QTQXQZBYSA-M,R03BB05
Aclidinium,CHEMBL1194325,,CHEMBL3974189,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1ccccc1)c1cccs1,PMSLDIHTDBABLG-GLJSPKRASA-N,Unknown
Aclidinium,CHEMBL1194325,,CHEMBL1197273,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@](O)(c1ccccc1)c1cccs1,PMSLDIHTDBABLG-IZTJEQOUSA-N,Unknown
Aclidinium,CHEMBL1194325,,CHEMBL1196247,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@@](O)(c1ccccc1)c1cccs1,PMSLDIHTDBABLG-YMVIPVGISA-N,Unknown
Aclidinium,CHEMBL1194325,,CHEMBL564765,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@](O)(c1ccccc1)c1cccs1.[Br-],WVSLILWGBHCSMD-RRVPVRNKSA-M,Unknown
Aclidinium,CHEMBL1194325,,CHEMBL556222,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)[C@@](O)(c1ccccc1)c1cccs1.[Br-],WVSLILWGBHCSMD-SVUMUAINSA-M,Unknown
Acyclovir,CHEMBL184,ACYCLOVIR SODIUM,CHEMBL1200380,Nc1nc([O-])c2ncn(COCCO)c2n1.[Na+],RMLUKZWYIKEASN-UHFFFAOYSA-M,Unknown
Adapalene,CHEMBL1265,,CHEMBL4303650,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,LZCDAPDGXCYOEH-AADAIPAGSA-N,Unknown
Adefovir,CHEMBL484,,CHEMBL2386204,Nc1ncnc2c1ncn2CCOCP(=O)([O-])[O-].[Na+].[Na+],VMWRFUOVYRSPNN-UHFFFAOYSA-L,Unknown
Adenine,CHEMBL226345,,CHEMBL1597282,Nc1[nH]cnc2ncnc1-2.O=S(=O)(O)O,JCVRUTWJRIKTOS-UHFFFAOYSA-N,Unknown
Adenine,CHEMBL226345,,CHEMBL539503,Cl.Nc1[nH]cnc2ncnc1-2,UQVDQSWZQXDUJB-UHFFFAOYSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL5493222,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)C1O.O,ZTHWFVSEMLMLKT-WFMVIYMNSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL3248866,Nc1ncnc2c1ncn2[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,OIRDTQYFTABQOQ-KMPDEGCQSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL2051971,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)[C@@H]1O,OIRDTQYFTABQOQ-XJCFNFQFSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL1413677,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,OIRDTQYFTABQOQ-SXVXDFOESA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL1236872,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O,OIRDTQYFTABQOQ-GAWUUDPSSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL606298,Nc1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,OIRDTQYFTABQOQ-VTHZCTBJSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL145188,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O,OIRDTQYFTABQOQ-HGOUYRHRSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL446423,Nc1ncnc2c1ncn2C1OC(CO)[C@H](O)C1O,OIRDTQYFTABQOQ-LDAYCMDKSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL91573,Nc1ncnc2c1ncn2C1O[C@H](CO)[C@H](O)[C@H]1O,OIRDTQYFTABQOQ-YTXCHSKXSA-N,Unknown
Adenosine,CHEMBL477,VIDARABINE,CHEMBL1090,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,OIRDTQYFTABQOQ-UHTZMRCNSA-N,S01AD06; J05AB03
Adenosine,CHEMBL477,,CHEMBL144,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)C1O,OIRDTQYFTABQOQ-PKJMTWSGSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL20247,Nc1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@@H]1O,OIRDTQYFTABQOQ-KBNQYOMWSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL11909,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,OIRDTQYFTABQOQ-UHFFFAOYSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL291286,Nc1ncnc2c1ncn2C1OC(CO)C(O)C(O)C1O,PAECLWKKOWTEJJ-UHFFFAOYSA-N,Unknown
Adenosine,CHEMBL477,,CHEMBL5397311,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H]1O,YUKWAKMMRXYSTG-MFCLVGODSA-N,Unknown
Bacampicillin,CHEMBL1583,,CHEMBL5487926,CCOC(=O)O[C@@H](C)OC(=O)C1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)C2SC1(C)C,PFOLLRNADZZWEX-ODSSGERZSA-N,Unknown
Bacampicillin,CHEMBL1583,,CHEMBL1625790,CCOC(=O)OC(C)OC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C,PFOLLRNADZZWEX-UHFFFAOYSA-N,Unknown
Bacampicillin,CHEMBL1583,,CHEMBL1598618,CCOC(=O)OC(C)OC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C.Cl,IWVTXAGTHUECPN-UHFFFAOYSA-N,Unknown
Bacampicillin,CHEMBL1583,,CHEMBL1595709,CCOC(=O)O[C@@H](C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@@H](N)c3ccccc3)[C@H]2SC1(C)C,PFOLLRNADZZWEX-ZKRAEAORSA-N,Unknown
Bacampicillin,CHEMBL1583,BACAMPICILLIN HYDROCHLORIDE,CHEMBL1200965,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C.Cl,IWVTXAGTHUECPN-ANBBSHPLSA-N,Unknown
Baclofen,CHEMBL701,,CHEMBL1897150,Cl.NCC(CC(=O)O)c1ccc(Cl)cc1,WMNUVYYLMCMHLU-UHFFFAOYSA-N,Unknown
Baclofen,CHEMBL701,,CHEMBL302213,NC[C@@H](CC(=O)O)c1ccc(Cl)cc1,KPYSYYIEGFHWSV-MRVPVSSYSA-N,Unknown
Baclofen,CHEMBL701,ARBACLOFEN,CHEMBL301742,NC[C@H](CC(=O)O)c1ccc(Cl)cc1,KPYSYYIEGFHWSV-QMMMGPOBSA-N,Unknown
Balsalazide,CHEMBL1208641,BALSALAZIDE,CHEMBL1201346,O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,IPOKCKJONYRRHP-FMQUCBEESA-N,A07EC04
Balsalazide,CHEMBL1208641,BALSALAZIDE DISODIUM,CHEMBL1200760,O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+],CKMOQBVBEGCJGW-LLIZZRELSA-L,Unknown
Bambuterol,CHEMBL521589,,CHEMBL1603534,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1.Cl,LBARATORRVNNQM-UHFFFAOYSA-N,Unknown
Bambuterol,CHEMBL521589,,CHEMBL1337841,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc([C@@H](O)CNC(C)(C)C)c1,ANZXOIAKUNOVQU-HNNXBMFYSA-N,Unknown
Bamifylline,CHEMBL2110760,BAMIFYLLINE HYDROCHLORIDE,CHEMBL2105899,CCN(CCO)CCn1c(Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C.Cl,PDBXHPORMXSXKO-UHFFFAOYSA-N,Unknown
Bazedoxifene,CHEMBL46740,,CHEMBL3657144,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCCC3)cc2)c2ccc(O)cc12,NPZACNAERPDSGY-UHFFFAOYSA-N,Unknown
Bazedoxifene,CHEMBL46740,BAZEDOXIFENE ACETATE,CHEMBL2106615,CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,OMZAMQFQZMUNTP-UHFFFAOYSA-N,Unknown
Bazedoxifene,CHEMBL46740,PIPENDOXIFENE,CHEMBL44426,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,JICOGKJOQXTAIP-UHFFFAOYSA-N,Unknown
Bazedoxifene,CHEMBL46740,,CHEMBL3657158,Cc1ccc(-c2c(C)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,UWLYKIFSJQWOHY-UHFFFAOYSA-N,Unknown
Bazedoxifene,CHEMBL46740,,CHEMBL3657159,Cc1c(-c2ccc(Cl)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,XNGTUCXVYKSSHF-UHFFFAOYSA-N,Unknown
Bazedoxifene,CHEMBL46740,,CHEMBL3657142,CCOc1ccc(-c2c(C)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCCC3)cc2)cc1,WINHDAHOVHUMMK-UHFFFAOYSA-N,Unknown
Bazedoxifene,CHEMBL46740,,CHEMBL3657141,CCOc1ccc(-c2c(C)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,CFBVBWXVYLXPJE-UHFFFAOYSA-N,Unknown
Bazedoxifene,CHEMBL46740,,CHEMBL3657138,COc1ccc(-c2c(C)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,ZKGNASAASHNODG-UHFFFAOYSA-N,Unknown
Bazedoxifene,CHEMBL46740,,CHEMBL3657173,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCCN3CCCCC3)cc2)c2ccc(O)cc12,CSGBJDAQZKIPGE-UHFFFAOYSA-N,Unknown
Cabazitaxel,CHEMBL1201748,,CHEMBL3098551,COC(=O)O[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C([C@@H](OC)C(=O)[C@]12C)C3(C)C,LNTCDZAZTNTFLM-TYRUGJKKSA-N,Unknown
Cabazitaxel,CHEMBL1201748,,CHEMBL3098544,COC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,NTKLKKOXFQMCKY-TYRUGJKKSA-N,Unknown
Cabazitaxel,CHEMBL1201748,,CHEMBL4868149,COc1cccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC)[C@@]3(C)C(=O)[C@H](OC)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@]2(O)C3(C)C)c1,AODFYSFBQDLSLF-FTCBEXCOSA-N,Unknown
Cabazitaxel,CHEMBL1201748,,CHEMBL3098547,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC(=O)N(C)C)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,XVZNFAAFLPHWPJ-LPJXRXTRSA-N,Unknown
Cabazitaxel,CHEMBL1201748,,CHEMBL3098540,CO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C([C@@H](OC(=O)N(C)C)C(=O)[C@]12C)C3(C)C,VEEZCBSCSARZSZ-LPJXRXTRSA-N,Unknown
Cabergoline,CHEMBL1201087,,CHEMBL4593105,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)C[C@H]21,KORNTPPJEAJQIU-DICHZYRTSA-N,Unknown
Cabergoline,CHEMBL1201087,,CHEMBL1898147,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,KORNTPPJEAJQIU-UHFFFAOYSA-N,Unknown
Cabotegravir,CHEMBL2403238,CABOTEGRAVIR SODIUM,CHEMBL3137330,C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+],AEZBWGMXBKPGFP-KIUAEZIZSA-M,Unknown
Cabotegravir,CHEMBL2403238,,CHEMBL2403239,C[C@@H]1CO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,WCWSTNLSLKSJPK-OTYXRUKQSA-N,Unknown
Cabozantinib,CHEMBL2105717,CABOZANTINIB S-MALATE,CHEMBL2103868,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC.O=C(O)C[C@H](O)C(=O)O,HFCFMRYTXDINDK-WNQIDUERSA-N,Unknown
Caffeine,CHEMBL113,CAFFEINE CITRATE,CHEMBL1200569,Cn1c(=O)c2c(ncn2C)n(C)c1=O.O=C(O)CC(O)(CC(=O)O)C(=O)O,RCQXSQPPHJPGOF-UHFFFAOYSA-N,Unknown
Calcipotriol,CHEMBL1200666,,CHEMBL4796961,C=C1/C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,LWQQLNNNIPYSNX-GMGGYIQASA-N,Unknown
Calcipotriol,CHEMBL1200666,,CHEMBL4563773,C=C1/C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@H](O)C[C@@H]1O,LWQQLNNNIPYSNX-LFDOYIGJSA-N,Unknown
Calcipotriol,CHEMBL1200666,,CHEMBL1366876,C=C1/C(=C\C=C2\CCCC3(C)C2CCC3C(C)/C=C/C(O)C2CC2)CC(O)CC1O,LWQQLNNNIPYSNX-FJGALDFCSA-N,Unknown
Camphene,CHEMBL2268550,,CHEMBL510535,C=C1[C@H]2CC[C@H](C2)C1(C)C,CRPUJAZIXJMDBK-DTWKUNHWSA-N,Unknown
Camphene,CHEMBL2268550,(-)-CAMPHENE,CHEMBL506889,C=C1[C@@H]2CC[C@@H](C2)C1(C)C,CRPUJAZIXJMDBK-BDAKNGLRSA-N,Unknown
Camphor,CHEMBL15768,(-)-CAMPHOR,CHEMBL2252949,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,DSSYKIVIOFKYAU-OIBJUYFYSA-N,Unknown
