Drug,PubChem CID,InChI Key,SMILES,STITCH ID,BNF Code,chembl_id,atc_codes
Adenosine,60961,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,,['0203020C0AA'],CHEMBL477,['C01EB10']
Bacampicillin,441397,PFOLLRNADZZWEX-FFGRCDKISA-N,CCOC(=O)OC(C)OC(=O)C1C(SC2N1C(=O)C2NC(=O)C(C3=CC=CC=C3)N)(C)C,CIDs00441397,,CHEMBL1583,['J01CA06']
Bacitracin,No PubChem CID found,No InChI Key found,No SMILES found,,"['1310011W0AA', '1103010Q0AA']",,
Baclofen,2284,KPYSYYIEGFHWSV-UHFFFAOYSA-N,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,CIDs00002284,['1002020C0AA'],CHEMBL701,['M03BX01']
Baloxavir Marboxil,124081896,RZVPBGBYGMDSBG-GGAORHGYSA-N,COC(=O)OCOC1=C2C(=O)N3CCOCC3N(N2C=CC1=O)C4C5=C(CSC6=CC=CC=C46)C(=C(C=C5)F)F,,['0503040D0AA'],CHEMBL4297503,['J05AX25']
Balsalazide,54585,IPOKCKJONYRRHP-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O,,['0105010D0AA'],CHEMBL1208641,[]
Bambusa Arundinacea,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Bambuterol,54766,ANZXOIAKUNOVQU-UHFFFAOYSA-N,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O,CIDs11726467,['0301011B0AA'],CHEMBL521589,['R03CC12']
Bamifylline,16229,VVUYEFBRTFASAH-UHFFFAOYSA-N,CCN(CCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CC3=CC=CC=C3)CCO,CIDs00016229,,CHEMBL2110760,['R03DA08']
Baptisia Tinctoria,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Baricitinib,44205240,XUZMWHLSFXCVMG-UHFFFAOYSA-N,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,CIDs44205240,['1001030ACAA'],CHEMBL2105759,['L04AA37']
Barium,5355457,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,[Ba],CIDs05491664,,CHEMBL4297653,[]
Barosma,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Basiliximab,No PubChem CID found,No InChI Key found,No SMILES found,,['0802020D0AA'],,
Bazedoxifene,154257,UCJGJABZCDBEDK-UHFFFAOYSA-N,CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O,CIDs50902419,['0604011ADAA'],CHEMBL46740,['G03XC02']
Cabazitaxel,9854073,BMQGVNUXMIRLCK-OAGWZNDDSA-N,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,CIDs09854073,,CHEMBL1201748,['L01CD04']
Cabergoline,54746,KORNTPPJEAJQIU-KJXAQDMKSA-N,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,CIDs00054746,"['0607010C0AA', '0409010U0AA']",CHEMBL1201087,"['G02CB03', 'N04BC06']"
Cabotegravir,54713659,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CC1COC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,CIDs54713645,['0503010AWAA'],CHEMBL2403238,['J05AJ04']
Cabozantinib,25102847,ONIQOQHATWINJY-UHFFFAOYSA-N,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,CIDs25102847,['0801050BRAA'],CHEMBL2105717,['L01EX07']
Cadexomer-Iodine,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Caffeine,2519,RYYVLZVUVIJVGH-UHFFFAOYSA-N,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CIDs00002519,"['0407041F0AA', '0404000D0AA', '0407010U0AA', '0407010AAAA', '070403000AA', '0404000E0AA', '190400000AA']",CHEMBL113,"['N06BC01', 'D11AX26']"
Calcipotriol,5288783,LWQQLNNNIPYSNX-UROSTWAQSA-N,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,CIDs05288783,['1305020D0AA'],CHEMBL1200666,"['D05AX02', 'D05AX52']"
Calcitonin,16129616,BBBFJLBPOGFECG-UHFFFAOYSA-N,CC(C)CC1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)N1)CC(=O)N)CO)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC2=CN=CN2)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(C)O)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)N4CCCC4C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)O)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(C)O)C(=O)N5CCCC5C(=O)N)C(C)O)CO,CIDs16220016,['0606010T0AA'],,[]
Calcium,5460341,OYPRJOBELJOOCE-UHFFFAOYSA-N,[Ca],CIDs06335803,"['20030200099', '20030200095', '20030200110', '20030200096', '20030200105', '20030200111', '20030200098', '20030200112', '090401000AA', '0906040N0AA', '0905011D0AA', '0905011D0BK', '0905022H0AA', '090501100AA', '090501100BB', '0906040G0AA', '0906040G0DZ', '20030200097', '20030200100', '20030800075', '20030800076', '20030800077', '0905011R0AA', '0905011K0AA', '0905011D0BE', '0905011B0AA', '0905011B0BB', '0905022C0AA', '0801000I0AA', '0902011L0AA', '0902011L0BB', '0208010N0AA', '0104010H0AA', '0101021C0AA', '0801000U0AA', '0208010N0BE', '0905011U0AA', '0101010S0AA', '190400000AA', '091200000BF', '091000000BB', '090603300BB', '0906023N0AA', '0906023N0BC', '010102100AA', '090504800BB', '0906040N0BF', '0906040N0BJ', '091000000AA', '0905022U0AA', '0604030Q0AA', '0906040N0BH', '0901011X0AA', '0913491A0AA', '0913491A0BC', '0906040G0DS', '0902011AAAA', '0906040G0EE']",,[]
Calcium Fluoride,84512,WUKWITHWXAAZEY-UHFFFAOYSA-L,[F-].[F-].[Ca+2],CIDs00024617,,,[]
Calendula,260656,AJBZENLMTKDAEK-UHFFFAOYSA-N,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)O)C)C,CIDs00461835,,,[]
Calotropis,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Camellia Sinensis,No PubChem CID found,No InChI Key found,No SMILES found,,['1307000W0AA'],,
Camphene,6616,CRPUJAZIXJMDBK-UHFFFAOYSA-N,CC1(C2CCC(C2)C1=C)C,CIDs00006616,,CHEMBL2268550,[]
Camphor,2537,DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC1(C2CCC1(C(=O)C2)C)C,CIDs00002537,"['1307000M0AA', '0309020N0AA', '190601000AA', '190400000AA', '131005000AA', '130900000AA']",CHEMBL15768,[]
Camphorated Opium Tincture,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Camptothecin,24360,VSJKWCGYPAHWDS-FQEVSTJZSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,CIDs00024360,,CHEMBL65,[]
Canagliflozin,24812758,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,CIDs24812758,"['0601023AMAA', '0601023APAA']",CHEMBL2048484,[]
Canakinumab,No PubChem CID found,No InChI Key found,No SMILES found,,['0802040ACAA'],,
Candesartan,2541,HTQMVQVXFRQIKW-UHFFFAOYSA-N,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,CIDs00002541,['0205052C0AA'],CHEMBL1016,['C09CA06']
Cangrelor,9854012,PAEBIVWUMLRPSK-IDTAVKCVSA-N,CSCCNC1=C2C(=NC(=N1)SCCC(F)(F)F)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(C(P(=O)(O)O)(Cl)Cl)O)O)O,,,CHEMBL334966,['B01AC25']
Cannabidiol,644019,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,CIDs00026346,"['1002020Y0AA', '0408010AMAA']",CHEMBL190461,['N03AX24']
Cannabis Sativa,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Canrenoic Acid,656615,PBKZPPIHUVSDNM-WNHSNXHDSA-N,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC4(CCC(=O)O)O)C,CIDs00656615,,CHEMBL1616951,[]
Capecitabine,60953,GAGWJHPBXLXJQN-UORFTKCHSA-N,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,CIDs00060953,['0801030V0AA'],CHEMBL1773,['L01BC06']
Caplacizumab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Capreomycin,3000502,VCOPTHOUUNAYKQ-WBTCAYNUSA-N,CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCN=C(N2)N)CNC(=O)CC(CCCN)N.C1CN=C(NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N,CIDs03000502,['0501090C0AA'],,[]
Capsaicin,1548943,YKPUWZUDDOIDPM-SOFGYWHQSA-N,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,CIDs01548943,['1003020AAAA'],CHEMBL294199,"['N01BX04', 'M02AB01']"
Capsella Bursa-Pastoris,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Capsicum,No PubChem CID found,No InChI Key found,No SMILES found,,"['190606000AA', '1003020H0AA']",,
Captopril,44093,FAKRSMQSSFJEIM-RQJHMYQMSA-N,CC(CS)C(=O)N1CCCC1C(=O)O,CIDs00044093,['0205051F0AA'],CHEMBL1560,['C09AA01']
Carapichea Ipecacuanha,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Carba Mixture,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Carbachol,5831,AIXAANGOTKPUOY-UHFFFAOYSA-N,C[N+](C)(C)CCOC(=O)N.[Cl-],,"['1106000J0AA', '1106000J0BB']",CHEMBL14,"['N07AB01', 'S01EB02']"
Carbamazepine,2554,FFGPTBGBLSHEPO-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,CIDs00002554,['0408010C0AA'],CHEMBL108,['N03AF01']
Carbaryl,6129,CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)OC1=CC=CC2=CC=CC=C21,CIDs00006129,['1310040F0AA'],CHEMBL46917,[]
Carbenicillin,20824,FPPNZSSZRUTDAP-UWFZAAFLSA-N,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C,CIDs00020824,,CHEMBL1214,['J01CA03']
Carbenoxolone,636403,OBZHEBDUNPOCJG-WBXJDKIVSA-N,CC1(C2CCC3(C(C2(CCC1OC(=O)CCC(=O)O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,CIDs00021913,['1203010G0AA'],CHEMBL499915,"['A02BX51', 'A02BX01', 'A02BX71']"
Carbetocin,16681432,NSTRIRCPWQHTIA-DTRKZRJBSA-N,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSCCCC(=O)NC(C(=O)N1)CC2=CC=C(C=C2)OC)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,CIDs16681432,['0701010W0AA'],CHEMBL3301668,['H01BB03']
Carbidopa,34359,TZFNLOMSOLWIDK-JTQLQIEISA-N,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,CIDs00034359,"['0409010X0AA', '0409010D0AA']",CHEMBL1201236,[]
Carbimazole,31072,CFOYWRHIYXMDOT-UHFFFAOYSA-N,CCOC(=O)N1C=CN(C1=S)C,CIDs00031072,['0602020D0AA'],CHEMBL508102,['H03BB01']
Carbinoxamine,2564,OJFSXZCBGQGRNV-UHFFFAOYSA-N,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,CIDs00002564,,CHEMBL864,['R06AA08']
Carbocisteine,193653,GBFLZEXEOZUWRN-VKHMYHEASA-N,C(C(C(=O)O)N)SCC(=O)O,CIDs00193653,['0307000J0AA'],CHEMBL396416,['R05CB03']
Carbomer,No PubChem CID found,No InChI Key found,No SMILES found,,"['1108010B0AA', '21300000700', '21300000701', '21300000702', '21300000712', '21300000946', '21300000968', '21300000707', '21300000969', '21300000974', '1108010Z0AA', '1108030AAAA', '21300000706']",,
Carbon,5462310,OKTJSMMVPCPJKN-UHFFFAOYSA-N,[C],CIDs05462310,"['20031000057', '20033000331', '20031000062', '20031000033', '0902013S0AA', '0902013S0BB', '21012500100', '21012500116', '21012500120', '21012500124', '21010000002', '21012600201', '0402030K0AA', '0902021Q0AA', '0902021Q0BB', '0101012B0AA', '0101012B0BH', '0902021Q0BC', '190400000AA', '0101010F0AA', '20031000030', '20031000031', '20031000061', '20031000032', '20033000332', '0902013P0AA', '0905022T0AA', '0106040N0BE', '191500000BD', '20031000058', '20033000334', '20031000059', '20031000060', '20033000333', '20033000335']",CHEMBL2106049,"['A07BA01', 'A07BA51']"
Carbon Dioxide,280,CURLTUGMZLYLDI-UHFFFAOYSA-N,C(=O)=O,CIDs00000280,,CHEMBL1231871,['V03AN02']
Carboplatin,426756,VSRXQHXAPYXROS-UHFFFAOYSA-N,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],CIDs46780173,['0801050F0AA'],,[]
Carboprost,5281075,DLJKPYFALUEJCK-IIELGFQLSA-N,CCCCCC(C)(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,CIDs05281075,['0701010D0AA'],CHEMBL1237122,['G02AD04']
Carbuterol,36976,KEMXXQOFIRIICG-UHFFFAOYSA-N,CC(C)(C)NCC(C1=CC(=C(C=C1)O)NC(=O)N)O,CIDs14519559,,CHEMBL2110780,"['R03CC10', 'R03AC10']"
Carfecillin,33672,NZDASSHFKWDBBU-KVMCETHSSA-N,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC=CC=C4)C(=O)O)C,CIDs00033672,,CHEMBL1095283,['G01AA08']
Carfilzomib,11556711,BLMPQMFVWMYDKT-NZTKNTHTSA-N,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,CIDs11556711,,CHEMBL451887,['L01XG02']
Carglumic Acid,121396,LCQLHJZYVOQKHU-VKHMYHEASA-N,C(CC(=O)O)C(C(=O)O)NC(=O)N,CIDs00121396,['0908010ADAA'],CHEMBL1201780,['A16AA05']
Cariprazine,11154555,KPWSJANDNDDRMB-UHFFFAOYSA-N,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,CIDs11154555,['0402010AJAA'],,[]
Carisoprodol,2576,OFZCIYFFPZCNJE-UHFFFAOYSA-N,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,CIDs00002576,['1002020G0AA'],CHEMBL1233,"['M03BA72', 'M03BA02', 'M03BA52']"
Carmellose,24748,VJHCJDRQFCCTHL-UHFFFAOYSA-N,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O,CIDs00024748,"['21300000123', '21300000161', '21300000122', '21300000938', '1108010D0AA', '21300000120', '21300000177', '21300000125', '21300000126', '21300000160', '21300000166', '21300000908', '21300000153', '21300000174', '21300000195', '21300000917', '21300000945', '21300000971', '21300000154', '21300000196', '21300000943']",,[]
Carmustine,2578,DLGOEMSEDOSKAD-UHFFFAOYSA-N,C(CCl)NC(=O)N(CCCl)N=O,CIDs12518243,['0801010D0AA'],CHEMBL513,['L01AD01']
Carotuximab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Carteolol,2583,LWAFSWPYPHEXKX-UHFFFAOYSA-N,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,CIDs00002583,['1106000K0AA'],CHEMBL839,"['S01ED05', 'C07AA15', 'S01ED55']"
Carthamus,135565560,WLYGSPLCNKYESI-RSUQVHIMSA-N,C1=CC(=CC=C1C=CC(=O)C2=C(C(C(=C(C2=O)C=C3C(=O)C(=C(C(C3=O)(C4C(C(C(C(O4)CO)O)O)O)O)O)C(=O)C=CC5=CC=C(C=C5)O)O)(C6C(C(C(C(O6)CO)O)O)O)O)O)O,,,,[]
Carum,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Carum Carvi,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Carvedilol,2585,OGHNVEJMJSYVRP-UHFFFAOYSA-N,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,CIDs00002585,['020400080AA'],CHEMBL723,['C07AG02']
Casein,73995022,BECPQYXYKAMYBN-UHFFFAOYSA-N,CC(C)CC(C(=NC(CCC(=N)O)C(=NC(CC(=O)O)C(=NC(CCCCN)C(=O)O)O)O)O)N=C(C(CCC(=O)O)N=C(C(CC(=O)O)N=C(C(CCC(=O)O)N=C(C(C(C)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=O)O)N=C(C(CCC(=O)O)N=C(C(COP(=O)(O)O)N=C(C(CCC(=N)O)N=C(C(CC1=CC=CC=C1)N)O)O)O)O)O)O)O)O)O)O)O)O,CIDs73995022,,,[]
Casirivimab,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Caspofungin,16119814,JYIKNQVWKBUSNH-WVDDFWQHSA-N,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(CCN)O)O)NCCN)O,CIDs02826718,['0502040C0AA'],CHEMBL1630575,['J02AX04']
Catalase,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Catechu,9064,PFTAWBLQPZVEMU-DZGCQCFKSA-N,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,CIDs00001203,,CHEMBL311498,[]
Caulophyllum,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Causticum,73415827,SNBXCWVOMQIJEH-UHFFFAOYSA-K,[OH-].[O-]S(=O)(=O)[O-].[K+].[Ca+2],,,,[]
Kaempferia,No PubChem CID found,No InChI Key found,No SMILES found,,,,
Kanamycin,6032,SBUJHOSQTJFQJX-NOAMYHISSA-N,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,CIDs00006032,,CHEMBL1384,"['J01GB04', 'S01AA24', 'A07AA08']"
Kaolin,No PubChem CID found,No InChI Key found,No SMILES found,,"['0104010H0AA', '0104020N0AA', '0104020D0AA', '1003020L0AA', '190400000AA', '1302010H0AA']",,
