Link,Drug Name
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000569124774.zip&amp;agency=MHRA,Canrenoic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000705415364.zip&amp;agency=MHRA,Capecitabine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000513946675.zip&amp;agency=MHRA,Caplacizumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000935547069.zip&amp;agency=MHRA,Capreomycin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000489415275.zip&amp;agency=MHRA,Capsaicin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000198730258.zip&amp;agency=MHRA,Capsella Bursa-Pastoris
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000592978342.zip&amp;agency=MHRA,Capsicum
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000288132334.zip&amp;agency=MHRA,Captopril
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000949249872.zip&amp;agency=MHRA,Carapichea Ipecacuanha
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000864999181.zip&amp;agency=MHRA,Carba Mixture
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000598456303.zip&amp;agency=MHRA,Carbachol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000918005237.zip&amp;agency=MHRA,Carbamazepine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000845230260.zip&amp;agency=MHRA,Carbaryl
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000445418092.zip&amp;agency=MHRA,Carbenicillin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000347239164.zip&amp;agency=MHRA,Carbenoxolone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000995510463.zip&amp;agency=MHRA,Carbetocin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000964293978.zip&amp;agency=MHRA,Carbidopa
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000509191286.zip&amp;agency=MHRA,Carbimazole
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000322035112.zip&amp;agency=MHRA,Carbinoxamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000937251968.zip&amp;agency=MHRA,Carbocisteine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000385622822.zip&amp;agency=MHRA,Carbomer
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000396590210.zip&amp;agency=MHRA,Carbon
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000075237861.zip&amp;agency=MHRA,Carbon Dioxide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000429763766.zip&amp;agency=MHRA,Carboplatin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001033363117.zip&amp;agency=MHRA,Carboprost
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000652751418.zip&amp;agency=MHRA,Carbuterol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000834744830.zip&amp;agency=MHRA,Carfecillin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000171044018.zip&amp;agency=MHRA,Carfilzomib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000809122697.zip&amp;agency=MHRA,Carglumic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000956044112.zip&amp;agency=MHRA,Cariprazine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000265950600.zip&amp;agency=MHRA,Carisoprodol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000894307965.zip&amp;agency=MHRA,Carmellose
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000061954892.zip&amp;agency=MHRA,Carmustine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001035257513.zip&amp;agency=MHRA,Carotuximab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000508085962.zip&amp;agency=MHRA,Carteolol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000200847488.zip&amp;agency=MHRA,Carthamus
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000152503961.zip&amp;agency=MHRA,Carum
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000044395009.zip&amp;agency=MHRA,Carum Carvi
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000906701366.zip&amp;agency=MHRA,Carvedilol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000690956603.zip&amp;agency=MHRA,Casein
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000543156742.zip&amp;agency=MHRA,Casirivimab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000068786663.zip&amp;agency=MHRA,Caspofungin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000103862421.zip&amp;agency=MHRA,Catalase
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001043634507.zip&amp;agency=MHRA,Catechu
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000137276659.zip&amp;agency=MHRA,Caulophyllum
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000025936702.zip&amp;agency=MHRA,Causticum
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000626884433.zip&amp;agency=MHRA,Kaempferia
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000984552933.zip&amp;agency=MHRA,Kanamycin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000753157422.zip&amp;agency=MHRA,Kaolin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000341311327.zip&amp;agency=MHRA,Afamelanotide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000261051792.zip&amp;agency=MHRA,Afatinib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000628733359.zip&amp;agency=MHRA,Aflibercept
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001056638730.zip&amp;agency=MHRA,Agomelatine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000774927458.zip&amp;agency=MHRA,Agrimonia
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000217631881.zip&amp;agency=MHRA,Agropyron Repens
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000008191027.zip&amp;agency=MHRA,Ajmaline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000460335179.zip&amp;agency=MHRA,Alanine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000092017615.zip&amp;agency=MHRA,Alathon Polyethylene Resin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000272302463.zip&amp;agency=MHRA,Albendazole
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000970189846.zip&amp;agency=MHRA,Albumin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000386992735.zip&amp;agency=MHRA,Alchemilla Vulgaris
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000171957310.zip&amp;agency=MHRA,Alclofenac
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000972862040.zip&amp;agency=MHRA,Alclometasone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000370040312.zip&amp;agency=MHRA,Alcloxa
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000798138825.zip&amp;agency=MHRA,Alectinib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000744042802.zip&amp;agency=MHRA,Alemtuzumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000837661002.zip&amp;agency=MHRA,Alendronic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000432242908.zip&amp;agency=MHRA,Alexitol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000754899680.zip&amp;agency=MHRA,Alfentanil
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000097785837.zip&amp;agency=MHRA,Alfuzosin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000550651392.zip&amp;agency=MHRA,Alginic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001048194177.zip&amp;agency=MHRA,Alglucerase
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000218616948.zip&amp;agency=MHRA,Alglucosidase Alfa
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000717127674.zip&amp;agency=MHRA,Alirocumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000330303774.zip&amp;agency=MHRA,Aliskiren
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000995608787.zip&amp;agency=MHRA,Alitretinoin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000603141924.zip&amp;agency=MHRA,Allantoin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000736753019.zip&amp;agency=MHRA,Allium Cepa
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000667349672.zip&amp;agency=MHRA,Allium Sativum
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000173920033.zip&amp;agency=MHRA,Allopurinol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000769571471.zip&amp;agency=MHRA,Allyloestrenol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000876349853.zip&amp;agency=MHRA,Almasilate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000431367944.zip&amp;agency=MHRA,Almotriptan
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000056914617.zip&amp;agency=MHRA,Alogliptin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000962666751.zip&amp;agency=MHRA,Aloin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001054306471.zip&amp;agency=MHRA,Aloxiprin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000223741810.zip&amp;agency=MHRA,Alpelisib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000552324464.zip&amp;agency=MHRA,Alpha-1 Proteinase Inhibitor
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000111643074.zip&amp;agency=MHRA,Alpha-Amylcinnamaldehyde
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000763995810.zip&amp;agency=MHRA,Alpha-Pinene
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000870568235.zip&amp;agency=MHRA,Alphadolone Acetate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000194439879.zip&amp;agency=MHRA,Alphaxalone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000267715183.zip&amp;agency=MHRA,Alprazolam
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000663103276.zip&amp;agency=MHRA,Alprostadil
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000528763061.zip&amp;agency=MHRA,Alseroxylon
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000573879472.zip&amp;agency=MHRA,Alteplase
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001065424034.zip&amp;agency=MHRA,Althaea
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000904153487.zip&amp;agency=MHRA,Altretamine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000551442652.zip&amp;agency=MHRA,Aluminium Chloride
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000424319362.zip&amp;agency=MHRA,Aluminium Chlorohydrate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000987925747.zip&amp;agency=MHRA,Aluminium Glycinate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000859777509.zip&amp;agency=MHRA,Aluminium Hydroxide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000052676624.zip&amp;agency=MHRA,Aluminium Oxide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000730424645.zip&amp;agency=MHRA,Aluminium Sulphate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000691142328.zip&amp;agency=MHRA,Alverine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001004501974.zip&amp;agency=MHRA,Amantadine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000776679213.zip&amp;agency=MHRA,Amatuximab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000157394592.zip&amp;agency=MHRA,Ambrisentan
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000423179687.zip&amp;agency=MHRA,Ambroxol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000596685745.zip&amp;agency=MHRA,Ambucetamide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000736500375.zip&amp;agency=MHRA,Ambutonium
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000089153336.zip&amp;agency=MHRA,Amidotrizoic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000430323955.zip&amp;agency=MHRA,Amifampridine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000602926442.zip&amp;agency=MHRA,Amifostine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000303013478.zip&amp;agency=MHRA,Amikacin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000622417361.zip&amp;agency=MHRA,Amiloride
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000464469384.zip&amp;agency=MHRA,Amino Acids
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000268138104.zip&amp;agency=MHRA,Aminoacridine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000178787121.zip&amp;agency=MHRA,Aminobenzoic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000794903182.zip&amp;agency=MHRA,Aminocaproic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000509657028.zip&amp;agency=MHRA,Aminoglutethimide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000910970900.zip&amp;agency=MHRA,Aminohippuric Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000633613410.zip&amp;agency=MHRA,Aminolevulinic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000222022222.zip&amp;agency=MHRA,Aminophylline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000609368263.zip&amp;agency=MHRA,Aminoxidase
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000376239374.zip&amp;agency=MHRA,Amiodarone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000547157552.zip&amp;agency=MHRA,Amiphenazole
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000719977384.zip&amp;agency=MHRA,Amisulpride
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000177286679.zip&amp;agency=MHRA,Amitriptyline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000279746473.zip&amp;agency=MHRA,Amivantamab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000134668079.zip&amp;agency=MHRA,Amlodipine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000094098466.zip&amp;agency=MHRA,Ammonia
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000692681665.zip&amp;agency=MHRA,Ammonium Bicarbonate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000212279641.zip&amp;agency=MHRA,Ammonium Carbonate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000765371606.zip&amp;agency=MHRA,Ammonium Chloride
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001042741627.zip&amp;agency=MHRA,Amorolfine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000004539878.zip&amp;agency=MHRA,Amoxapine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001010312442.zip&amp;agency=MHRA,Amoxycillin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000133015767.zip&amp;agency=MHRA,Amphotericin B
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000450100246.zip&amp;agency=MHRA,Ampicillin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000701536384.zip&amp;agency=MHRA,Amprenavir
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000004153890.zip&amp;agency=MHRA,Amsacrine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000008011243.zip&amp;agency=MHRA,Amyl Nitrite
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000248663208.zip&amp;agency=MHRA,Amylase
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000424036640.zip&amp;agency=MHRA,Amylmetacresol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000354222472.zip&amp;agency=MHRA,Amylobarbitone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000769122671.zip&amp;agency=MHRA,Amylocaine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000043889585.zip&amp;agency=MHRA,Anagrelide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000179542162.zip&amp;agency=MHRA,Anakinra
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000249646272.zip&amp;agency=MHRA,Anamirta Cocculus
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000377516492.zip&amp;agency=MHRA,Anastrozole
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000979830659.zip&amp;agency=MHRA,Ancrod
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000500382388.zip&amp;agency=MHRA,Andexanet Alfa
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000991583698.zip&amp;agency=MHRA,Anethum Graveolens
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000440582683.zip&amp;agency=MHRA,Anidulafungin
