Drug,InChI Key,SMILES,PubChem CID,ChEMBL ID,ATC Code
Acrivastine,PWACSDKDOHSSQD-IUTFFREVSA-N,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC(=N3)C=CC(=O)O,5284514,CHEMBL6329,No ATC Code found
Acrosoxacin,XBPZXDSZHPDXQU-UHFFFAOYSA-N,CCN1C=C(C(=O)C2=C1C=C(C=C2)C3=CC=NC=C3)C(=O)O,287180,CHEMBL6329,No ATC Code found
Acyclovir,MKUXAQIIEYXACX-UHFFFAOYSA-N,C1=NC2=C(N1COCCO)N=C(NC2=O)N,135398513,CHEMBL6329,No ATC Code found
Adalimumab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Adapalene,LZCDAPDGXCYOEH-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,60164,CHEMBL6329,No ATC Code found
Adefovir,SUPKOOSCJHTBAH-UHFFFAOYSA-N,C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N,60172,CHEMBL6329,No ATC Code found
Adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,C1=NC2=NC=NC(=C2N1)N,190,CHEMBL6329,No ATC Code found
Adenophora,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,60961,CHEMBL6329,No ATC Code found
Bacampicillin,PFOLLRNADZZWEX-FFGRCDKISA-N,CCOC(=O)OC(C)OC(=O)C1C(SC2N1C(=O)C2NC(=O)C(C3=CC=CC=C3)N)(C)C,441397,CHEMBL6329,No ATC Code found
Bacitracin,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Baclofen,KPYSYYIEGFHWSV-UHFFFAOYSA-N,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,2284,CHEMBL6329,No ATC Code found
Baloxavir Marboxil,RZVPBGBYGMDSBG-GGAORHGYSA-N,COC(=O)OCOC1=C2C(=O)N3CCOCC3N(N2C=CC1=O)C4C5=C(CSC6=CC=CC=C46)C(=C(C=C5)F)F,124081896,CHEMBL6329,No ATC Code found
Balsalazide,IPOKCKJONYRRHP-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O,54585,CHEMBL6329,No ATC Code found
Bambusa Arundinacea,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Bambuterol,ANZXOIAKUNOVQU-UHFFFAOYSA-N,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O,54766,CHEMBL6329,No ATC Code found
Bamifylline,VVUYEFBRTFASAH-UHFFFAOYSA-N,CCN(CCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CC3=CC=CC=C3)CCO,16229,CHEMBL6329,No ATC Code found
Baptisia Tinctoria,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Baricitinib,XUZMWHLSFXCVMG-UHFFFAOYSA-N,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,44205240,CHEMBL6329,No ATC Code found
Barium,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,[Ba],5355457,CHEMBL6329,No ATC Code found
Barosma,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Basiliximab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Bazedoxifene,UCJGJABZCDBEDK-UHFFFAOYSA-N,CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O,154257,CHEMBL6329,No ATC Code found
Cabazitaxel,BMQGVNUXMIRLCK-OAGWZNDDSA-N,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,9854073,CHEMBL6329,No ATC Code found
Cabergoline,KORNTPPJEAJQIU-KJXAQDMKSA-N,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,54746,CHEMBL6329,No ATC Code found
Cabotegravir,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CC1COC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,54713659,CHEMBL6329,No ATC Code found
Cabozantinib,ONIQOQHATWINJY-UHFFFAOYSA-N,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,25102847,CHEMBL6329,No ATC Code found
Cadexomer-Iodine,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2519,CHEMBL6329,No ATC Code found
Calcipotriol,LWQQLNNNIPYSNX-UROSTWAQSA-N,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,5288783,CHEMBL6329,No ATC Code found
Calcitonin,BBBFJLBPOGFECG-UHFFFAOYSA-N,CC(C)CC1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)N1)CC(=O)N)CO)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC2=CN=CN2)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(C)O)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)N4CCCC4C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)O)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(C)O)C(=O)N5CCCC5C(=O)N)C(C)O)CO,16129616,CHEMBL6329,No ATC Code found
Calcium,OYPRJOBELJOOCE-UHFFFAOYSA-N,[Ca],5460341,CHEMBL6329,No ATC Code found
Calcium Fluoride,WUKWITHWXAAZEY-UHFFFAOYSA-L,[F-].[F-].[Ca+2],84512,CHEMBL6329,No ATC Code found
Calendula,AJBZENLMTKDAEK-UHFFFAOYSA-N,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)O)C)C,260656,CHEMBL6329,No ATC Code found
Calotropis,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Camellia Sinensis,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Camphene,CRPUJAZIXJMDBK-UHFFFAOYSA-N,CC1(C2CCC(C2)C1=C)C,6616,CHEMBL6329,No ATC Code found
Camphor,DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC1(C2CCC1(C(=O)C2)C)C,2537,CHEMBL6329,No ATC Code found
Camphorated Opium Tincture,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Camptothecin,VSJKWCGYPAHWDS-FQEVSTJZSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,24360,CHEMBL6329,No ATC Code found
Canagliflozin,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,24812758,CHEMBL6329,No ATC Code found
Canakinumab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Candesartan,HTQMVQVXFRQIKW-UHFFFAOYSA-N,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,2541,CHEMBL6329,No ATC Code found
Cangrelor,PAEBIVWUMLRPSK-IDTAVKCVSA-N,CSCCNC1=C2C(=NC(=N1)SCCC(F)(F)F)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(C(P(=O)(O)O)(Cl)Cl)O)O)O,9854012,CHEMBL6329,No ATC Code found
Cannabidiol,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,644019,CHEMBL6329,No ATC Code found
Cannabis Sativa,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Canrenoic Acid,PBKZPPIHUVSDNM-WNHSNXHDSA-N,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC4(CCC(=O)O)O)C,656615,CHEMBL6329,No ATC Code found
Capecitabine,GAGWJHPBXLXJQN-UORFTKCHSA-N,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,60953,CHEMBL6329,No ATC Code found
Caplacizumab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Capreomycin,VCOPTHOUUNAYKQ-WBTCAYNUSA-N,CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCN=C(N2)N)CNC(=O)CC(CCCN)N.C1CN=C(NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N,3000502,CHEMBL6329,No ATC Code found
Capsaicin,YKPUWZUDDOIDPM-SOFGYWHQSA-N,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,1548943,CHEMBL6329,No ATC Code found
Capsella Bursa-Pastoris,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Capsicum,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Captopril,FAKRSMQSSFJEIM-RQJHMYQMSA-N,CC(CS)C(=O)N1CCCC1C(=O)O,44093,CHEMBL6329,No ATC Code found
Carapichea Ipecacuanha,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Carba Mixture,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Carbachol,AIXAANGOTKPUOY-UHFFFAOYSA-N,C[N+](C)(C)CCOC(=O)N.[Cl-],5831,CHEMBL6329,No ATC Code found
Carbamazepine,FFGPTBGBLSHEPO-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,2554,CHEMBL6329,No ATC Code found
Carbaryl,CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)OC1=CC=CC2=CC=CC=C21,6129,CHEMBL6329,No ATC Code found
Carbenicillin,FPPNZSSZRUTDAP-UWFZAAFLSA-N,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C,20824,CHEMBL6329,No ATC Code found
Carbenoxolone,OBZHEBDUNPOCJG-WBXJDKIVSA-N,CC1(C2CCC3(C(C2(CCC1OC(=O)CCC(=O)O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,636403,CHEMBL6329,No ATC Code found
Carbetocin,NSTRIRCPWQHTIA-DTRKZRJBSA-N,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSCCCC(=O)NC(C(=O)N1)CC2=CC=C(C=C2)OC)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,16681432,CHEMBL6329,No ATC Code found
Carbidopa,TZFNLOMSOLWIDK-JTQLQIEISA-N,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,34359,CHEMBL6329,No ATC Code found
Carbimazole,CFOYWRHIYXMDOT-UHFFFAOYSA-N,CCOC(=O)N1C=CN(C1=S)C,31072,CHEMBL6329,No ATC Code found
Carbinoxamine,OJFSXZCBGQGRNV-UHFFFAOYSA-N,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2564,CHEMBL6329,No ATC Code found
Carbocisteine,GBFLZEXEOZUWRN-VKHMYHEASA-N,C(C(C(=O)O)N)SCC(=O)O,193653,CHEMBL6329,No ATC Code found
Carbomer,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Carbon,OKTJSMMVPCPJKN-UHFFFAOYSA-N,[C],5462310,CHEMBL6329,No ATC Code found
Carbon Dioxide,CURLTUGMZLYLDI-UHFFFAOYSA-N,C(=O)=O,280,CHEMBL6329,No ATC Code found
Carboplatin,VSRXQHXAPYXROS-UHFFFAOYSA-N,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],426756,CHEMBL6329,No ATC Code found
Carboprost,DLJKPYFALUEJCK-IIELGFQLSA-N,CCCCCC(C)(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,5281075,CHEMBL6329,No ATC Code found
Carbuterol,KEMXXQOFIRIICG-UHFFFAOYSA-N,CC(C)(C)NCC(C1=CC(=C(C=C1)O)NC(=O)N)O,36976,CHEMBL6329,No ATC Code found
Carfecillin,NZDASSHFKWDBBU-KVMCETHSSA-N,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC=CC=C4)C(=O)O)C,33672,CHEMBL6329,No ATC Code found
Carfilzomib,BLMPQMFVWMYDKT-NZTKNTHTSA-N,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,11556711,CHEMBL6329,No ATC Code found
Carglumic Acid,LCQLHJZYVOQKHU-VKHMYHEASA-N,C(CC(=O)O)C(C(=O)O)NC(=O)N,121396,CHEMBL6329,No ATC Code found
Cariprazine,KPWSJANDNDDRMB-UHFFFAOYSA-N,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,11154555,CHEMBL6329,No ATC Code found
Carisoprodol,OFZCIYFFPZCNJE-UHFFFAOYSA-N,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,2576,CHEMBL6329,No ATC Code found
Carmellose,VJHCJDRQFCCTHL-UHFFFAOYSA-N,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O,24748,CHEMBL6329,No ATC Code found
Carmustine,DLGOEMSEDOSKAD-UHFFFAOYSA-N,C(CCl)NC(=O)N(CCCl)N=O,2578,CHEMBL6329,No ATC Code found
Carotuximab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Carteolol,LWAFSWPYPHEXKX-UHFFFAOYSA-N,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,2583,CHEMBL6329,No ATC Code found
Carthamus,WLYGSPLCNKYESI-RSUQVHIMSA-N,C1=CC(=CC=C1C=CC(=O)C2=C(C(C(=C(C2=O)C=C3C(=O)C(=C(C(C3=O)(C4C(C(C(C(O4)CO)O)O)O)O)O)C(=O)C=CC5=CC=C(C=C5)O)O)(C6C(C(C(C(O6)CO)O)O)O)O)O)O,135565560,CHEMBL6329,No ATC Code found
Carum,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Carum Carvi,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Carvedilol,OGHNVEJMJSYVRP-UHFFFAOYSA-N,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,2585,CHEMBL6329,No ATC Code found
Casein,BECPQYXYKAMYBN-UHFFFAOYSA-N,CC(C)CC(C(=NC(CCC(=N)O)C(=NC(CC(=O)O)C(=NC(CCCCN)C(=O)O)O)O)O)N=C(C(CCC(=O)O)N=C(C(CC(=O)O)N=C(C(CCC(=O)O)N=C(C(C(C)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=O)O)N=C(C(CCC(=O)O)N=C(C(COP(=O)(O)O)N=C(C(CCC(=N)O)N=C(C(CC1=CC=CC=C1)N)O)O)O)O)O)O)O)O)O)O)O)O,73995022,CHEMBL6329,No ATC Code found
Casirivimab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Caspofungin,JYIKNQVWKBUSNH-WVDDFWQHSA-N,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(CCN)O)O)NCCN)O,16119814,CHEMBL6329,No ATC Code found
Catalase,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Catechu,PFTAWBLQPZVEMU-DZGCQCFKSA-N,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064,CHEMBL6329,No ATC Code found
Caulophyllum,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Causticum,SNBXCWVOMQIJEH-UHFFFAOYSA-K,[OH-].[O-]S(=O)(=O)[O-].[K+].[Ca+2],73415827,CHEMBL6329,No ATC Code found
Kaempferia,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Kanamycin,SBUJHOSQTJFQJX-NOAMYHISSA-N,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,6032,CHEMBL6329,No ATC Code found
Kaolin,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Afamelanotide,UAHFGYDRQSXQEB-LEBBXHLNSA-N,CCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CN=CN1)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NCC(=O)NC(CCCCN)C(=O)N5CCCC5C(=O)NC(C(C)C)C(=O)N)NC(=O)C(CO)NC(=O)C(CC6=CC=C(C=C6)O)NC(=O)C(CO)NC(=O)C,16197727,CHEMBL6329,No ATC Code found
Afatinib,ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,10184653,CHEMBL6329,No ATC Code found
Aflibercept,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Agomelatine,YJYPHIXNFHFHND-UHFFFAOYSA-N,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,82148,CHEMBL6329,No ATC Code found
Agrimonia,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Agropyron Repens,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Ajmaline,CJDRUOGAGYHKKD-RQBLFBSQSA-N,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,6100671,CHEMBL6329,No ATC Code found
Alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N,CC(C(=O)O)N,5950,CHEMBL6329,No ATC Code found
Alathon Polyethylene Resin,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Albendazole,HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,2082,CHEMBL6329,No ATC Code found
Albumin,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Alchemilla Vulgaris,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Alclofenac,ARHWPKZXBHOEEE-UHFFFAOYSA-N,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,30951,CHEMBL6329,No ATC Code found
Alclometasone,FJXOGVLKCZQRDN-PHCHRAKRSA-N,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl,5311000,CHEMBL6329,No ATC Code found
Alcloxa,VTKMMWSAJLCWSM-UHFFFAOYSA-H,C1(C(=O)NC(=N1)[O-])NC(=O)N.[OH-].[OH-].[OH-].[OH-].[Al+3].[Al+3].[Cl-],136146352,CHEMBL6329,No ATC Code found
Alectinib,KDGFLJKFZUIJMX-UHFFFAOYSA-N,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C,49806720,CHEMBL6329,No ATC Code found
Alemtuzumab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Alendronic Acid,OGSPWJRAVKPPFI-UHFFFAOYSA-N,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,2088,CHEMBL6329,No ATC Code found
Alexitol,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Alfentanil,IDBPHNDTYPBSNI-UHFFFAOYSA-N,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,51263,CHEMBL6329,No ATC Code found
Alfuzosin,WNMJYKCGWZFFKR-UHFFFAOYSA-N,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,2092,CHEMBL6329,No ATC Code found
Alginic Acid,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Alglucerase,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Alglucosidase Alfa,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Alirocumab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Aliskiren,UXOWGYHJODZGMF-QORCZRPOSA-N,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,5493444,CHEMBL6329,No ATC Code found
