Drug,InChI Key,SMILES,PubChem CID
Bamifylline,VVUYEFBRTFASAH-UHFFFAOYSA-N,CCN(CCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CC3=CC=CC=C3)CCO,16229
Baptisia Tinctoria,No InChI Key found,No SMILES found,No PubChem CID found
Baricitinib,XUZMWHLSFXCVMG-UHFFFAOYSA-N,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,44205240
Barium,DSAJWYNOEDNPEQ-UHFFFAOYSA-N,[Ba],5355457
Barosma,No InChI Key found,No SMILES found,No PubChem CID found
Basiliximab,No InChI Key found,No SMILES found,No PubChem CID found
Bazedoxifene,UCJGJABZCDBEDK-UHFFFAOYSA-N,CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O,154257
Cabazitaxel,BMQGVNUXMIRLCK-OAGWZNDDSA-N,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,9854073
Cabergoline,KORNTPPJEAJQIU-KJXAQDMKSA-N,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,54746
Cabotegravir,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CC1COC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,54713659
Cabozantinib,ONIQOQHATWINJY-UHFFFAOYSA-N,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,25102847
Cadexomer-Iodine,No InChI Key found,No SMILES found,No PubChem CID found
Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2519
Calcipotriol,LWQQLNNNIPYSNX-UROSTWAQSA-N,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C,5288783
Calcitonin,BBBFJLBPOGFECG-UHFFFAOYSA-N,CC(C)CC1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)N1)CC(=O)N)CO)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC2=CN=CN2)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(C)O)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)N4CCCC4C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)O)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(C)O)C(=O)N5CCCC5C(=O)N)C(C)O)CO,16129616
Calcium,OYPRJOBELJOOCE-UHFFFAOYSA-N,[Ca],5460341
Calcium Fluoride,WUKWITHWXAAZEY-UHFFFAOYSA-L,[F-].[F-].[Ca+2],84512
Calendula,AJBZENLMTKDAEK-UHFFFAOYSA-N,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)O)C)C,260656
Calotropis,No InChI Key found,No SMILES found,No PubChem CID found
Camellia Sinensis,No InChI Key found,No SMILES found,No PubChem CID found
Camphene,CRPUJAZIXJMDBK-UHFFFAOYSA-N,CC1(C2CCC(C2)C1=C)C,6616
Camphor,DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC1(C2CCC1(C(=O)C2)C)C,2537
Camphorated Opium Tincture,No InChI Key found,No SMILES found,No PubChem CID found
Camptothecin,VSJKWCGYPAHWDS-FQEVSTJZSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,24360
Canagliflozin,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,24812758
Canakinumab,No InChI Key found,No SMILES found,No PubChem CID found
Candesartan,HTQMVQVXFRQIKW-UHFFFAOYSA-N,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,2541
Cangrelor,PAEBIVWUMLRPSK-IDTAVKCVSA-N,CSCCNC1=C2C(=NC(=N1)SCCC(F)(F)F)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(C(P(=O)(O)O)(Cl)Cl)O)O)O,9854012
Cannabidiol,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O,644019
Cannabis Sativa,No InChI Key found,No SMILES found,No PubChem CID found
Canrenoic Acid,PBKZPPIHUVSDNM-WNHSNXHDSA-N,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC4(CCC(=O)O)O)C,656615
Capecitabine,GAGWJHPBXLXJQN-UORFTKCHSA-N,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,60953
Caplacizumab,No InChI Key found,No SMILES found,No PubChem CID found
Capreomycin,VCOPTHOUUNAYKQ-WBTCAYNUSA-N,CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCN=C(N2)N)CNC(=O)CC(CCCN)N.C1CN=C(NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N,3000502
Capsaicin,YKPUWZUDDOIDPM-SOFGYWHQSA-N,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,1548943
Capsella Bursa-Pastoris,No InChI Key found,No SMILES found,No PubChem CID found
Capsicum,No InChI Key found,No SMILES found,No PubChem CID found
Captopril,FAKRSMQSSFJEIM-RQJHMYQMSA-N,CC(CS)C(=O)N1CCCC1C(=O)O,44093
Carapichea Ipecacuanha,No InChI Key found,No SMILES found,No PubChem CID found
Carba Mixture,No InChI Key found,No SMILES found,No PubChem CID found
Carbachol,AIXAANGOTKPUOY-UHFFFAOYSA-N,C[N+](C)(C)CCOC(=O)N.[Cl-],5831
Carbamazepine,FFGPTBGBLSHEPO-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,2554
Carbaryl,CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)OC1=CC=CC2=CC=CC=C21,6129
Carbenicillin,FPPNZSSZRUTDAP-UWFZAAFLSA-N,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C,20824
Carbenoxolone,OBZHEBDUNPOCJG-WBXJDKIVSA-N,CC1(C2CCC3(C(C2(CCC1OC(=O)CCC(=O)O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,636403
Carbetocin,NSTRIRCPWQHTIA-DTRKZRJBSA-N,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSCCCC(=O)NC(C(=O)N1)CC2=CC=C(C=C2)OC)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,16681432
Carbidopa,TZFNLOMSOLWIDK-JTQLQIEISA-N,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,34359
Carbimazole,CFOYWRHIYXMDOT-UHFFFAOYSA-N,CCOC(=O)N1C=CN(C1=S)C,31072
Carbinoxamine,OJFSXZCBGQGRNV-UHFFFAOYSA-N,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2564
Carbocisteine,GBFLZEXEOZUWRN-VKHMYHEASA-N,C(C(C(=O)O)N)SCC(=O)O,193653
Carbomer,No InChI Key found,No SMILES found,No PubChem CID found
Carbon,OKTJSMMVPCPJKN-UHFFFAOYSA-N,[C],5462310
Carbon Dioxide,CURLTUGMZLYLDI-UHFFFAOYSA-N,C(=O)=O,280
Carboplatin,VSRXQHXAPYXROS-UHFFFAOYSA-N,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],426756
Carboprost,DLJKPYFALUEJCK-IIELGFQLSA-N,CCCCCC(C)(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,5281075
Carbuterol,KEMXXQOFIRIICG-UHFFFAOYSA-N,CC(C)(C)NCC(C1=CC(=C(C=C1)O)NC(=O)N)O,36976
Carfecillin,NZDASSHFKWDBBU-KVMCETHSSA-N,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC=CC=C4)C(=O)O)C,33672
Carfilzomib,BLMPQMFVWMYDKT-NZTKNTHTSA-N,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,11556711
Carglumic Acid,LCQLHJZYVOQKHU-VKHMYHEASA-N,C(CC(=O)O)C(C(=O)O)NC(=O)N,121396
Cariprazine,KPWSJANDNDDRMB-UHFFFAOYSA-N,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,11154555
Carisoprodol,OFZCIYFFPZCNJE-UHFFFAOYSA-N,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,2576
Carmellose,VJHCJDRQFCCTHL-UHFFFAOYSA-N,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O,24748
Carmustine,DLGOEMSEDOSKAD-UHFFFAOYSA-N,C(CCl)NC(=O)N(CCCl)N=O,2578
Carotuximab,No InChI Key found,No SMILES found,No PubChem CID found
Carteolol,LWAFSWPYPHEXKX-UHFFFAOYSA-N,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,2583
Carthamus,WLYGSPLCNKYESI-RSUQVHIMSA-N,C1=CC(=CC=C1C=CC(=O)C2=C(C(C(=C(C2=O)C=C3C(=O)C(=C(C(C3=O)(C4C(C(C(C(O4)CO)O)O)O)O)O)C(=O)C=CC5=CC=C(C=C5)O)O)(C6C(C(C(C(O6)CO)O)O)O)O)O)O,135565560
Carum,No InChI Key found,No SMILES found,No PubChem CID found
Carum Carvi,No InChI Key found,No SMILES found,No PubChem CID found
Carvedilol,OGHNVEJMJSYVRP-UHFFFAOYSA-N,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,2585
Casein,BECPQYXYKAMYBN-UHFFFAOYSA-N,CC(C)CC(C(=NC(CCC(=N)O)C(=NC(CC(=O)O)C(=NC(CCCCN)C(=O)O)O)O)O)N=C(C(CCC(=O)O)N=C(C(CC(=O)O)N=C(C(CCC(=O)O)N=C(C(C(C)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=O)O)N=C(C(CCC(=O)O)N=C(C(COP(=O)(O)O)N=C(C(CCC(=N)O)N=C(C(CC1=CC=CC=C1)N)O)O)O)O)O)O)O)O)O)O)O)O,73995022
Casirivimab,No InChI Key found,No SMILES found,No PubChem CID found
Caspofungin,JYIKNQVWKBUSNH-WVDDFWQHSA-N,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(CCN)O)O)NCCN)O,16119814
Catalase,No InChI Key found,No SMILES found,No PubChem CID found
Catechu,PFTAWBLQPZVEMU-DZGCQCFKSA-N,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064
Caulophyllum,No InChI Key found,No SMILES found,No PubChem CID found
Causticum,SNBXCWVOMQIJEH-UHFFFAOYSA-K,[OH-].[O-]S(=O)(=O)[O-].[K+].[Ca+2],73415827
Kaempferia,No InChI Key found,No SMILES found,No PubChem CID found
Kanamycin,SBUJHOSQTJFQJX-NOAMYHISSA-N,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,6032
Kaolin,No InChI Key found,No SMILES found,No PubChem CID found
Afamelanotide,UAHFGYDRQSXQEB-LEBBXHLNSA-N,CCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CN=CN1)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NCC(=O)NC(CCCCN)C(=O)N5CCCC5C(=O)NC(C(C)C)C(=O)N)NC(=O)C(CO)NC(=O)C(CC6=CC=C(C=C6)O)NC(=O)C(CO)NC(=O)C,16197727
Afatinib,ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,10184653
Aflibercept,No InChI Key found,No SMILES found,No PubChem CID found
Agomelatine,YJYPHIXNFHFHND-UHFFFAOYSA-N,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,82148
Agrimonia,No InChI Key found,No SMILES found,No PubChem CID found
Agropyron Repens,No InChI Key found,No SMILES found,No PubChem CID found
Ajmaline,CJDRUOGAGYHKKD-RQBLFBSQSA-N,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,6100671
Alanine,QNAYBMKLOCPYGJ-REOHCLBHSA-N,CC(C(=O)O)N,5950
Alathon Polyethylene Resin,No InChI Key found,No SMILES found,No PubChem CID found
Albendazole,HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,2082
Albumin,No InChI Key found,No SMILES found,No PubChem CID found
Alchemilla Vulgaris,No InChI Key found,No SMILES found,No PubChem CID found
Alclofenac,ARHWPKZXBHOEEE-UHFFFAOYSA-N,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,30951
Alclometasone,FJXOGVLKCZQRDN-PHCHRAKRSA-N,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl,5311000
Alcloxa,VTKMMWSAJLCWSM-UHFFFAOYSA-H,C1(C(=O)NC(=N1)[O-])NC(=O)N.[OH-].[OH-].[OH-].[OH-].[Al+3].[Al+3].[Cl-],136146352
Alectinib,KDGFLJKFZUIJMX-UHFFFAOYSA-N,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C,49806720
Alemtuzumab,No InChI Key found,No SMILES found,No PubChem CID found
Alendronic Acid,OGSPWJRAVKPPFI-UHFFFAOYSA-N,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,2088
Alexitol,No InChI Key found,No SMILES found,No PubChem CID found
Alfentanil,IDBPHNDTYPBSNI-UHFFFAOYSA-N,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,51263
Alfuzosin,WNMJYKCGWZFFKR-UHFFFAOYSA-N,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,2092
Alginic Acid,No InChI Key found,No SMILES found,No PubChem CID found
Alglucerase,No InChI Key found,No SMILES found,No PubChem CID found
Alglucosidase Alfa,No InChI Key found,No SMILES found,No PubChem CID found
Alirocumab,No InChI Key found,No SMILES found,No PubChem CID found
Aliskiren,UXOWGYHJODZGMF-QORCZRPOSA-N,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,5493444
Alitretinoin,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,449171
Allantoin,POJWUDADGALRAB-UHFFFAOYSA-N,C1(C(=O)NC(=O)N1)NC(=O)N,204
Allium Cepa,No InChI Key found,No SMILES found,No PubChem CID found
Allium Sativum,No InChI Key found,No SMILES found,No PubChem CID found
Allopurinol,OFCNXPDARWKPPY-UHFFFAOYSA-N,C1=NNC2=C1C(=O)NC=N2,135401907
Allyloestrenol,ATXHVCQZZJYMCF-XUDSTZEESA-N,CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34,235905
Almasilate,HZVVJJIYJKGMFL-UHFFFAOYSA-N,O.O[Si](=O)O.O[Si](=O)O.[Mg+2].[Al+3].[Al+3],156054
Almotriptan,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,123606
Alogliptin,ZSBOMTDTBDDKMP-OAHLLOKOSA-N,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N,11450633
Aloin,AFHJQYHRLPMKHU-OSYMLPPYSA-N,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO,12305761
Aloxiprin,MXCPYJZDGPQDRA-UHFFFAOYSA-N,CC(=O)OC1=CC=CC=C1C(=O)O.[O-2].[O-2].[O-2].[Al+3].[Al+3],71586929
Alpelisib,STUWGJZDJHPWGZ-LBPRGKRZSA-N,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,56649450
Alpha-1 Proteinase Inhibitor,No InChI Key found,No SMILES found,No PubChem CID found
Alpha-Amylcinnamaldehyde,HMKKIXGYKWDQSV-UHFFFAOYSA-N,CCCCCC(=CC1=CC=CC=C1)C=O,31209
Alpha-Pinene,GRWFGVWFFZKLTI-UHFFFAOYSA-N,CC1=CCC2CC1C2(C)C,6654
Alphadolone Acetate,QRJOQYLXZPQQMX-FWROMSNXSA-N,CC(=O)OCC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C,24733
Alphaxalone,DUHUCHOQIDJXAT-OLVMNOGESA-N,CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C,104845
Alprazolam,VREFGVBLTWBCJP-UHFFFAOYSA-N,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,2118
Alprostadil,GMVPRGQOIOIIMI-DWKJAMRDSA-N,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,5280723
Alseroxylon,GMRWGQCZJGVHKL-UHFFFAOYSA-N,C1C(O1)CCl.C(CNCCNCCNCCN)N,62816
Alteplase,No InChI Key found,No SMILES found,No PubChem CID found
Althaea,No InChI Key found,No SMILES found,No PubChem CID found
Altretamine,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,2123
Aluminium Chloride,VSCWAEJMTAWNJL-UHFFFAOYSA-K,[Al](Cl)(Cl)Cl,24012
Aluminium Chlorohydrate,No InChI Key found,No SMILES found,No PubChem CID found
Aluminium Glycinate,No InChI Key found,No SMILES found,No PubChem CID found
Aluminium Hydroxide,No InChI Key found,No SMILES found,No PubChem CID found
Aluminium Oxide,PNEYBMLMFCGWSK-UHFFFAOYSA-N,[O-2].[O-2].[O-2].[Al+3].[Al+3],9989226
Aluminium Sulphate,DIZPMCHEQGEION-UHFFFAOYSA-H,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3],24850
Alverine,ZPFXAOWNKLFJDN-UHFFFAOYSA-N,CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2,3678
Amantadine,DKNWSYNQZKUICI-UHFFFAOYSA-N,C1C2CC3CC1CC(C2)(C3)N,2130
Amatuximab,No InChI Key found,No SMILES found,No PubChem CID found
Ambrisentan,OUJTZYPIHDYQMC-LJQANCHMSA-N,CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C,6918493
Ambroxol,JBDGDEWWOUBZPM-UHFFFAOYSA-N,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,2132
Ambucetamide,WUSAVCGXMSWMQM-UHFFFAOYSA-N,CCCCN(CCCC)C(C1=CC=C(C=C1)OC)C(=O)N,10616
Ambutonium,KFZMXOLSYABOSE-UHFFFAOYSA-O,CC[N+](C)(C)CCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N,8277
Amidotrizoic Acid,YVPYQUNUQOZFHG-UHFFFAOYSA-N,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,2140
