inchi_key,atc_codes,chembl_id,drug_name
DJQOOSBJCLSSEY-UHFFFAOYSA-N,['C10AD06'],CHEMBL345714,Acipimox
IHUNBGSDBOWDMA-AQFIFDHZSA-N,['D05BB02'],CHEMBL1131,Acitretin
ASMXXROZKSBQIH-VITNCHFBSA-N,[],CHEMBL1194325,Aclidinium
PWACSDKDOHSSQD-IUTFFREVSA-N,['R06AX18'],CHEMBL1224,Acrivastine
XBPZXDSZHPDXQU-UHFFFAOYSA-N,['J01MB01'],CHEMBL291157,Acrosoxacin
MKUXAQIIEYXACX-UHFFFAOYSA-N,"['J05AB01', 'S01AD03', 'D06BB53', 'D06BB03']",CHEMBL184,Acyclovir
LZCDAPDGXCYOEH-UHFFFAOYSA-N,"['D10AD53', 'D10AD03']",CHEMBL1265,Adapalene
SUPKOOSCJHTBAH-UHFFFAOYSA-N,[],CHEMBL484,Adefovir
GFFGJBXGBJISGV-UHFFFAOYSA-N,[],CHEMBL226345,Adenine
OIRDTQYFTABQOQ-KQYNXXCUSA-N,['C01EB10'],CHEMBL477,Adenosine
PFOLLRNADZZWEX-FFGRCDKISA-N,['J01CA06'],CHEMBL1583,Bacampicillin
KPYSYYIEGFHWSV-UHFFFAOYSA-N,['M03BX01'],CHEMBL701,Baclofen
RZVPBGBYGMDSBG-GGAORHGYSA-N,['J05AX25'],CHEMBL4297503,Baloxavir Marboxil
IPOKCKJONYRRHP-UHFFFAOYSA-N,[],CHEMBL1208641,Balsalazide
ANZXOIAKUNOVQU-UHFFFAOYSA-N,['R03CC12'],CHEMBL521589,Bambuterol
VVUYEFBRTFASAH-UHFFFAOYSA-N,['R03DA08'],CHEMBL2110760,Bamifylline
XUZMWHLSFXCVMG-UHFFFAOYSA-N,['L04AA37'],CHEMBL2105759,Baricitinib
DSAJWYNOEDNPEQ-UHFFFAOYSA-N,[],CHEMBL4297653,Barium
UCJGJABZCDBEDK-UHFFFAOYSA-N,['G03XC02'],CHEMBL46740,Bazedoxifene
BMQGVNUXMIRLCK-OAGWZNDDSA-N,['L01CD04'],CHEMBL1201748,Cabazitaxel
KORNTPPJEAJQIU-KJXAQDMKSA-N,"['G02CB03', 'N04BC06']",CHEMBL1201087,Cabergoline
WCWSTNLSLKSJPK-LKFCYVNXSA-N,['J05AJ04'],CHEMBL2403238,Cabotegravir
ONIQOQHATWINJY-UHFFFAOYSA-N,['L01EX07'],CHEMBL2105717,Cabozantinib
RYYVLZVUVIJVGH-UHFFFAOYSA-N,"['N06BC01', 'D11AX26']",CHEMBL113,Caffeine
LWQQLNNNIPYSNX-UROSTWAQSA-N,"['D05AX02', 'D05AX52']",CHEMBL1200666,Calcipotriol
BBBFJLBPOGFECG-UHFFFAOYSA-N,[],,Calcitonin
OYPRJOBELJOOCE-UHFFFAOYSA-N,[],,Calcium
WUKWITHWXAAZEY-UHFFFAOYSA-L,[],,Calcium Fluoride
AJBZENLMTKDAEK-UHFFFAOYSA-N,[],,Calendula
CRPUJAZIXJMDBK-UHFFFAOYSA-N,[],CHEMBL2268550,Camphene
DSSYKIVIOFKYAU-UHFFFAOYSA-N,[],CHEMBL15768,Camphor
VSJKWCGYPAHWDS-FQEVSTJZSA-N,[],CHEMBL65,Camptothecin
XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,[],CHEMBL2048484,Canagliflozin
HTQMVQVXFRQIKW-UHFFFAOYSA-N,['C09CA06'],CHEMBL1016,Candesartan
PAEBIVWUMLRPSK-IDTAVKCVSA-N,['B01AC25'],CHEMBL334966,Cangrelor
QHMBSVQNZZTUGM-ZWKOTPCHSA-N,['N03AX24'],CHEMBL190461,Cannabidiol
PBKZPPIHUVSDNM-WNHSNXHDSA-N,[],CHEMBL1616951,Canrenoic Acid
GAGWJHPBXLXJQN-UORFTKCHSA-N,['L01BC06'],CHEMBL1773,Capecitabine
VCOPTHOUUNAYKQ-WBTCAYNUSA-N,[],,Capreomycin
YKPUWZUDDOIDPM-SOFGYWHQSA-N,"['N01BX04', 'M02AB01']",CHEMBL294199,Capsaicin
FAKRSMQSSFJEIM-RQJHMYQMSA-N,['C09AA01'],CHEMBL1560,Captopril
AIXAANGOTKPUOY-UHFFFAOYSA-N,"['N07AB01', 'S01EB02']",CHEMBL14,Carbachol
FFGPTBGBLSHEPO-UHFFFAOYSA-N,['N03AF01'],CHEMBL108,Carbamazepine
CVXBEEMKQHEXEN-UHFFFAOYSA-N,[],CHEMBL46917,Carbaryl
FPPNZSSZRUTDAP-UWFZAAFLSA-N,['J01CA03'],CHEMBL1214,Carbenicillin
OBZHEBDUNPOCJG-WBXJDKIVSA-N,"['A02BX51', 'A02BX01', 'A02BX71']",CHEMBL499915,Carbenoxolone
NSTRIRCPWQHTIA-DTRKZRJBSA-N,['H01BB03'],CHEMBL3301668,Carbetocin
TZFNLOMSOLWIDK-JTQLQIEISA-N,[],CHEMBL1201236,Carbidopa
CFOYWRHIYXMDOT-UHFFFAOYSA-N,['H03BB01'],CHEMBL508102,Carbimazole
OJFSXZCBGQGRNV-UHFFFAOYSA-N,['R06AA08'],CHEMBL864,Carbinoxamine
GBFLZEXEOZUWRN-VKHMYHEASA-N,['R05CB03'],CHEMBL396416,Carbocisteine
OKTJSMMVPCPJKN-UHFFFAOYSA-N,"['A07BA01', 'A07BA51']",CHEMBL2106049,Carbon
CURLTUGMZLYLDI-UHFFFAOYSA-N,['V03AN02'],CHEMBL1231871,Carbon Dioxide
VSRXQHXAPYXROS-UHFFFAOYSA-N,[],,Carboplatin
DLJKPYFALUEJCK-IIELGFQLSA-N,['G02AD04'],CHEMBL1237122,Carboprost
KEMXXQOFIRIICG-UHFFFAOYSA-N,"['R03CC10', 'R03AC10']",CHEMBL2110780,Carbuterol
NZDASSHFKWDBBU-KVMCETHSSA-N,['G01AA08'],CHEMBL1095283,Carfecillin
BLMPQMFVWMYDKT-NZTKNTHTSA-N,['L01XG02'],CHEMBL451887,Carfilzomib
LCQLHJZYVOQKHU-VKHMYHEASA-N,['A16AA05'],CHEMBL1201780,Carglumic Acid
KPWSJANDNDDRMB-UHFFFAOYSA-N,[],,Cariprazine
OFZCIYFFPZCNJE-UHFFFAOYSA-N,"['M03BA72', 'M03BA02', 'M03BA52']",CHEMBL1233,Carisoprodol
VJHCJDRQFCCTHL-UHFFFAOYSA-N,[],,Carmellose
DLGOEMSEDOSKAD-UHFFFAOYSA-N,['L01AD01'],CHEMBL513,Carmustine
LWAFSWPYPHEXKX-UHFFFAOYSA-N,"['S01ED05', 'C07AA15', 'S01ED55']",CHEMBL839,Carteolol
WLYGSPLCNKYESI-RSUQVHIMSA-N,[],,Carthamus
OGHNVEJMJSYVRP-UHFFFAOYSA-N,['C07AG02'],CHEMBL723,Carvedilol
BECPQYXYKAMYBN-UHFFFAOYSA-N,[],,Casein
JYIKNQVWKBUSNH-WVDDFWQHSA-N,['J02AX04'],CHEMBL1630575,Caspofungin
PFTAWBLQPZVEMU-DZGCQCFKSA-N,[],CHEMBL311498,Catechu
SNBXCWVOMQIJEH-UHFFFAOYSA-K,[],,Causticum
SBUJHOSQTJFQJX-NOAMYHISSA-N,"['J01GB04', 'S01AA24', 'A07AA08']",CHEMBL1384,Kanamycin
UAHFGYDRQSXQEB-LEBBXHLNSA-N,['D02BB02'],CHEMBL441738,Afamelanotide
ULXXDDBFHOBEHA-CWDCEQMOSA-N,['L01EB03'],CHEMBL1173655,Afatinib
YJYPHIXNFHFHND-UHFFFAOYSA-N,['N06AX22'],CHEMBL10878,Agomelatine
CJDRUOGAGYHKKD-RQBLFBSQSA-N,[],,Ajmaline
QNAYBMKLOCPYGJ-REOHCLBHSA-N,[],CHEMBL279597,Alanine
HXHWSAZORRCQMX-UHFFFAOYSA-N,['P02CA03'],CHEMBL1483,Albendazole
ARHWPKZXBHOEEE-UHFFFAOYSA-N,['M01AB06'],CHEMBL94081,Alclofenac
FJXOGVLKCZQRDN-PHCHRAKRSA-N,[],CHEMBL1201361,Alclometasone
VTKMMWSAJLCWSM-UHFFFAOYSA-H,[],,Alcloxa
KDGFLJKFZUIJMX-UHFFFAOYSA-N,['L01ED03'],CHEMBL1738797,Alectinib
OGSPWJRAVKPPFI-UHFFFAOYSA-N,['M05BA04'],CHEMBL870,Alendronic Acid
IDBPHNDTYPBSNI-UHFFFAOYSA-N,['N01AH02'],CHEMBL634,Alfentanil
WNMJYKCGWZFFKR-UHFFFAOYSA-N,['G04CA01'],CHEMBL709,Alfuzosin
UXOWGYHJODZGMF-QORCZRPOSA-N,['C09XA02'],CHEMBL1639,Aliskiren
SHGAZHPCJJPHSC-ZVCIMWCZSA-N,"['D11AH04', 'L01XF02']",CHEMBL705,Alitretinoin
POJWUDADGALRAB-UHFFFAOYSA-N,[],CHEMBL593429,Allantoin
OFCNXPDARWKPPY-UHFFFAOYSA-N,"['M04AA01', 'M04AA51']",CHEMBL1467,Allopurinol
ATXHVCQZZJYMCF-XUDSTZEESA-N,[],CHEMBL3185133,Allyloestrenol
HZVVJJIYJKGMFL-UHFFFAOYSA-N,[],,Almasilate
WKEMJKQOLOHJLZ-UHFFFAOYSA-N,['N02CC05'],CHEMBL1505,Almotriptan
ZSBOMTDTBDDKMP-OAHLLOKOSA-N,['A10BH04'],CHEMBL376359,Alogliptin
AFHJQYHRLPMKHU-OSYMLPPYSA-N,[],CHEMBL2103763,Aloin
MXCPYJZDGPQDRA-UHFFFAOYSA-N,[],,Aloxiprin
STUWGJZDJHPWGZ-LBPRGKRZSA-N,['L01EM03'],CHEMBL2396661,Alpelisib
HMKKIXGYKWDQSV-UHFFFAOYSA-N,[],CHEMBL3183519,Alpha-Amylcinnamaldehyde
GRWFGVWFFZKLTI-UHFFFAOYSA-N,[],CHEMBL442565,Alpha-Pinene
QRJOQYLXZPQQMX-FWROMSNXSA-N,[],CHEMBL1874407,Alphadolone Acetate
DUHUCHOQIDJXAT-OLVMNOGESA-N,['N01AX05'],CHEMBL190279,Alphaxalone
VREFGVBLTWBCJP-UHFFFAOYSA-N,['N05BA12'],CHEMBL661,Alprazolam
GMVPRGQOIOIIMI-DWKJAMRDSA-N,"['G04BE01', 'C01EA01']",CHEMBL495,Alprostadil
GMRWGQCZJGVHKL-UHFFFAOYSA-N,[],,Alseroxylon
UUVWYPNAQBNQJQ-UHFFFAOYSA-N,['L01XX03'],CHEMBL1455,Altretamine
VSCWAEJMTAWNJL-UHFFFAOYSA-K,[],CHEMBL3833401,Aluminium Chloride
PNEYBMLMFCGWSK-UHFFFAOYSA-N,[],,Aluminium Oxide
DIZPMCHEQGEION-UHFFFAOYSA-H,[],CHEMBL3833402,Aluminium Sulphate
ZPFXAOWNKLFJDN-UHFFFAOYSA-N,"['A03AX58', 'A03AX08']",CHEMBL253371,Alverine
DKNWSYNQZKUICI-UHFFFAOYSA-N,['N04BB01'],CHEMBL660,Amantadine
OUJTZYPIHDYQMC-LJQANCHMSA-N,['C02KX02'],CHEMBL1111,Ambrisentan
JBDGDEWWOUBZPM-UHFFFAOYSA-N,[],CHEMBL1477775,Ambroxol
WUSAVCGXMSWMQM-UHFFFAOYSA-N,[],CHEMBL2104638,Ambucetamide
KFZMXOLSYABOSE-UHFFFAOYSA-O,[],CHEMBL2110771,Ambutonium
YVPYQUNUQOZFHG-UHFFFAOYSA-N,['V08AA01'],CHEMBL1201220,Amidotrizoic Acid
OYTKINVCDFNREN-UHFFFAOYSA-N,['N07XX05'],CHEMBL354077,Amifampridine
JKOQGQFVAUAYPM-UHFFFAOYSA-N,['V03AF05'],CHEMBL1006,Amifostine
LKCWBDHBTVXHDL-RMDFUYIESA-N,"['S01AA21', 'D06AX12', 'J01GB06']",CHEMBL177,Amikacin
XSDQTOBWRPYKKA-UHFFFAOYSA-N,['C03DB01'],CHEMBL945,Amiloride
XJGFWWJLMVZSIG-UHFFFAOYSA-N,['D08AA02'],CHEMBL43184,Aminoacridine
ALYNCZNDIQEVRV-UHFFFAOYSA-N,['D02BA01'],CHEMBL542,Aminobenzoic Acid
SLXKOJJOQWFEFD-UHFFFAOYSA-N,['B02AA01'],CHEMBL1046,Aminocaproic Acid
ROBVIMPUHSLWNV-UHFFFAOYSA-N,['L02BG01'],CHEMBL488,Aminoglutethimide
HSMNQINEKMPTIC-UHFFFAOYSA-N,['V04CH30'],CHEMBL463,Aminohippuric Acid
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,['L01XD04'],CHEMBL601,Aminolevulinic Acid
FQPFAHBPWDRTLU-UHFFFAOYSA-N,"['R03DA55', 'R03DA05']",CHEMBL1370561,Aminophylline
IYIKLHRQXLHMJQ-UHFFFAOYSA-N,['C01BD01'],CHEMBL633,Amiodarone
UPOYFZYFGWBUKL-UHFFFAOYSA-N,[],CHEMBL1514085,Amiphenazole
NTJOBXMMWNYJFB-UHFFFAOYSA-N,['N05AL05'],CHEMBL243712,Amisulpride
KRMDCWKBEZIMAB-UHFFFAOYSA-N,['N06AA09'],CHEMBL629,Amitriptyline
HTIQEAQVCYTUBX-UHFFFAOYSA-N,['C08CA01'],CHEMBL1491,Amlodipine
QGZKDVFQNNGYKY-UHFFFAOYSA-N,[],CHEMBL1160819,Ammonia
ATRRKUHOCOJYRX-UHFFFAOYSA-N,[],,Ammonium Bicarbonate
PRKQVKDSMLBJBJ-UHFFFAOYSA-N,[],CHEMBL2105849,Ammonium Carbonate
NLXLAEXVIDQMFP-UHFFFAOYSA-N,"['B05XA04', 'G04BA01']",CHEMBL1200939,Ammonium Chloride
MQHLMHIZUIDKOO-AYHJJNSGSA-N,['D01AE16'],CHEMBL489411,Amorolfine
QWGDMFLQWFTERH-UHFFFAOYSA-N,['N06AA17'],CHEMBL1113,Amoxapine
LSQZJLSUYDQPKJ-NJBDSQKTSA-N,['J01CA04'],CHEMBL1082,Amoxycillin
APKFDSVGJQXUKY-INPOYWNPSA-N,"['J02AA01', 'A01AB04', 'A07AA07', 'G01AA03']",CHEMBL267345,Amphotericin B
AVKUERGKIZMTKX-NJBDSQKTSA-N,"['J01CA01', 'J01CA51', 'S01AA19']",CHEMBL174,Ampicillin
YMARZQAQMVYCKC-OEMFJLHTSA-N,['J05AE05'],CHEMBL116,Amprenavir
XCPGHVQEEXUHNC-UHFFFAOYSA-N,['L01XX01'],CHEMBL43,Amsacrine
CSDTZUBPSYWZDX-UHFFFAOYSA-N,[],CHEMBL3188202,Amyl Nitrite
CKGWFZQGEQJZIL-UHFFFAOYSA-N,[],CHEMBL1512677,Amylmetacresol
VIROVYVQCGLCII-UHFFFAOYSA-N,['N05CA02'],CHEMBL267894,Amylobarbitone
FDMBBCOBEAVDAO-UHFFFAOYSA-N,[],CHEMBL1740065,Amylocaine
OTBXOEAOVRKTNQ-UHFFFAOYSA-N,['L01XX35'],CHEMBL760,Anagrelide
YBBLVLTVTVSKRW-UHFFFAOYSA-N,['L02BG03'],CHEMBL1399,Anastrozole
JHVAMHSQVVQIOT-MFAJLEFUSA-N,['J02AX06'],CHEMBL264241,Anidulafungin
REYFJDPCWQRWAA-UHFFFAOYSA-N,"['R01AC04', 'R06AX05']",CHEMBL1305,Antazoline
HJBWBFZLDZWPHF-UHFFFAOYSA-N,['L02BB05'],CHEMBL3183409,Apalutamide
WPEWQEMJFLWMLV-UHFFFAOYSA-N,[],CHEMBL3186534,Apatinib
QNZCBYKSOIHPEH-UHFFFAOYSA-N,['B01AF02'],CHEMBL231779,Apixaban
VMWNQDUVQKEIOC-CYBMUJFWSA-N,"['N04BC07', 'G04BE07']",CHEMBL53,Apomorphine
IEJXVRYNEISIKR-UHFFFAOYSA-N,['S01EA03'],CHEMBL647,Apraclonidine
IMOZEMNVLZVGJZ-QGZVFWFLSA-N,['L04AA32'],CHEMBL514800,Apremilast
ATALOFNDEOCMKK-OITMNORJSA-N,['A04AD12'],CHEMBL1471,Aprepitant
ZPNFWUPYTFPOJU-UHFFFAOYSA-N,[],,Aprotinin
IIRWWTKISYTTBL-SFHVURJKSA-N,['C01CA22'],CHEMBL1201251,Arbutamine
XOJVHLIYNSOZOO-SWOBOCGESA-N,[],CHEMBL388452,Arctium
KXNPVXPOPUZYGB-IOVMHBDKSA-N,['B01AE03'],CHEMBL1166,Argatroban
ODKSFYDXXFIFQN-BYPYZUCNSA-N,[],CHEMBL1485,Arginine
KBZOIRJILGZLEJ-LGYYRGKSSA-N,[],CHEMBL373742,Argipressin
CEUORZQYGODEFX-UHFFFAOYSA-N,['N05AX12'],CHEMBL1112,Aripiprazole
QTLQKAJBUDWPIB-UHFFFAOYSA-N,[],,Arsenic Trioxide
SXYIRMFQILZOAM-HVNFFKDJSA-N,['P01BE02'],CHEMBL566534,Artemether
BJDCWCLMFKKGEE-ISOSDAIHSA-N,[],CHEMBL307261,Artenimol
QTGIAADRBBLJGA-UHFFFAOYSA-N,"['N01BB58', 'N01BB08']",CHEMBL1093,Articaine
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,"['G01AD03', 'A11GA01', 'S01XA15']",CHEMBL196,Ascorbic Acid
VSWBSWWIRNCQIJ-GJZGRUSLSA-N,[],CHEMBL1201756,Asenapine
DCXYFEDJOCDNAF-REOHCLBHSA-N,[],CHEMBL58832,Asparagine
CKLJMWTZIZZHCS-REOHCLBHSA-N,[],CHEMBL274323,Aspartic Acid
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,"['B01AC06', 'N02BA01', 'N02BA51', 'A01AD05', 'N02BA71']",CHEMBL25,Aspirin
GXDALQBWZGODGZ-UHFFFAOYSA-N,['R06AX11'],CHEMBL296419,Astemizole
OOUGLTULBSNHNF-UHFFFAOYSA-N,['M09AX03'],CHEMBL256997,Ataluren
AXRYRYVKAWYZBR-GASGPIRDSA-N,['J05AE08'],CHEMBL1163,Atazanavir
METKIMKYRPQLGS-UHFFFAOYSA-N,['C07AB03'],CHEMBL24,Atenolol
QIVUCLWGARAQIO-OLIXTKCUSA-N,['N02CD07'],CHEMBL3991065,Atogepant
VHGCDTVCOLNTBX-QGZVFWFLSA-N,['N06BA09'],CHEMBL641,Atomoxetine
XUKUURHRXDUEBC-KAYWLYCHSA-N,['C10AA05'],CHEMBL1487,Atorvastatin
VWXRQYYUEIYXCZ-OBIMUBPZSA-N,['G02CX01'],CHEMBL382301,Atosiban
BSJMWHQBCZFXBR-UHFFFAOYSA-N,[],CHEMBL222334,Atovaquone
YXSLJKQTIDHPOT-UHFFFAOYSA-N,['M03AC04'],CHEMBL1360,Atracurium
RKUNBYITZUJHSG-PJPHBNEVSA-N,[],CHEMBL254656,Atropine
WEAJZXNPAWBCOA-INIZCTEOSA-N,['G04BE10'],CHEMBL1963681,Avanafil
DWYRIWUZIJHQKQ-SANMLTNESA-N,['L01EX18'],CHEMBL4204794,Avapritinib
OFZJKCQENFPZBH-UHFFFAOYSA-N,['B02BX08'],CHEMBL2103883,Avatrombopag
NDCUAPJVLWFHHB-UHNVWZDZSA-N,[],CHEMBL1689063,Avibactam
VBUWHHLIZKOSMS-RIWXPGAOSA-N,[],CHEMBL1981592,Aviptadil
RITAVMQDGBJQJZ-FMIVXFBMSA-N,['L01EK01'],CHEMBL1289926,Axitinib
NMUSYJAQQFHJEW-KVTDHHQDSA-N,['L01BC07'],CHEMBL1489,Azacitidine
SEBMTIQKRHYNIT-UHFFFAOYSA-N,['R06AX09'],CHEMBL946,Azatadine
LMEKQMALGUDUQG-UHFFFAOYSA-N,['L04AX01'],CHEMBL1542,Azathioprine
BDJRBEYXGGNYIS-UHFFFAOYSA-N,['D10AX03'],CHEMBL1238,Azelaic Acid
MBUVEWMHONZEQD-UHFFFAOYSA-N,"['R01AC03', 'R06AX19', 'S01GX07']",CHEMBL639,Azelastine
QJFSABGVXDWMIW-UHFFFAOYSA-N,['C09CA09'],CHEMBL2028661,Azilsartan Medoxomil
MQTOSJVFKKJCRP-BICOPXKESA-N,"['J01FA10', 'S01AA26']",CHEMBL529,Azithromycin
WZPBZJONDBGPKJ-VEHQQRBSSA-N,['J01DF01'],CHEMBL158,Aztreonam
NBMKJKDGKREAPL-DVTGEIKXSA-N,[],CHEMBL1586,Beclometasone
QUIJNHUBAXPXFS-XLJNKUFUSA-N,['J04AK05'],CHEMBL376488,Bedaquiline
GKHIVNAUVKXIIY-UHFFFAOYSA-N,['L04AA48'],CHEMBL2005186,Belumosudil
LOMMPXLFBTZENJ-ZACQAIPSSA-N,['L01XX74'],CHEMBL4585668,Belzutifan
HTTJABKRGRZYRN-UHFFFAOYSA-N,[],,Bemiparin
HYHMLYSLQUKXKP-UHFFFAOYSA-N,['C10AX15'],CHEMBL3545313,Bempedoic Acid
YTKUWDBFDASYHO-UHFFFAOYSA-N,['L01AA09'],CHEMBL487253,Bendamustine
HDWIHXWEUNVBIY-UHFFFAOYSA-N,['C03AA01'],CHEMBL1684,Bendrofluazide
JAQPGQYDZJZOIN-LQDWTQKMSA-N,[],CHEMBL2107679,Benethamine Penicillin
FEJKLNWAOXSSNR-UHFFFAOYSA-N,['N02BA10'],CHEMBL162036,Benorylate
FEBOTPHFXYHVPL-UHFFFAOYSA-N,['N05AD07'],CHEMBL297302,Benperidol
BNQDCRGUHNALGH-UHFFFAOYSA-N,[],CHEMBL1096979,Benserazide
VVZBFOKBSDGVGZ-UHFFFAOYSA-N,"['D08AJ01', 'R02AA16', 'D09AA11']",CHEMBL1187417,Benzalkonium
WHQCHUCQKNIQEC-UHFFFAOYSA-N,['M04AB03'],CHEMBL388590,Benzbromarone
HWHLPVGTWGOCJO-UHFFFAOYSA-N,['N04AA01'],CHEMBL1490,Benzhexol
BLFLLBZGZJTVJG-UHFFFAOYSA-N,"['D04AB04', 'C05AD03', 'N01BA05', 'R02AD01']",CHEMBL278172,Benzocaine
WPYMKLBDIGXBTP-UHFFFAOYSA-N,[],CHEMBL541,Benzoic Acid
OMPJBNCRMGITSC-UHFFFAOYSA-N,"['D10AE01', 'D10AE51']",CHEMBL1200370,Benzoyl Peroxide
NDTSRXAMMQDVSW-UHFFFAOYSA-N,[],CHEMBL1201039,Benzthiazide
GIJXKZJWITVLHI-YOFSQIOKSA-N,[],CHEMBL438151,Benztropine
CNBGNNVCVSKAQZ-UHFFFAOYSA-N,"['G02CC03', 'M01AX07', 'M02AA05', 'A01AD02', 'R02AX03']",CHEMBL12610,Benzydamine
WVDDGKGOMKODPV-UHFFFAOYSA-N,['P03AX06'],CHEMBL720,Benzyl Alcohol
SESFRYSPDFLNCH-UHFFFAOYSA-N,['P03AX01'],CHEMBL1239,Benzyl Benzoate
NGHOLYJTSCBCGC-VAWYXSNFSA-N,[],CHEMBL361197,Benzyl Cinnamate
MOZDKDIOPSPTBH-UHFFFAOYSA-N,[],CHEMBL447861,Benzyl Hydroxybenzoate
KVYGGMBOZFWZBQ-UHFFFAOYSA-N,[],CHEMBL209744,Benzyl Nicotinate
JGSARLDLIJGVTE-MBNYWOFBSA-N,"['J01CE01', 'S01AA14']",CHEMBL29,Benzylpenicillin
UXNXMBYCBRBRFD-MUUNZHRXSA-N,[],CHEMBL5189739,Berotralstat
OENHQHLEOONYIE-JLTXGRSLSA-N,"['D02BB01', 'A11CA02']",CHEMBL1293,Beta Carotene
UCMIRNVEIXFBKS-UHFFFAOYSA-N,[],CHEMBL297569,Beta-Alanine
UUQMNUMQCIQDMZ-UHFFFAOYSA-N,['N07CA01'],CHEMBL24441,Betahistine
KWIUHFFTVRNATP-UHFFFAOYSA-N,[],CHEMBL1182,Betaine
UREBDLICKHMUKA-DVTGEIKXSA-N,"['D07AC01', 'D07XC01', 'H02AB01', 'S02BA07', 'S01CB04', 'S03BA03', 'R03BA04', 'S01BA06', 'A07EA04', 'R01AD06', 'C05AA05']",CHEMBL632,Betamethasone
NWIUTZDMDHAVTP-UHFFFAOYSA-N,"['S01ED52', 'C07AB05', 'S01ED02']",CHEMBL423,Betaxolol
NZUPCNDJBJXXRF-UHFFFAOYSA-O,['N07AB02'],CHEMBL1482,Bethanechol
NIVZHWNOUVJHKV-UHFFFAOYSA-N,['C02CC01'],CHEMBL1201260,Bethanidine
VDPYMEBVIDZKMD-UHFFFAOYSA-N,[],CHEMBL3183117,Betiatide
OSWPMRLSEDHDFF-UHFFFAOYSA-N,[],CHEMBL108545,Betula
NAVMQTYZDKMPEU-UHFFFAOYSA-N,['L01XF03'],CHEMBL1023,Bexarotene
IIBYAHWJQTYFKB-UHFFFAOYSA-N,['C10AB02'],CHEMBL264374,Bezafibrate
LKJPYSCBVHEWIU-UHFFFAOYSA-N,['L02BB03'],CHEMBL409,Bicalutamide
SOLUWJRYJLAZCX-LYOVBCGYSA-N,[],CHEMBL3989866,Bictegravir
OCAPBUJLXMYKEJ-UHFFFAOYSA-N,"['D01AC10', 'D01AC60']",CHEMBL277535,Bifonazole
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,"['R06AX29', 'S01GX13']",CHEMBL1742423,Bilastine
AQOKCDNYWBIDND-FTOWTWDKSA-N,['S01EE03'],CHEMBL1200963,Bimatoprost
ACWZRVQXLIRSDF-UHFFFAOYSA-N,['L01EE03'],CHEMBL3187723,Binimetinib
YBJHBAHKTGYVGT-ZKWXMUAHSA-N,['A11HA05'],CHEMBL857,Biotin
YSXKPIUOCJLQIE-UHFFFAOYSA-N,['N04AA02'],CHEMBL1101,Biperiden
KHOITXIGCFIULA-UHFFFAOYSA-N,"['A06AB02', 'A06AG02', 'A06AB52']",CHEMBL942,Bisacodyl
JCXGWMGPZLAOME-UHFFFAOYSA-N,[],,Bismuth
VHYCDWMUTMEGQY-UHFFFAOYSA-N,['C07AB07'],CHEMBL645,Bisoprolol
OIRCOABEOLEUMC-GEJPAHFPSA-N,[],,Bivalirudin
OYVAGSVQBOHSSS-WXFSZRTFSA-O,[],,Bleomycin
