DDPD-ID,Drug-Name,SMILES,Molecular Weight (g/mol),C-Max Value (ng/ml),C-Max Unit,C-Max Raw Value,C-Max Annotation,C-Max (nM)
DDPD00196,Fluconazole,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,306.2708,10600.0,ng/ml,10.6±0.4,"PO, oral; adults; normal,healthy;",34609.89
DDPD00198,Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,312.4045,65.0,ng/ml,65.0,"Capsule, PO, Oral; food;",208.06
DDPD00198,Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,312.4045,348.0,ng/ml,348.0,"Capsule, PO, Oral; food; Active metabolite;",1113.94
DDPD00199,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,733.9268,1.8,ng/ml,1.8,"PO, oral;",2.45
DDPD00199,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,733.9268,2200.0,ng/ml,0.9-3.5,"PO, oral; extended release formulation;",2997.57
DDPD00199,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,733.9268,950.0,ng/ml,0.5-1.4,"Tablet, PO, oral;",1294.41
DDPD00201,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,194.1906,8000.0,ng/ml,6-10,"PO, oral;",41196.64
DDPD00203,Sildenafil,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,474.576,212.0,ng/ml,212±59,,446.71
DDPD00204,Dofetilide,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,441.565,2.3,ng/ml,2.3±1.1,"Oral single dose; Male, men; adults; normal,healthy;",5.21
DDPD00207,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,748.9845,400.0,ng/ml,0.4,"PO, oral; adults; patients;",534.06
DDPD00210,Adapalene,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,412.5201,0.553,ng/ml,0.553±0.466,skin/dermal;,1.34
DDPD00213,Pantoprazole,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,383.37,2.5,ng/ml,~2.5,Oral single dose; food;,6.52
DDPD00215,Citalopram,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,324.3919,50.0,ng/ml,50±9,Oral single dose; Drug form;,154.13
DDPD00215,Citalopram,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,324.3919,21.0,ng/ml,21±4,Oral single dose; Drug form;,64.74
DDPD00218,Moxifloxacin,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,401.4314,2500.0,ng/ml,2.5±1.3,"Oral single dose; Male, men; adults; normal,healthy;",6227.71
DDPD00220,Nelfinavir,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,567.782,3200.0,ng/ml,3.2±1.2,"adults; AIDS,HIV;",5635.97
DDPD00222,Glimepiride,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,490.62,359.0,ng/ml,359±98,Oral single dose;,731.73
DDPD00227,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,404.5396,3.013,ng/ml,3.013,,7.45
DDPD00227,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,404.5396,2.535,ng/ml,1.04-4.03,"PO, oral;",6.27
DDPD00227,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,404.5396,41.0,ngEq/ml,41±6,"PO, oral; Active metabolite;",101.35
DDPD00227,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,404.5396,50.0,ngEq/ml,50±8,"PO, oral; Active metabolite;",123.60
DDPD00231,Temazepam,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,300.74,824.0,ng/ml,666-982,,2739.91
DDPD00231,Temazepam,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,300.74,865.0,ng/ml,865.0,,2876.24
DDPD00238,Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,266.2979,2000.0,ng/ml,2±0.4,"PO, oral;",7510.39
DDPD00238,Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,266.2979,2000.0,ng/ml,2±0.4,"Oral single dose; adults; AIDS,HIV;",7510.39
DDPD00238,Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,266.2979,4500.0,ng/ml,4.5±1.9,"Oral multiple dose; adults; AIDS,HIV;",16898.37
DDPD00241,Butalbital,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,224.2563,2100.0,ng/ml,2.1,"PO, oral;",9364.29
DDPD00245,Benzatropine,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,307.4293,2.5,ng/ml,2.5,"PO, oral;",8.13
DDPD00246,Ziprasidone,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,412.936,68.0,ng/ml,68±20,"PO, oral;",164.67
DDPD00246,Ziprasidone,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,412.936,156.0,ng/ml,156.0,,377.78
DDPD00250,Dapsone,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,248.301,1600.0,ng/ml,1.6±0.4,"Oral single dose; adults; normal,healthy;",6443.79
DDPD00250,Dapsone,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,248.301,3300.0,ng/ml,3.3,"Oral multiple dose; adults; normal,healthy;",13290.32
DDPD00252,Phenytoin,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,252.268,675.0,ng/ml,0-5(27%),"Capsule, PO, Oral;",2675.73
DDPD00252,Phenytoin,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,252.268,2250.0,ng/ml,5-10(30%),"Capsule, PO, Oral;",8919.09
DDPD00252,Phenytoin,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,252.268,4350.0,ng/ml,10-20(29%),"Capsule, PO, Oral;",17243.57
DDPD00252,Phenytoin,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,252.268,2500.0,ng/ml,20-30(10%),"Capsule, PO, Oral;",9910.10
DDPD00254,Doxycycline,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,444.4346,2600.0,ng/ml,2.6,Oral single dose;,5850.13
DDPD00254,Doxycycline,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,444.4346,1850.0,ng/ml,1.7-2,"PO, oral; adults;",4162.59
DDPD00254,Doxycycline,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,444.4346,2800.0,ng/ml,2.8,adults;,6300.14
DDPD00256,Lymecycline,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C,602.6328,2100.0,ng/ml,2.1,"PO, oral;",3484.71
DDPD00264,Metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,267.3639,99.0,ng/ml,99±53,"PO, oral; extensive metabolizers, EM;",370.28
DDPD00264,Metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,267.3639,262.0,ng/ml,262±29,"PO, oral; poor metabolizers, PM;",979.94
DDPD00268,Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,260.3746,7.4,ng/ml,7.4(2.4-13),"PO, oral; Parkinson;",28.42
DDPD00273,Topiramate,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,339.362,15215.0,ng/ml,1.73-28.7,"PO, oral;",44834.13
DDPD00273,Topiramate,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,339.362,5500.0,ng/ml,5.5±0.6,"PO, oral; adults; normal,healthy; epilepsy;",16206.88
DDPD00275,Olmesartan,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,446.5016,1160.0,ng/ml,0.22-2.1,"PO, oral;",2597.98
DDPD00277,Theophylline,CN1C2=C(NC=N2)C(=O)N(C)C1=O,180.164,7900.0,ng/ml,7.9±0.6,"PO, oral; Drug form; adults; normal,healthy;",43848.94
DDPD00277,Theophylline,CN1C2=C(NC=N2)C(=O)N(C)C1=O,180.164,15000.0,ng/ml,15±2.8,"PO, oral; Drug form; adults; normal,healthy;",83257.48
DDPD00277,Theophylline,CN1C2=C(NC=N2)C(=O)N(C)C1=O,180.164,14000.0,ng/ml,14±3.7,"PO, oral; Drug form; adults; normal,healthy;",77706.98
DDPD00279,Liothyronine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,650.9735,34600.0,ng/ml,346.0,Oral multiple dose;,53151.17
DDPD00281,Lidocaine,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,234.3373,3500.0,ng/ml,2-5,,14935.74
DDPD00282,Pamidronic acid,NCCC(O)(P(O)(O)=O)P(O)(O)=O,235.0695,1920.0,ng/ml,1.92±1.08,"normal,healthy;",8167.80
DDPD00282,Pamidronic acid,NCCC(O)(P(O)(O)=O)P(O)(O)=O,235.0695,1860.0,ng/ml,1.86±0.50,mild renal function;,7912.55
DDPD00282,Pamidronic acid,NCCC(O)(P(O)(O)=O)P(O)(O)=O,235.0695,1840.0,ng/ml,1.84±0.58,moderate renal function;,7827.47
DDPD00282,Pamidronic acid,NCCC(O)(P(O)(O)=O)P(O)(O)=O,235.0695,1930.0,ng/ml,1.93±0.53,severe renal function;,8210.34
DDPD00285,Venlafaxine,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,277.4018,167.0,ng/ml,167±55,"PO, oral; immediate release formulation; adults; normal,healthy;",602.01
DDPD00285,Venlafaxine,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,277.4018,397.0,ng/ml,397±81,"PO, oral; Active metabolite; immediate release formulation; adults; normal,healthy;",1431.14
DDPD00286,Conjugated estrogens,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+],N.A.,2.6,ng/ml,2.6,Oral multiple dose;,
DDPD00287,Travoprost,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F,500.5477,0.025,ng/ml,<25,ophthalmic administration;,0.05
DDPD00289,Atomoxetine,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,255.3547,350.0,ng/ml,350.0,"PO, oral;",1370.64
DDPD00289,Atomoxetine,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,255.3547,160.0,ng/ml,160.0,"PO, oral; extensive metabolizers, EM;",626.58
DDPD00289,Atomoxetine,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,255.3547,915.0,ng/ml,915.0,"PO, oral; poor metabolizers, PM;",3583.25
DDPD00295,Morphine,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,285.3377,80.7505691,ng/ml,283.0,"PO, oral;",283.00
DDPD00295,Morphine,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,285.3377,70.0,ng/ml,~70,"IM,intramuscular injection;",245.32
DDPD00295,Morphine,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,285.3377,10.0,ng/ml,10.0,"PO, oral; immediate release formulation;",35.05
DDPD00295,Morphine,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,285.3377,7.4,ng/ml,7.4,"PO, oral; Sustained Release formulation;",25.93
DDPD00295,Morphine,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,285.3377,300.0,ng/ml,200-400,,1051.39
DDPD00296,Ropivacaine,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,274.4011,1100.0,ng/ml,1.1±0.2,,4008.73
DDPD00296,Ropivacaine,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,274.4011,2300.0,ng/ml,2.3±0.8,skin/dermal;,8381.89
DDPD00297,Bupivacaine,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,288.4277,800.0,ng/ml,0.8,epidural administration; adults; patients;,2773.66
DDPD00300,Tenofovir disoproxil,[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,519.448,330.0,ng/ml,0.33±0.12,"PO, oral;",635.29
DDPD00304,Desogestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],310.473,2.0,ng/ml,2.0,"PO, oral;",6.44
DDPD00310,Chlorthalidone,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,338.766,3700.0,ng/ml,3.7±0.9,"Male, men; adults; normal,healthy;",10921.99
DDPD00313,Valproic acid,CCCC(CCC)C(O)=O,144.2114,34000.0,ng/ml,34±8,"Capsule, PO, Oral; Drug form; Male, men; adults; normal,healthy;",235765.00
DDPD00315,Zolmitriptan,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,287.3568,20.6,ng/ml,16-25.2,"Tablet, PO, oral;",71.69
DDPD00316,Acetaminophen,CC(=O)NC1=CC=C(O)C=C1,151.1626,20000.0,ng/ml,20,"PO, oral;",132307.86
DDPD00317,Gefitinib,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,446.902,341.0,ng/ml,341±208,"PO, oral; tumor;",763.03
DDPD00318,Codeine,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,299.3642,149.0,ng/ml,149±60,"PO, oral; Male, men; adults; normal,healthy;",497.72
