,Drug ID,Drug Name,CAS No.,# Properties,# Property Values,,
194,DDPD00315,Zolmitriptan,139264-17-8,14,29,,
195,DDPD00316,Acetaminophen,103-90-2,16,86,,
196,DDPD00317,Gefitinib,184475-35-2,12,24,,
197,DDPD00318,Codeine,76-57-3,17,42,,
198,DDPD00319,Piperacillin,66258-76-2,5,9,,
199,DDPD00320,Dihydroergotamine,511-12-6,7,24,,
200,DDPD00321,Amitriptyline,50-48-6,16,29,,
201,DDPD00322,Floxuridine,50-91-9,6,7,,
202,DDPD00323,Tolcapone,134308-13-7,9,14,,
203,DDPD00324,Fluorometholone,426-13-1,5,5,,
204,DDPD00325,Nitroprusside,15078-28-1,4,12,,
205,DDPD00327,Hydromorphone,466-99-9,15,32,,
206,DDPD00328,Indomethacin,53-86-1,16,54,,
207,DDPD00330,Ethambutol,74-55-5,13,44,,
208,DDPD00331,Metformin,657-24-9,18,44,,
209,DDPD00332,Ipratropium,60205-81-4,13,36,,
210,DDPD00333,Methadone,76-99-3,12,24,,
211,DDPD00334,Olanzapine,132539-06-1,16,40,,
212,DDPD00335,Atenolol,29122-68-7,17,42,,
213,DDPD00336,Nitrofural,59-87-0,6,7,,
214,DDPD00337,Pimecrolimus,137071-32-0,5,8,,
215,DDPD00338,Omeprazole,73590-58-6,12,20,,
216,DDPD00339,Pyrazinamide,98-96-4,13,54,,
217,DDPD00340,Metixene,4969-02-2,3,3,,
218,DDPD00341,Cetirizine,83881-51-0,19,51,,
219,DDPD00342,Terfenadine,50679-08-8,7,8,,
220,DDPD00343,Diltiazem,42399-41-7,15,44,,
221,DDPD00344,Protriptyline,438-60-8,4,4,,
222,DDPD00345,Aminohippuric acid,61-78-9,4,4,,
223,DDPD00346,Alfuzosin,81403-80-7,8,12,,
224,DDPD00347,Trimethadione,127-48-0,4,4,,
225,DDPD00348,Nitisinone,104206-65-7,3,7,,
226,DDPD00349,Clobazam,22316-47-8,11,19,,
227,DDPD00350,Minoxidil,38304-91-5,12,21,,
228,DDPD00351,Megestrol acetate,595-33-5,6,11,,
229,DDPD00352,Tioguanine,154-42-7,6,7,,
230,DDPD00353,Methylergometrine,113-42-8,8,12,,
231,DDPD00354,Buclizine,82-95-1,2,2,,
232,DDPD00355,Aztreonam,78110-38-0,7,39,,
233,DDPD00356,Chlorzoxazone,95-25-0,6,8,,
234,DDPD00357,Aminoglutethimide,125-84-8,8,15,,
235,DDPD00358,Mefloquine,53230-10-7,11,37,,
236,DDPD00359,Sulfadiazine,68-35-9,9,9,,
237,DDPD00360,Sapropterin,62989-33-7,4,7,,
238,DDPD00361,Vinorelbine,71486-22-1,12,26,,
239,DDPD00362,Anidulafungin,166663-25-8,7,16,,
240,DDPD00363,Clozapine,5786-21-0,14,24,,
241,DDPD00364,Sucralfate,54182-58-0,6,10,,
242,DDPD00365,Grepafloxacin,119914-60-2,5,6,,
243,DDPD00366,Doxylamine,469-21-6,5,5,,
244,DDPD00367,Levonorgestrel,797-63-7,16,35,,
245,DDPD00368,Norepinephrine,51-41-2,4,11,,
246,DDPD00369,Cidofovir,113852-37-2,12,22,,
247,DDPD00370,Mirtazapine,85650-52-8,16,29,,
248,DDPD00371,Meprobamate,57-53-4,7,8,,
249,DDPD00372,Thiethylperazine,1420-55-9,5,5,,
250,DDPD00373,Timolol,26839-75-8,17,49,,
251,DDPD00374,Treprostinil,81846-19-7,8,19,,
252,DDPD00375,Colestipol,26658-42-4,3,8,,
253,DDPD00376,Trihexyphenidyl,144-11-6,3,3,,
254,DDPD00377,Palonosetron,135729-56-5,9,20,,
255,DDPD00378,Dydrogesterone,152-62-5,5,6,,
256,DDPD00379,Mexiletine,31828-71-4,12,18,,
257,DDPD00380,Dexrazoxane,24584-09-6,11,21,,
258,DDPD00381,Amlodipine,88150-42-9,16,36,,
259,DDPD00382,Tacrine,321-64-2,12,14,,
260,DDPD00383,Oxyphencyclimine,125-53-1,2,2,,
261,DDPD00384,Triamterene,396-01-0,14,41,,
262,DDPD00385,Valrubicin,56124-62-0,5,6,,
263,DDPD00387,Procyclidine,77-37-2,8,9,,
264,DDPD00388,Phenylephrine,59-42-7,9,40,,
265,DDPD00389,Carbimazole,22232-54-8,4,4,,
266,DDPD00390,Digoxin,20830-75-5,18,35,,
267,DDPD00391,Sulpiride,15676-16-1,9,10,,
268,DDPD00392,Profenamine,522-00-9,5,5,,
269,DDPD00393,Nimodipine,66085-59-4,10,19,,
270,DDPD00394,Beclomethasone dipropionate,5534-09-8,12,49,,
271,DDPD00395,Carisoprodol,78-44-4,12,19,,
272,DDPD00396,Progesterone,57-83-0,12,20,,
273,DDPD00397,Phenylpropanolamine,14838-15-4,5,5,,
274,DDPD00398,Sorafenib,284461-73-0,7,9,,
275,DDPD00399,Zoledronic acid,118072-93-8,10,18,,
276,DDPD00400,Griseofulvin,126-07-8,8,17,,
277,DDPD00401,Nisoldipine,63675-72-9,7,9,,
278,DDPD00402,Eszopiclone,138729-47-2,14,16,,
279,DDPD00403,Ceruletide,17650-98-5,1,1,,
280,DDPD00404,Alprazolam,28981-97-7,11,32,,
281,DDPD00405,Dexbrompheniramine,132-21-8,3,3,,
282,DDPD00406,Gentian violet cation,7438-46-2,4,5,,
283,DDPD00407,Ardeparin,9005-49-6,2,3,,
284,DDPD00408,Loxapine,1977-10-2,6,13,,
285,DDPD00409,Remoxipride,80125-14-0,7,8,,
286,DDPD00410,Mupirocin,12650-69-0,5,9,,
287,DDPD00411,Carbamoylcholine,462-58-8,5,9,,
288,DDPD00412,Rosiglitazone,122320-73-4,11,33,,
289,DDPD00413,Pramipexole,104632-26-0,16,28,,
290,DDPD00414,Acetohexamide,968-81-0,7,9,,
291,DDPD00415,Ampicillin,69-53-4,7,31,,
292,DDPD00416,Metocurine iodide,7601-55-0,3,3,,
293,DDPD00417,Phenoxymethylpenicillin,87-08-1,14,26,,
294,DDPD00418,Secobarbital,76-73-3,5,10,,
295,DDPD00419,Miglustat,72599-27-0,7,8,,
296,DDPD00420,Promazine,58-40-2,11,11,,
297,DDPD00421,Spironolactone,52-01-7,14,42,,
298,DDPD00422,Methylphenidate,113-45-1,12,64,,
299,DDPD00423,Methocarbamol,532-03-6,12,22,,
300,DDPD00424,Hyoscyamine,101-31-5,10,40,,
301,DDPD00425,Zolpidem,82626-48-0,14,38,,
302,DDPD00426,Famciclovir,104227-87-4,8,12,,
303,DDPD00427,Triprolidine,486-12-4,4,4,,
304,DDPD00428,Streptozocin,18883-66-4,6,9,,
305,DDPD00429,Carboprost tromethamine,58551-69-2,4,5,,
306,DDPD00430,Cefpiramide,70797-11-4,4,5,,
307,DDPD00431,Lindane,58-89-9,12,33,,
308,DDPD00432,Trifluridine,70-00-8,12,19,,
309,DDPD00433,Prochlorperazine,58-38-8,12,38,,
310,DDPD00434,Cyproheptadine,129-03-3,5,15,,
311,DDPD00435,Nitric Oxide,10102-43-9,5,5,,
312,DDPD00436,Bendroflumethiazide,73-48-3,7,7,,
313,DDPD00437,Allopurinol,315-30-0,17,36,,
314,DDPD00438,Ceftazidime,72558-82-8,12,35,,
315,DDPD00439,Cerivastatin,145599-86-6,6,8,,
316,DDPD00440,Trimethoprim,738-70-5,18,43,,
317,DDPD00441,Gemcitabine,95058-81-4,11,25,,
318,DDPD00442,Entecavir,142217-69-4,7,30,,
319,DDPD00443,Betamethasone,378-44-9,8,11,,
320,DDPD00444,Teniposide,29767-20-2,7,16,,
321,DDPD00445,Epirubicin,56420-45-2,9,21,,
322,DDPD00446,Chloramphenicol,56-75-7,13,23,,
323,DDPD00447,Loracarbef,76470-66-1,5,6,,
324,DDPD00448,Lansoprazole,103577-45-3,11,39,,
325,DDPD00449,Dipivefrin,52365-63-6,3,3,,
326,DDPD00450,Droperidol,548-73-2,10,24,,
327,DDPD00451,Levothyroxine,51-48-9,9,28,,
328,DDPD00452,Framycetin,119-04-0,1,1,,
329,DDPD00454,Meperidine,57-42-1,14,38,,
330,DDPD00455,Loratadine,79794-75-5,11,44,,
331,DDPD00456,Cefalotin,153-61-7,7,7,,
332,DDPD00457,Prazosin,19216-56-9,16,33,,
333,DDPD00458,Imipramine,50-49-7,19,39,,
334,DDPD00459,Acitretin,55079-83-9,9,11,,
335,DDPD00460,Verteporfin,129497-78-5,4,6,,
336,DDPD00461,Nabumetone,42924-53-8,9,16,,
337,DDPD00462,Methscopolamine bromide,155-41-9,4,4,,
338,DDPD00464,Sodium tetradecyl sulfate,139-88-8,2,6,,
339,DDPD00465,Ketorolac,74103-06-3,13,75,,
340,DDPD00467,Enoxacin,74011-58-8,8,10,,
341,DDPD00468,Quinine,130-95-0,15,46,,
342,DDPD00469,Tenoxicam,59804-37-4,9,10,,
343,DDPD00470,Dronabinol,1972-08-3,13,22,,
344,DDPD00471,Montelukast,158966-92-8,13,28,,
345,DDPD00472,Fluoxetine,54910-89-3,13,30,,
346,DDPD00473,Hexylcaine,532-77-4,3,3,,
347,DDPD00474,Methohexital,151-83-7,6,7,,
348,DDPD00475,Chlordiazepoxide,58-25-3,9,11,,
349,DDPD00476,Duloxetine,116539-59-4,9,17,,
350,DDPD00477,Chlorpromazine,50-53-3,17,36,,
351,DDPD00478,Rimantadine,13392-28-4,8,17,,
352,DDPD00479,Amikacin,37517-28-5,14,51,,
353,DDPD00480,Lenalidomide,191732-72-6,7,11,,
354,DDPD00481,Raloxifene,84449-90-1,14,38,,
355,DDPD00482,Celecoxib,169590-42-5,15,28,,
356,DDPD00483,Gallamine triethiodide,65-29-2,5,5,,
357,DDPD00484,Brimonidine,59803-98-4,10,23,,
358,DDPD00485,Dicloxacillin,3116-76-5,12,19,,
359,DDPD00486,Nabilone,51022-71-0,7,16,,
360,DDPD00487,Pefloxacin,70458-92-3,7,8,,
361,DDPD00488,Altretamine,645-05-6,6,6,,
362,DDPD00489,Sotalol,3930-20-9,12,29,,
363,DDPD00490,Buspirone,36505-84-7,12,28,,
364,DDPD00491,Miglitol,72432-03-2,10,14,,
365,DDPD00492,Fosinopril,98048-97-6,7,12,,
366,DDPD00493,Cefotaxime,63527-52-6,8,23,,
367,DDPD00494,Entacapone,130929-57-6,11,21,,
368,DDPD00495,Zidovudine,30516-87-1,14,65,,
369,DDPD00496,Darifenacin,133099-04-4,7,13,,
370,DDPD00497,Oxycodone,76-42-6,14,37,,
371,DDPD00498,Phenindione,83-12-5,6,9,,
372,DDPD00499,Flutamide,13311-84-7,11,19,,
373,DDPD00500,Tolmetin,26171-23-3,8,14,,
374,DDPD00501,Cimetidine,51481-61-9,16,33,,
375,DDPD00502,Haloperidol,52-86-8,17,51,,
376,DDPD00503,Ritonavir,155213-67-5,10,25,,
377,DDPD00504,Levallorphan,152-02-3,5,5,,
378,DDPD00507,Nitazoxanide,55981-09-4,9,14,,
379,DDPD00508,Triflupromazine,146-54-3,3,3,,
380,DDPD00509,Dextrothyroxine,51-49-0,2,2,,
381,DDPD00511,Acetyldigitoxin,1111-39-3,4,4,,
382,DDPD00512,Vancomycin,1404-90-6,11,36,,
383,DDPD00513,Aminocaproic acid,60-32-2,12,19,,
384,DDPD00514,Dextromethorphan,125-71-3,11,20,,
385,DDPD00515,Cisplatin,15663-27-1,10,21,,
386,DDPD00517,Anisotropine methylbromide,80-50-2,4,4,,
387,DDPD00518,Albendazole,54965-21-8,10,20,,
388,DDPD00519,Trandolapril,87679-37-6,11,21,,
389,DDPD00520,Caspofungin,162808-62-0,8,25,,
390,DDPD00521,Carteolol,51781-06-7,4,5,,
391,DDPD00523,Alitretinoin,5300-03-8,4,5,,
392,DDPD00524,Metolazone,17560-51-9,11,20,,
393,DDPD00525,Tolnaftate,2398-96-1,5,5,,
394,DDPD00526,Oxaliplatin,61825-94-3,8,23,,
395,DDPD00527,Cinchocaine,85-79-0,6,6,,
396,DDPD00528,Lercanidipine,100427-26-7,1,1,,
397,DDPD00529,Foscarnet,4428-95-9,13,27,,
398,DDPD00530,Erlotinib,183321-74-6,11,19,,
399,DDPD00531,Cyclophosphamide,50-18-0,12,31,,
400,DDPD00532,Mephenytoin,50-12-4,6,6,,
401,DDPD00533,Rofecoxib,162011-90-7,7,10,,
402,DDPD00534,Chlormerodrin,62-37-3,3,3,,
403,DDPD00535,Cefdinir,91832-40-5,16,40,,
404,DDPD00536,Guanidine,113-00-8,8,10,,
405,DDPD00537,Ciprofloxacin,85721-33-1,16,77,,
406,DDPD00538,Gadoversetamide,131069-91-5,5,13,,
407,DDPD00539,Toremifene,89778-26-7,10,19,,
408,DDPD00540,Nortriptyline,72-69-5,16,31,,
409,DDPD00541,Vincristine,57-22-7,11,31,,
410,DDPD00542,Benazepril,86541-75-5,12,36,,
411,DDPD00543,Amoxapine,14028-44-5,8,11,,
412,DDPD00544,Fluorouracil,51-21-8,15,26,,
413,DDPD00545,Pyridostigmine,155-97-5,7,27,,
414,DDPD00547,Desoximetasone,382-67-2,5,7,,
415,DDPD00548,Azelaic acid,123-99-9,9,11,,
416,DDPD00549,Zafirlukast,107753-78-6,7,12,,
417,DDPD00550,Propylthiouracil,51-52-5,11,22,,
418,DDPD00551,Acetohydroxamic acid,546-88-3,8,13,,
419,DDPD00552,Pentostatin,53910-25-1,12,16,,
420,DDPD00553,Methoxsalen,298-81-7,7,24,,
421,DDPD00554,Piroxicam,36322-90-4,10,11,,
422,DDPD00555,Lamotrigine,84057-84-1,16,41,,
423,DDPD00556,Perflutren,76-19-7,9,13,,
424,DDPD00557,Hydroxyzine,68-88-2,9,34,,
425,DDPD00558,Zanamivir,139110-80-8,8,30,,
426,DDPD00559,Bosentan,147536-97-8,9,30,,
427,DDPD00560,Tigecycline,220620-09-7,6,12,,
428,DDPD00561,Doxapram,309-29-5,6,7,,
429,DDPD00562,Benzthiazide,91-33-8,5,5,,
430,DDPD00563,Methotrexate,59-05-2,14,43,,
431,DDPD00564,Carbamazepine,298-46-4,16,42,,
432,DDPD00565,Cisatracurium,96946-41-7,3,4,,
433,DDPD00566,Succimer,304-55-2,5,15,,
434,DDPD00567,Cephalexin,15686-71-2,14,33,,
435,DDPD00568,Cinnarizine,298-57-7,2,2,,
436,DDPD00569,Fondaparinux,104993-28-4,8,12,,
437,DDPD00570,Vinblastine,865-21-4,8,17,,
438,DDPD00571,Propranolol,525-66-6,14,75,,
439,DDPD00572,Atropine,51-55-8,15,22,,
440,DDPD00573,Fenoprofen,29679-58-1,11,13,,
441,DDPD00574,Fenfluramine,458-24-2,12,14,,
442,DDPD00575,Clonidine,4205-90-7,17,54,,
443,DDPD00576,Sulfamethizole,144-82-1,6,6,,
444,DDPD00577,Valaciclovir,124832-26-4,14,31,,
445,DDPD00578,Carbenicillin,4697-36-3,8,11,,
446,DDPD00579,Mazindol,22232-71-9,3,3,,
447,DDPD00580,Valdecoxib,181695-72-7,7,11,,
448,DDPD00581,Lactulose,4618-18-2,4,5,,
449,DDPD00582,Voriconazole,137234-62-9,12,54,,
450,DDPD00583,Levocarnitine,541-15-1,11,14,,
451,DDPD00584,Enalapril,75847-73-3,15,45,,
452,DDPD00585,Nizatidine,76963-41-2,11,22,,
453,DDPD00586,Diclofenac,15307-86-5,15,50,,
454,DDPD00588,Fluticasone propionate,80474-14-2,9,76,,
455,DDPD00589,Lisuride,18016-80-3,5,5,,
456,DDPD00590,Doxazosin,74191-85-8,14,23,,
457,DDPD00591,Fluocinolone acetonide,67-73-2,5,20,,
458,DDPD00592,Piperazine,110-85-0,9,9,,
459,DDPD00593,Ethosuximide,77-67-8,6,9,,
460,DDPD00594,Amiloride,2609-46-3,8,18,,
461,DDPD00595,Oxytetracycline,79-57-2,8,8,,
462,DDPD00596,Ulobetasol,98651-66-2,2,5,,
463,DDPD00597,Gadoteridol,120066-54-8,4,9,,
464,DDPD00598,Labetalol,36894-69-6,12,31,,
465,DDPD00599,Thiopental,76-75-5,8,9,,
466,DDPD00600,Monobenzone,103-16-2,3,3,,
467,DDPD00601,Linezolid,165800-03-3,11,27,,
468,DDPD00602,Ivermectin,70288-86-7,11,33,,
469,DDPD00603,Medroxyprogesterone acetate,71-58-9,10,29,,
470,DDPD00604,Cisapride,81098-60-4,8,9,,
471,DDPD00605,Sulindac,38194-50-2,11,17,,
472,DDPD00606,Cyclothiazide,2259-96-3,3,4,,
473,DDPD00607,Nafcillin,147-52-4,10,32,,
474,DDPD00608,Chloroquine,54-05-7,12,76,,
475,DDPD00609,Ethionamide,536-33-4,7,13,,
476,DDPD00610,Metaraminol,54-49-9,7,8,,
477,DDPD00611,Butorphanol,42408-82-2,10,23,,
478,DDPD00612,Bisoprolol,66722-44-9,19,30,,
479,DDPD00613,Amodiaquine,86-42-0,6,8,,
480,DDPD00615,Rifabutin,72559-06-9,9,20,,
