Drug,Isotope_Atom,atom_chiral_undef,Log P_Xlogp3,Heavy_Atom,Compound Complexity_N/A,bond_chiral_undef,charge,Topological_Polar Surface Area,atom_chiral_def,bond_chiral_def,Molecular Weight_N/A,Weight_Monoisotopic,Covalent_Unit,Count_Hydrogen Bond Acceptor,Count_Hydrogen Bond Donor,Mass_Exact,Count_Rotatable Bond
Cabergoline,0.0,0.0,3.4,33.0,713.0,0.0,0.0,71.7,3.0,0.0,451.6,451.29472544,1.0,4.0,2.0,451.29472544,8.0
Cabotegravir,0.0,0.0,2.1,29.0,814.0,0.0,0.0,99.2,2.0,0.0,405.4,405.11362698,1.0,8.0,2.0,405.11362698,3.0
Cabozantinib,0.0,0.0,5.4,37.0,795.0,0.0,0.0,98.8,0.0,0.0,501.5,501.16999904,1.0,7.0,2.0,501.16999904,8.0
Cadexomer-Iodine,,,,,,,,,,,,,,,,,
Caffeine,0.0,0.0,-0.1,14.0,293.0,0.0,0.0,58.4,0.0,0.0,194.19,194.08037557,1.0,3.0,0.0,194.08037557,0.0
Calcipotriol,0.0,0.0,4.3,30.0,743.0,0.0,0.0,60.7,7.0,3.0,412.6,412.29774513,1.0,3.0,3.0,412.29774513,5.0
Calcitonin,0.0,34.0,-16.6,239.0,7970.0,0.0,0.0,1560.0,0.0,0.0,3431.9,3429.7133079,1.0,55.0,52.0,3430.7166627,99.0
Calcium,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.08,39.9625908,1.0,0.0,0.0,39.9625908,0.0
Calcium Fluoride,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,78.07,77.9593972,3.0,2.0,0.0,77.9593972,0.0
Calendula,0.0,11.0,8.3,32.0,801.0,0.0,0.0,40.5,0.0,0.0,442.7,442.381080833,1.0,2.0,2.0,442.381080833,1.0
Calotropis,,,,,,,,,,,,,,,,,
Camellia Sinensis,,,,,,,,,,,,,,,,,
Camphene,0.0,2.0,3.3,10.0,176.0,0.0,0.0,0.0,0.0,0.0,136.23,136.12520051,1.0,0.0,0.0,136.12520051,0.0
Camphor,0.0,2.0,2.2,11.0,217.0,0.0,0.0,17.1,0.0,0.0,152.23,152.12011513,1.0,1.0,0.0,152.12011513,0.0
Camphorated Opium Tincture,,,,,,,,,,,,,,,,,
Camptothecin,0.0,0.0,1.0,26.0,742.0,0.0,0.0,79.7,1.0,0.0,348.4,348.111007,1.0,5.0,1.0,348.111007,1.0
Canagliflozin,0.0,0.0,3.2,31.0,574.0,0.0,0.0,118.0,5.0,0.0,444.5,444.14067323,1.0,7.0,4.0,444.14067323,5.0
Canakinumab,,,,,,,,,,,,,,,,,
Candesartan,0.0,0.0,4.1,33.0,660.0,0.0,0.0,119.0,0.0,0.0,440.5,440.15968852,1.0,7.0,2.0,440.15968852,7.0
Cangrelor,0.0,0.0,-1.0,44.0,1140.0,0.0,0.0,307.0,4.0,0.0,776.4,774.9483145,1.0,21.0,7.0,774.9483145,15.0
Cannabidiol,0.0,0.0,6.5,23.0,414.0,0.0,0.0,40.5,2.0,0.0,314.5,314.224580195,1.0,2.0,2.0,314.224580195,6.0
Cannabis Sativa,,,,,,,,,,,,,,,,,
Canrenoic Acid,0.0,0.0,1.9,26.0,707.0,0.0,0.0,74.6,6.0,0.0,358.5,358.21440943,1.0,4.0,2.0,358.21440943,3.0
Capecitabine,0.0,0.0,0.6,25.0,582.0,0.0,0.0,121.0,4.0,0.0,359.35,359.14926359,1.0,7.0,3.0,359.14926359,7.0
Caplacizumab,,,,,,,,,,,,,,,,,
Capreomycin,0.0,0.0,,93.0,2470.0,0.0,0.0,737.0,12.0,2.0,1321.4,1320.69839421,2.0,23.0,27.0,1320.69839421,19.0
Capsaicin,0.0,0.0,3.6,22.0,341.0,0.0,0.0,58.6,0.0,1.0,305.4,305.19909372,1.0,3.0,2.0,305.19909372,9.0
Capsella Bursa-Pastoris,,,,,,,,,,,,,,,,,
Capsicum,,,,,,,,,,,,,,,,,
Captopril,0.0,0.0,0.3,14.0,244.0,0.0,0.0,58.6,2.0,0.0,217.29,217.07726451,1.0,4.0,2.0,217.07726451,3.0
Carapichea Ipecacuanha,,,,,,,,,,,,,,,,,
Carba Mixture,,,,,,,,,,,,,,,,,
Carbachol,0.0,0.0,,11.0,117.0,0.0,0.0,52.3,0.0,0.0,182.65,182.0822054,2.0,3.0,1.0,182.0822054,4.0
Carbamazepine,0.0,0.0,2.5,18.0,326.0,0.0,0.0,46.3,0.0,0.0,236.27,236.094963011,1.0,1.0,1.0,236.094963011,0.0
Carbaryl,0.0,0.0,2.4,15.0,230.0,0.0,0.0,38.3,0.0,0.0,201.22,201.078978594,1.0,2.0,1.0,201.078978594,2.0
Carbenicillin,0.0,1.0,1.1,26.0,645.0,0.0,0.0,149.0,3.0,0.0,378.4,378.08855747,1.0,7.0,3.0,378.08855747,5.0
Carbenoxolone,0.0,0.0,6.4,41.0,1200.0,0.0,0.0,118.0,9.0,0.0,570.8,570.35565393,1.0,7.0,2.0,570.35565393,6.0
Carbetocin,0.0,0.0,-1.1,69.0,1850.0,0.0,0.0,388.0,8.0,0.0,988.2,987.48478785,1.0,13.0,10.0,987.48478785,18.0
Carbidopa,0.0,0.0,-2.2,16.0,261.0,0.0,0.0,116.0,1.0,0.0,226.23,226.09535693,1.0,6.0,5.0,226.09535693,4.0
Carbimazole,0.0,0.0,0.7,12.0,240.0,0.0,0.0,64.9,0.0,0.0,186.23,186.04629874,1.0,3.0,0.0,186.04629874,2.0
Carbinoxamine,0.0,1.0,2.9,20.0,267.0,0.0,0.0,25.4,0.0,0.0,290.79,290.1185909,1.0,3.0,0.0,290.1185909,6.0
Carbocisteine,0.0,0.0,-3.1,11.0,161.0,0.0,0.0,126.0,1.0,0.0,179.2,179.02522894,1.0,6.0,3.0,179.02522894,5.0
Carbomer,,,,,,,,,,,,,,,,,
Carbon,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.011,12.0,1.0,0.0,0.0,12.0,0.0
Carbon,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.011,12.0,1.0,0.0,0.0,12.0,0.0
Carbon Dioxide,0.0,0.0,0.9,3.0,18.3,0.0,0.0,34.1,0.0,0.0,44.009,43.989829239,1.0,2.0,0.0,43.989829239,0.0
Carboplatin,0.0,0.0,,13.0,177.0,0.0,0.0,76.6,0.0,0.0,371.25,371.044501,4.0,6.0,4.0,371.044501,0.0
Carboprost,0.0,0.0,2.9,26.0,473.0,0.0,0.0,98.0,5.0,2.0,368.5,368.25627424,1.0,5.0,4.0,368.25627424,12.0
Carbuterol,0.0,1.0,-0.1,19.0,304.0,0.0,0.0,108.0,0.0,0.0,267.32,267.15829154,1.0,4.0,5.0,267.15829154,5.0
Carfecillin,0.0,1.0,3.0,32.0,774.0,0.0,0.0,138.0,3.0,0.0,454.5,454.1198576,1.0,7.0,2.0,454.1198576,7.0
Carfilzomib,0.0,0.0,4.7,52.0,1180.0,0.0,0.0,158.0,5.0,0.0,719.9,719.42579917,1.0,8.0,4.0,719.42579917,20.0
Carglumic Acid,0.0,0.0,-2.4,13.0,227.0,0.0,0.0,130.0,1.0,0.0,190.15,190.05897142,1.0,5.0,4.0,190.05897142,5.0
Cariprazine,0.0,0.0,4.3,28.0,491.0,0.0,0.0,38.8,0.0,0.0,427.4,426.195317,1.0,3.0,1.0,426.195317,5.0
Carisoprodol,0.0,1.0,1.9,18.0,281.0,0.0,0.0,90.7,0.0,0.0,260.33,260.17360725,1.0,4.0,2.0,260.17360725,9.0
Carmellose,0.0,4.0,,16.0,169.0,0.0,0.0,156.0,0.0,0.0,240.21,240.08451746,2.0,8.0,6.0,240.08451746,5.0
Carmustine,0.0,0.0,1.5,12.0,156.0,0.0,0.0,61.8,0.0,0.0,214.05,213.0071819,1.0,3.0,1.0,213.0071819,4.0
Carotuximab,,,,,,,,,,,,,,,,,
Carteolol,0.0,1.0,1.0,21.0,354.0,0.0,0.0,70.6,0.0,0.0,292.37,292.17869263,1.0,4.0,3.0,292.17869263,6.0
Carthamus,0.0,0.0,-2.5,65.0,2100.0,0.0,0.0,407.0,12.0,3.0,910.8,910.21677296,1.0,22.0,15.0,910.21677296,11.0
Carum,,,,,,,,,,,,,,,,,
Carum Carvi,,,,,,,,,,,,,,,,,
Carvedilol,0.0,1.0,4.2,30.0,508.0,0.0,0.0,75.7,0.0,0.0,406.5,406.18925731,1.0,5.0,3.0,406.18925731,10.0
Casein,0.0,17.0,-7.1,143.0,4830.0,0.0,0.0,1110.0,0.0,0.0,2062.0,2060.8211892,1.0,61.0,37.0,2060.8211892,74.0
Casirivimab,,,,,,,,,,,,,,,,,
Caspofungin,0.0,0.0,0.3,77.0,1900.0,0.0,0.0,412.0,16.0,0.0,1093.3,1092.64306214,1.0,18.0,16.0,1092.64306214,23.0
Catalase,,,,,,,,,,,,,,,,,
Catechu,0.0,0.0,0.4,21.0,364.0,0.0,0.0,110.0,2.0,0.0,290.27,290.07903816,1.0,6.0,5.0,290.07903816,1.0
Caulophyllum,,,,,,,,,,,,,,,,,
Causticum,0.0,0.0,,8.0,62.2,0.0,0.0,89.6,0.0,0.0,192.25,191.8807666,4.0,5.0,1.0,191.8807666,0.0
Kaempferia,,,,,,,,,,,,,,,,,
Kanamycin,0.0,0.0,-6.9,33.0,638.0,0.0,0.0,283.0,15.0,0.0,484.5,484.23805798,1.0,15.0,11.0,484.23805798,6.0
Kaolin,,,,,,,,,,,,,,,,,
Afamelanotide,0.0,0.0,-3.5,118.0,3360.0,0.0,0.0,643.0,12.0,0.0,1646.8,1645.8365104,1.0,22.0,23.0,1645.8365104,51.0
Afatinib,0.0,0.0,3.6,34.0,702.0,0.0,0.0,88.6,1.0,1.0,485.9,485.1629955,1.0,8.0,2.0,485.1629955,8.0
Aflibercept,,,,,,,,,,,,,,,,,
Agomelatine,0.0,0.0,2.7,18.0,280.0,0.0,0.0,38.3,0.0,0.0,243.3,243.125928785,1.0,2.0,1.0,243.125928785,4.0
Agrimonia,,,,,,,,,,,,,,,,,
Agropyron Repens,,,,,,,,,,,,,,,,,
Ajmaline,0.0,0.0,1.8,24.0,570.0,0.0,0.0,46.9,9.0,0.0,326.4,326.199428076,1.0,4.0,2.0,326.199428076,1.0
Alanine,0.0,0.0,-3.0,6.0,61.8,0.0,0.0,63.3,1.0,0.0,89.09,89.047678466,1.0,3.0,2.0,89.047678466,1.0
Alathon Polyethylene Resin,,,,,,,,,,,,,,,,,
Albendazole,0.0,0.0,2.9,18.0,290.0,0.0,0.0,92.3,0.0,0.0,265.33,265.0884979,1.0,4.0,2.0,265.0884979,5.0
Albumin,,,,,,,,,,,,,,,,,
Alchemilla Vulgaris,,,,,,,,,,,,,,,,,
Alclofenac,0.0,0.0,2.5,15.0,230.0,0.0,0.0,46.5,0.0,0.0,226.65,226.0396719,1.0,3.0,1.0,226.0396719,5.0
Alclometasone,0.0,0.0,2.2,28.0,790.0,0.0,0.0,94.8,9.0,0.0,408.9,408.1703517,1.0,5.0,3.0,408.1703517,2.0
Alcloxa,0.0,1.0,,18.0,235.0,0.0,0.0,124.0,0.0,0.0,314.55,313.979053,8.0,9.0,7.0,313.979053,1.0
Alectinib,0.0,0.0,5.2,36.0,867.0,0.0,0.0,72.4,0.0,0.0,482.6,482.26817634,1.0,5.0,1.0,482.26817634,3.0
Alemtuzumab,,,,,,,,,,,,,,,,,
Alendronic Acid,0.0,0.0,-6.5,14.0,257.0,0.0,0.0,161.0,0.0,0.0,249.1,249.01672575,1.0,8.0,6.0,249.01672575,5.0
Alexitol,,,,,,,,,,,,,,,,,
Alfentanil,0.0,0.0,2.2,30.0,614.0,0.0,0.0,81.1,0.0,0.0,416.5,416.2535889,1.0,6.0,0.0,416.2535889,9.0
Alfuzosin,0.0,1.0,1.7,28.0,511.0,0.0,0.0,112.0,0.0,0.0,389.4,389.20630436,1.0,8.0,2.0,389.20630436,8.0
Alginic Acid,,,,,,,,,,,,,,,,,
Alglucerase,,,,,,,,,,,,,,,,,
Alglucosidase Alfa,,,,,,,,,,,,,,,,,
Alirocumab,,,,,,,,,,,,,,,,,
Aliskiren,0.0,0.0,3.5,39.0,717.0,0.0,0.0,146.0,4.0,0.0,551.8,551.39343642,1.0,7.0,4.0,551.39343642,19.0
Alitretinoin,0.0,0.0,6.3,22.0,567.0,0.0,0.0,37.3,0.0,4.0,300.4,300.208930132,1.0,2.0,1.0,300.208930132,5.0
Allantoin,0.0,1.0,-2.2,11.0,225.0,0.0,0.0,113.0,0.0,0.0,158.12,158.04399007,1.0,3.0,4.0,158.04399007,1.0
Allium Cepa,,,,,,,,,,,,,,,,,
Allium Sativum,,,,,,,,,,,,,,,,,
Allopurinol,0.0,0.0,-0.7,10.0,190.0,0.0,0.0,70.1,0.0,0.0,136.11,136.03851076,1.0,3.0,2.0,136.03851076,0.0
Allyloestrenol,0.0,0.0,5.3,22.0,492.0,0.0,0.0,20.2,6.0,0.0,300.5,300.24531564,1.0,1.0,1.0,300.24531564,2.0
Almasilate,0.0,0.0,,12.0,26.3,0.0,8.0,116.0,0.0,0.0,252.48,251.913324,6.0,7.0,5.0,251.913324,0.0
Almotriptan,0.0,0.0,1.6,23.0,483.0,0.0,0.0,64.8,0.0,0.0,335.5,335.16674822,1.0,4.0,1.0,335.16674822,6.0
Alogliptin,0.0,0.0,0.6,25.0,622.0,0.0,0.0,93.7,1.0,0.0,339.4,339.16952493,1.0,5.0,1.0,339.16952493,3.0
Aloin,0.0,0.0,-0.1,30.0,630.0,0.0,0.0,168.0,6.0,0.0,418.4,418.12638228,1.0,9.0,7.0,418.12638228,3.0
Aloxiprin,0.0,0.0,,18.0,212.0,0.0,0.0,66.6,0.0,0.0,282.12,281.990079,6.0,7.0,1.0,281.990079,3.0
Alpelisib,0.0,0.0,3.2,30.0,663.0,0.0,0.0,129.0,1.0,0.0,441.5,441.14463062,1.0,8.0,2.0,441.14463062,4.0
Alpha-1 Proteinase Inhibitor,,,,,,,,,,,,,,,,,
Alpha-Amylcinnamaldehyde,0.0,0.0,4.2,15.0,199.0,1.0,0.0,17.1,0.0,0.0,202.29,202.135765193,1.0,1.0,0.0,202.135765193,6.0
Alpha-Pinene,0.0,2.0,2.8,10.0,186.0,0.0,0.0,0.0,0.0,0.0,136.23,136.12520051,1.0,0.0,0.0,136.12520051,0.0
Alphadolone Acetate,0.0,0.0,3.2,28.0,686.0,0.0,0.0,80.7,8.0,0.0,390.5,390.24062418,1.0,5.0,1.0,390.24062418,4.0
Alphaxalone,0.0,0.0,3.2,24.0,569.0,0.0,0.0,54.4,8.0,0.0,332.5,332.23514488,1.0,3.0,1.0,332.23514488,1.0
Alprazolam,0.0,0.0,2.1,22.0,434.0,0.0,0.0,43.1,0.0,0.0,308.8,308.0828741,1.0,3.0,0.0,308.0828741,1.0
Alprostadil,0.0,0.0,3.2,25.0,432.0,0.0,0.0,94.8,4.0,1.0,354.5,354.24062418,1.0,5.0,3.0,354.24062418,13.0
Alseroxylon,0.0,1.0,,18.0,116.0,0.0,0.0,101.0,0.0,0.0,281.83,281.1982382,2.0,6.0,5.0,281.1982382,11.0
Alseroxylon,0.0,1.0,,18.0,116.0,0.0,0.0,101.0,0.0,0.0,281.83,281.1982382,2.0,6.0,5.0,281.1982382,11.0
Alteplase,,,,,,,,,,,,,,,,,
Althaea,,,,,,,,,,,,,,,,,
Altretamine,0.0,0.0,2.7,15.0,148.0,0.0,0.0,48.4,0.0,0.0,210.28,210.1592946,1.0,6.0,0.0,210.1592946,3.0
Aluminium Chloride,0.0,0.0,,4.0,8.0,0.0,0.0,0.0,0.0,0.0,133.34,131.888096,1.0,0.0,0.0,131.888096,0.0
Aluminium Chlorohydrate,,,,,,,,,,,,,,,,,
Aluminium Glycinate,,,,,,,,,,,,,,,,,
Aluminium Hydroxide,,,,,,,,,,,,,,,,,
Aluminium Oxide,0.0,0.0,,5.0,0.0,0.0,0.0,3.0,0.0,0.0,101.961,101.947821,5.0,3.0,0.0,101.947821,0.0
Aluminium Sulphate,0.0,0.0,,17.0,62.2,0.0,0.0,266.0,0.0,0.0,342.2,341.818266,5.0,12.0,0.0,341.818266,0.0
Alverine,0.0,0.0,5.3,21.0,214.0,0.0,0.0,3.2,0.0,0.0,281.4,281.214349865,1.0,1.0,0.0,281.214349865,9.0
Amantadine,0.0,0.0,2.4,11.0,144.0,0.0,0.0,26.0,0.0,0.0,151.25,151.136099547,1.0,1.0,1.0,151.136099547,0.0
Amatuximab,,,,,,,,,,,,,,,,,
Ambrisentan,0.0,0.0,3.8,28.0,475.0,0.0,0.0,81.5,1.0,0.0,378.4,378.15795719,1.0,6.0,1.0,378.15795719,7.0
Ambroxol,0.0,0.0,2.6,18.0,259.0,0.0,0.0,58.3,0.0,0.0,378.1,375.97859,1.0,3.0,3.0,377.97654,3.0
Ambucetamide,0.0,1.0,3.4,21.0,281.0,0.0,0.0,55.6,0.0,0.0,292.4,292.21507814,1.0,3.0,1.0,292.21507814,10.0
Ambutonium,0.0,0.0,3.0,23.0,361.0,0.0,1.0,43.1,0.0,0.0,311.4,311.212338489,1.0,1.0,1.0,311.212338489,7.0
Amidotrizoic Acid,0.0,0.0,1.8,20.0,390.0,0.0,0.0,95.5,0.0,0.0,613.91,613.7696,1.0,4.0,3.0,613.7696,3.0
Amifampridine,0.0,0.0,-0.5,8.0,74.1,0.0,0.0,64.9,0.0,0.0,109.13,109.063997236,1.0,3.0,2.0,109.063997236,0.0
Amifostine,0.0,0.0,-4.5,12.0,152.0,0.0,0.0,121.0,0.0,0.0,214.23,214.05410052,1.0,6.0,4.0,214.05410052,7.0
Amikacin,0.0,0.0,-7.9,40.0,819.0,0.0,0.0,332.0,16.0,0.0,585.6,585.28573644,1.0,17.0,13.0,585.28573644,10.0
Amiloride,0.0,0.0,-0.7,15.0,279.0,0.0,0.0,159.0,0.0,0.0,229.63,229.0478856,1.0,5.0,4.0,229.0478856,1.0
Amino Acids,,,,,,,,,,,,,,,,,
Aminoacridine,0.0,0.0,2.8,15.0,207.0,0.0,0.0,38.9,0.0,0.0,194.23,194.084398327,1.0,2.0,1.0,194.084398327,0.0
Aminobenzoic Acid,0.0,0.0,0.8,10.0,128.0,0.0,0.0,63.3,0.0,0.0,137.14,137.047678466,1.0,3.0,2.0,137.047678466,1.0
Aminocaproic Acid,0.0,0.0,-3.0,9.0,83.1,0.0,0.0,63.3,0.0,0.0,131.17,131.094628657,1.0,3.0,2.0,131.094628657,5.0
Aminoglutethimide,0.0,1.0,1.2,17.0,321.0,0.0,0.0,72.2,0.0,0.0,232.28,232.121177757,1.0,3.0,2.0,232.121177757,2.0
Aminohippuric Acid,0.0,0.0,-0.9,14.0,222.0,0.0,0.0,92.4,0.0,0.0,194.19,194.06914219,1.0,4.0,3.0,194.06914219,3.0
Aminolevulinic Acid,0.0,0.0,-3.8,9.0,121.0,0.0,0.0,80.4,0.0,0.0,131.13,131.058243149,1.0,4.0,2.0,131.058243149,4.0
Aminophylline,0.0,0.0,,30.0,273.0,0.0,0.0,191.0,0.0,0.0,420.43,420.19819929,3.0,8.0,4.0,420.19819929,1.0
Aminoxidase,,,,,,,,,,,,,,,,,
Amiodarone,0.0,0.0,7.6,31.0,547.0,0.0,0.0,42.7,0.0,0.0,645.3,645.02369,1.0,4.0,0.0,645.02369,11.0
Amiphenazole,0.0,0.0,1.9,13.0,170.0,0.0,0.0,93.2,0.0,0.0,191.26,191.05171847,1.0,4.0,2.0,191.05171847,1.0
Amisulpride,0.0,1.0,1.5,25.0,549.0,0.0,0.0,110.0,0.0,0.0,369.5,369.17222752,1.0,6.0,2.0,369.17222752,7.0
Amitriptyline,0.0,0.0,5.0,21.0,331.0,0.0,0.0,3.2,0.0,0.0,277.4,277.183049738,1.0,1.0,0.0,277.183049738,3.0
Amivantamab,,,,,,,,,,,,,,,,,
Amlodipine,0.0,1.0,3.0,28.0,647.0,0.0,0.0,99.9,0.0,0.0,408.9,408.1451996,1.0,7.0,2.0,408.1451996,10.0
Ammonia,0.0,0.0,-0.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.031,17.0265491,1.0,1.0,1.0,17.0265491,0.0
Ammonium Bicarbonate,0.0,0.0,,5.0,24.8,0.0,0.0,61.4,0.0,0.0,79.056,79.026943022,2.0,3.0,2.0,79.026943022,0.0
Ammonium Carbonate,0.0,0.0,,6.0,18.8,0.0,0.0,65.2,0.0,0.0,96.09,96.05349212,3.0,3.0,2.0,96.05349212,0.0
Ammonium Chloride,0.0,0.0,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,53.49,53.0032268,2.0,1.0,1.0,53.0032268,0.0
